instance,inversions,reducedA,reducedB,gen_trial
1,47,True,True,1
2,50,True,True,1
3,53,True,True,1
4,71,True,True,1
5,57,True,True,1
6,54,True,True,1
7,53,True,True,1
8,42,True,True,1
9,55,True,True,1
10,63,True,True,1
11,69,True,True,1
12,55,True,True,1
13,50,True,True,1
14,47,True,True,1
15,60,True,True,1
16,49,True,True,1
17,49,True,True,1
18,67,True,True,1
19,41,True,True,1
20,68,True,True,1
21,43,True,True,1
22,28,True,True,1
23,73,True,True,1
24,47,True,True,1
25,74,True,True,1
26,59,True,True,1
27,50,True,True,1
28,41,True,True,1
29,48,True,True,1
30,48,True,True,1
31,45,True,True,1
32,62,True,True,1
33,63,True,True,1
34,51,True,True,1
35,58,True,True,1
36,34,True,True,1
37,56,True,True,1
38,45,True,True,1
39,51,True,True,1
40,35,True,True,1
41,60,True,True,1
42,51,True,True,1
43,45,True,True,1
44,48,True,True,1
45,52,True,True,1
46,65,True,True,1
47,56,True,True,1
48,65,True,True,1
49,32,True,True,1
50,68,True,True,1
51,66,True,True,1
52,47,True,True,1
53,65,True,True,1
54,38,True,True,1
55,56,True,True,1
56,54,True,True,1
57,39,True,True,1
58,53,True,True,1
59,51,True,True,1
60,64,True,True,1
61,60,True,True,1
62,45,True,True,1
63,46,True,True,1
64,54,True,True,1
65,47,True,True,1
66,53,True,True,1
67,47,True,True,1
68,58,True,True,1
69,67,True,True,1
70,30,True,True,1
71,64,True,True,1
72,58,True,True,1
73,48,True,True,1
74,70,True,True,1
75,54,True,True,1
76,37,True,True,1
77,50,True,True,1
78,74,True,True,1
79,41,True,True,1
80,54,True,True,1
81,35,True,True,1
82,44,True,True,1
83,42,True,True,1
84,45,True,True,1
85,64,True,True,1
86,67,True,True,1
87,54,True,True,1
88,48,True,True,1
89,65,True,True,1
90,50,True,True,1
91,46,True,True,1
92,55,True,True,1
93,61,True,True,1
94,65,True,True,1
95,61,True,True,1
96,49,True,True,1
97,53,True,True,1
98,47,True,True,1
99,45,True,True,1
100,73,True,True,1
101,67,True,True,1
102,67,True,True,1
103,68,True,True,1
104,57,True,True,1
105,63,True,True,1
106,41,True,True,1
107,56,True,True,1
108,44,True,True,1
109,46,True,True,1
110,53,True,True,1
111,68,True,True,1
112,44,True,True,1
113,58,True,True,1
114,61,True,True,1
115,51,True,True,1
116,23,True,True,1
117,64,True,True,1
118,52,True,True,1
119,60,True,True,1
120,68,True,True,1
121,57,True,True,1
