instance,inversions,reducedA,reducedB,gen_trial
1,57,True,True,1
2,55,True,True,1
3,36,True,True,1
4,40,True,True,1
5,55,True,True,1
6,43,True,True,1
7,57,True,True,1
8,53,True,True,1
9,48,True,True,1
10,47,True,True,1
11,66,True,True,1
12,48,True,True,1
13,65,True,True,1
14,61,True,True,1
15,58,True,True,1
16,69,True,True,1
17,48,True,True,1
18,49,True,True,1
19,51,True,True,1
20,64,True,True,1
21,48,True,True,1
22,60,True,True,1
23,30,True,True,1
24,62,True,True,1
25,73,True,True,1
26,57,True,True,1
27,44,True,True,1
28,59,True,True,1
29,40,True,True,1
30,49,True,True,1
31,61,True,True,1
32,47,True,True,1
33,59,True,True,1
34,43,True,True,1
35,41,True,True,1
36,51,True,True,1
37,36,True,True,1
38,50,True,True,1
39,41,True,True,1
40,49,True,True,1
41,46,True,True,1
42,43,True,True,1
43,54,True,True,1
44,58,True,True,1
45,28,True,True,1
46,63,True,True,1
47,42,True,True,1
48,49,True,True,1
49,54,True,True,1
50,52,True,True,1
51,39,True,True,1
52,58,True,True,1
53,61,True,True,1
54,33,True,True,1
55,44,True,True,1
56,62,True,True,1
57,62,True,True,1
58,58,True,True,1
59,48,True,True,1
60,56,True,True,1
61,57,True,True,1
62,34,True,True,1
63,64,True,True,1
64,55,True,True,1
65,42,True,True,1
66,67,True,True,1
67,45,True,True,1
68,44,True,True,1
69,66,True,True,1
70,56,True,True,1
71,57,True,True,1
72,57,True,True,1
73,61,True,True,1
74,39,True,True,1
75,79,True,True,1
76,53,True,True,1
77,43,True,True,1
78,48,True,True,1
79,58,True,True,1
80,52,True,True,1
81,34,True,True,1
82,51,True,True,1
83,48,True,True,1
84,60,True,True,1
85,51,True,True,1
86,47,True,True,1
87,59,True,True,1
88,60,True,True,1
89,53,True,True,1
90,46,True,True,1
91,60,True,True,1
92,62,True,True,1
93,46,True,True,1
94,63,True,True,1
95,31,True,True,1
96,47,True,True,1
97,53,True,True,1
98,72,True,True,1
99,35,True,True,1
100,57,True,True,1
101,33,True,True,1
102,45,True,True,1
103,70,True,True,1
104,55,True,True,1
105,59,True,True,1
106,45,True,True,1
107,52,True,True,1
108,41,True,True,1
109,37,True,True,1
110,65,True,True,1
111,56,True,True,1
112,58,True,True,1
113,51,True,True,1
114,56,True,True,1
115,52,True,True,1
116,36,True,True,1
117,61,True,True,1
118,36,True,True,1
119,61,True,True,1
120,43,True,True,1
121,51,True,True,1
122,50,True,True,1
123,47,True,True,1
124,46,True,True,1
125,67,True,True,1
126,43,True,True,1
127,36,True,True,1
128,53,True,True,1
129,50,True,True,1
130,36,True,True,1
131,44,True,True,1
132,66,True,True,1
133,54,True,True,1
134,61,True,True,1
135,51,True,True,1
136,74,True,True,1
137,45,True,True,1
138,45,True,True,1
139,59,True,True,1
140,48,True,True,1
141,31,True,True,1
142,31,True,True,1
143,40,True,True,1
144,66,True,True,1
145,51,True,True,1
146,69,True,True,1
147,53,True,True,1
148,34,True,True,1
149,61,True,True,1
150,46,True,True,1
151,72,True,True,1
152,59,True,True,1
153,64,True,True,1
154,39,True,True,1
155,67,True,True,1
156,43,True,True,1
157,47,True,True,1
158,64,True,True,1
159,64,True,True,1
160,50,True,True,1
161,42,True,True,1
162,66,True,True,1
163,56,True,True,1
164,52,True,True,1
165,41,True,True,1
166,59,True,True,1
167,44,True,True,1
168,60,True,True,1
169,33,True,True,1
170,58,True,True,1
171,57,True,True,1
172,47,True,True,1
173,69,True,True,1
174,47,True,True,1
175,51,True,True,1
176,49,True,True,1
177,58,True,True,1
178,45,True,True,1
179,48,True,True,1
180,48,True,True,1
181,55,True,True,1
182,67,True,True,1
183,63,True,True,1
184,55,True,True,1
185,47,True,True,1
186,49,True,True,1
187,62,True,True,1
188,57,True,True,1
189,64,True,True,1
190,38,True,True,1
191,68,True,True,1
192,27,True,True,1
193,60,True,True,1
194,74,True,True,1
195,56,True,True,1
196,51,True,True,1
197,42,True,True,1
198,63,True,True,1
199,44,True,True,1
200,59,True,True,1
201,74,True,True,1
202,60,True,True,1
203,49,True,True,1
204,59,True,True,1
205,56,True,True,1
206,48,True,True,1
207,48,True,True,1
208,51,True,True,1
209,49,True,True,1
210,53,True,True,1
211,47,True,True,1
212,63,True,True,1
213,48,True,True,1
214,60,True,True,1
215,57,True,True,1
216,41,True,True,1
217,52,True,True,1
218,68,True,True,1
219,41,True,True,1
220,37,True,True,1
221,35,True,True,1
222,50,True,True,1
223,65,True,True,1
224,56,True,True,1
225,32,True,True,1
226,56,True,True,1
227,39,True,True,1
228,65,True,True,1
229,48,True,True,1
230,58,True,True,1
231,54,True,True,1
232,56,True,True,1
233,60,True,True,1
234,44,True,True,1
235,49,True,True,1
236,60,True,True,1
237,41,True,True,1
238,59,True,True,1
239,46,True,True,1
240,48,True,True,1
241,55,True,True,1
242,50,True,True,1
243,57,True,True,1
244,32,True,True,1
245,50,True,True,1
246,60,True,True,1
247,40,True,True,1
248,62,True,True,1
249,53,True,True,1
250,65,True,True,1
251,37,True,True,1
252,49,True,True,1
253,55,True,True,1
254,67,True,True,1
255,39,True,True,1
256,53,True,True,1
257,37,True,True,1
258,52,True,True,1
259,47,True,True,1
260,41,True,True,1
261,50,True,True,1
262,78,True,True,1
263,55,True,True,1
264,41,True,True,1
265,44,True,True,1
266,59,True,True,1
267,50,True,True,1
268,43,True,True,1
269,50,True,True,1
270,49,True,True,1
271,60,True,True,1
272,48,True,True,1
273,58,True,True,1
274,51,True,True,1
275,53,True,True,1
276,53,True,True,1
277,38,True,True,1
278,53,True,True,1
279,50,True,True,1
280,50,True,True,1
281,54,True,True,1
282,70,True,True,1
283,38,True,True,1
284,47,True,True,1
285,59,True,True,1
286,61,True,True,1
287,54,True,True,1
288,49,True,True,1
289,68,True,True,1
290,60,True,True,1
291,67,True,True,1
292,72,True,True,1
293,44,True,True,1
294,60,True,True,1
295,39,True,True,1
296,42,True,True,1
297,53,True,True,1
298,48,True,True,1
299,52,True,True,1
300,52,True,True,1
301,46,True,True,1
302,53,True,True,1
303,34,True,True,1
304,73,True,True,1
305,55,True,True,1
