instance,num_type,step,LB,UB,comment
10000,steplog,10,1244,1369,--none--
10000,steplog,20,1348,1367,--none--
10000,steplog,30,1359,1361,--none--
10000,steplog,34,1361,1361,status:optimal
10000,timelog,34,0.06305670738220215,0,--none--
1000,steplog,10,847,893,--none--
1000,steplog,20,873,880,--none--
1000,steplog,30,878,879,--none--
1000,steplog,30,879,879,status:optimal
1000,timelog,30,0.053743600845336914,0,--none--
1001,steplog,10,1935,2061,--none--
1001,steplog,20,2046,2052,--none--
1001,steplog,23,2052,2052,status:optimal
1001,timelog,23,0.04289555549621582,0,--none--
1002,steplog,10,2629,2833,--none--
1002,steplog,20,2802,2812,--none--
1002,steplog,24,2812,2812,status:optimal
1002,timelog,24,0.04631233215332031,0,--none--
1003,steplog,10,458,838,--none--
1003,steplog,20,504,567,--none--
1003,steplog,30,523,533,--none--
1003,steplog,40,526,533,--none--
1003,steplog,47,529,529,status:optimal
1003,timelog,47,0.08913254737854004,0,--none--
1004,steplog,10,886,1034,--none--
1004,steplog,20,941,1000,--none--
1004,steplog,30,956,970,--none--
1004,steplog,40,964,968,--none--
1004,steplog,49,967,967,status:optimal
1004,timelog,49,0.08673715591430664,0,--none--
1005,steplog,10,1088,1237,--none--
1005,steplog,20,1183,1237,--none--
1005,steplog,30,1205,1230,--none--
1005,steplog,37,1219,1219,status:optimal
1005,timelog,37,0.06849241256713867,0,--none--
1006,steplog,10,1401,1552,--none--
1006,steplog,20,1453,1491,--none--
1006,steplog,30,1469,1474,--none--
1006,steplog,32,1474,1474,status:optimal
1006,timelog,32,0.061473846435546875,0,--none--
1007,steplog,10,881,1021,--none--
1007,steplog,20,1009,1021,--none--
1007,steplog,24,1017,1017,status:optimal
1007,timelog,24,0.04983210563659668,0,--none--
1008,steplog,10,1028,1096,--none--
1008,steplog,20,1039,1059,--none--
1008,steplog,30,1044,1059,--none--
1008,steplog,40,1052,1059,--none--
1008,steplog,50,1055,1059,--none--
1008,steplog,56,1059,1059,status:optimal
1008,timelog,56,0.1014559268951416,0,--none--
1009,steplog,10,1817,2218,--none--
1009,steplog,20,1913,2091,--none--
1009,steplog,30,1995,2091,--none--
1009,steplog,40,2071,2091,--none--
1009,steplog,49,2090,2090,status:optimal
1009,timelog,49,0.10231971740722656,0,--none--
100,steplog,10,1215,1331,--none--
100,steplog,20,1301,1321,--none--
100,steplog,26,1312,1312,status:optimal
100,timelog,26,0.04917550086975098,0,--none--
1010,steplog,10,2263,2638,--none--
1010,steplog,20,2498,2577,--none--
1010,steplog,30,2558,2577,--none--
1010,steplog,36,2577,2577,status:optimal
1010,timelog,36,0.06551313400268555,0,--none--
1011,steplog,10,806,831,--none--
1011,steplog,20,819,823,--none--
1011,steplog,21,823,823,status:optimal
1011,timelog,21,0.03952527046203613,0,--none--
1012,steplog,10,535,688,--none--
1012,steplog,20,610,638,--none--
1012,steplog,30,628,636,--none--
1012,steplog,36,634,634,status:optimal
1012,timelog,36,0.06333780288696289,0,--none--
1013,steplog,10,1191,1504,--none--
1013,steplog,20,1306,1395,--none--
1013,steplog,30,1341,1395,--none--
1013,steplog,40,1362,1395,--none--
1013,steplog,50,1379,1393,--none--
1013,steplog,58,1393,1393,status:optimal
1013,timelog,58,0.10763716697692871,0,--none--
1014,steplog,10,1977,2317,--none--
1014,steplog,20,2143,2244,--none--
1014,steplog,30,2182,2225,--none--
1014,steplog,40,2207,2213,--none--
1014,steplog,44,2213,2213,status:optimal
1014,timelog,44,0.0766756534576416,0,--none--
1015,steplog,10,1437,1692,--none--
1015,steplog,20,1560,1655,--none--
1015,steplog,30,1599,1640,--none--
1015,steplog,40,1619,1640,--none--
1015,steplog,50,1627,1635,--none--
1015,steplog,58,1631,1631,status:optimal
1015,timelog,58,0.10199952125549316,0,--none--
1016,steplog,10,2026,2174,--none--
1016,steplog,20,2128,2148,--none--
1016,steplog,27,2148,2148,status:optimal
1016,timelog,27,0.05506086349487305,0,--none--
1017,steplog,10,709,872,--none--
1017,steplog,20,761,796,--none--
1017,steplog,30,781,784,--none--
1017,steplog,34,783,783,status:optimal
1017,timelog,34,0.06319069862365723,0,--none--
1018,steplog,10,1862,2018,--none--
1018,steplog,20,1990,1996,--none--
1018,steplog,26,1995,1995,status:optimal
1018,timelog,26,0.0514070987701416,0,--none--
1019,steplog,10,1846,2102,--none--
1019,steplog,20,1981,2052,--none--
1019,steplog,30,2016,2052,--none--
1019,steplog,40,2032,2052,--none--
1019,steplog,50,2039,2046,--none--
1019,steplog,60,2044,2045,--none--
1019,steplog,62,2045,2045,status:optimal
1019,timelog,62,0.1017146110534668,0,--none--
101,steplog,10,798,885,--none--
101,steplog,20,838,841,--none--
101,steplog,24,841,841,status:optimal
101,timelog,24,0.049845218658447266,0,--none--
1020,steplog,10,1221,1390,--none--
1020,steplog,20,1303,1327,--none--
1020,steplog,25,1322,1322,status:optimal
1020,timelog,25,0.047234296798706055,0,--none--
1021,steplog,10,2059,2784,--none--
1021,steplog,20,2450,2595,--none--
1021,steplog,30,2549,2595,--none--
1021,steplog,38,2594,2594,status:optimal
1021,timelog,38,0.07094264030456543,0,--none--
1022,steplog,10,530,751,--none--
1022,steplog,20,623,676,--none--
1022,steplog,30,647,670,--none--
1022,steplog,40,663,670,--none--
1022,steplog,47,669,669,status:optimal
1022,timelog,47,0.08845734596252441,0,--none--
1023,steplog,10,672,744,--none--
1023,steplog,20,698,727,--none--
1023,steplog,30,711,723,--none--
1023,steplog,40,717,723,--none--
1023,steplog,50,721,723,--none--
1023,steplog,57,723,723,status:optimal
1023,timelog,57,0.09880781173706055,0,--none--
1024,steplog,10,1138,1242,--none--
1024,steplog,17,1242,1242,status:optimal
1024,timelog,17,0.034386396408081055,0,--none--
1025,steplog,10,306,436,--none--
1025,steplog,20,385,395,--none--
1025,steplog,28,395,395,status:optimal
1025,timelog,28,0.05516672134399414,0,--none--
1026,steplog,10,649,759,--none--
1026,steplog,20,666,669,--none--
1026,steplog,25,668,668,status:optimal
1026,timelog,25,0.04577445983886719,0,--none--
1027,steplog,10,1115,1381,--none--
1027,steplog,20,1221,1248,--none--
1027,steplog,30,1239,1240,--none--
1027,steplog,31,1240,1240,status:optimal
1027,timelog,31,0.05645346641540527,0,--none--
1028,steplog,10,872,949,--none--
1028,steplog,20,934,949,--none--
1028,steplog,23,949,949,status:optimal
1028,timelog,23,0.04541444778442383,0,--none--
1029,steplog,10,964,1685,--none--
1029,steplog,20,1085,1286,--none--
1029,steplog,30,1193,1244,--none--
1029,steplog,40,1233,1244,--none--
1029,steplog,50,1243,1244,--none--
1029,steplog,52,1244,1244,status:optimal
1029,timelog,52,0.10120534896850586,0,--none--
102,steplog,10,1435,1555,--none--
102,steplog,20,1489,1525,--none--
102,steplog,30,1504,1523,--none--
102,steplog,40,1510,1523,--none--
102,steplog,50,1516,1518,--none--
102,steplog,52,1518,1518,status:optimal
102,timelog,52,0.08555984497070312,0,--none--
1030,steplog,10,741,960,--none--
1030,steplog,20,859,960,--none--
1030,steplog,30,910,958,--none--
1030,steplog,40,945,958,--none--
1030,steplog,50,954,958,--none--
1030,steplog,60,955,958,--none--
1030,steplog,70,957,958,--none--
1030,steplog,74,958,958,status:optimal
1030,timelog,74,0.12152552604675293,0,--none--
1031,steplog,10,4408,4999,--none--
1031,steplog,20,4653,4897,--none--
1031,steplog,30,4778,4897,--none--
1031,steplog,40,4853,4897,--none--
1031,steplog,50,4885,4897,--none--
1031,steplog,51,4897,4897,status:optimal
1031,timelog,51,0.13273191452026367,0,--none--
1032,steplog,10,810,974,--none--
1032,steplog,20,904,954,--none--
1032,steplog,30,936,954,--none--
1032,steplog,36,947,947,status:optimal
1032,timelog,36,0.06903815269470215,0,--none--
1033,steplog,10,414,547,--none--
1033,steplog,20,476,500,--none--
1033,steplog,30,495,500,--none--
1033,steplog,38,499,499,status:optimal
1033,timelog,38,0.06440019607543945,0,--none--
1034,steplog,10,1505,1701,--none--
1034,steplog,20,1635,1654,--none--
1034,steplog,29,1654,1654,status:optimal
1034,timelog,29,0.0511777400970459,0,--none--
1035,steplog,10,1650,1671,--none--
1035,steplog,15,1671,1671,status:optimal
1035,timelog,15,0.02791762351989746,0,--none--
1036,steplog,10,2475,2807,--none--
1036,steplog,20,2578,2759,--none--
1036,steplog,30,2694,2759,--none--
1036,steplog,40,2722,2759,--none--
1036,steplog,50,2734,2757,--none--
1036,steplog,60,2745,2757,--none--
1036,steplog,70,2753,2757,--none--
1036,steplog,72,2757,2757,status:optimal
1036,timelog,72,0.1270914077758789,0,--none--
1037,steplog,10,283,410,--none--
1037,steplog,20,306,382,--none--
1037,steplog,30,312,334,--none--
1037,steplog,40,317,330,--none--
1037,steplog,50,323,330,--none--
1037,steplog,60,325,330,--none--
1037,steplog,70,329,330,--none--
1037,steplog,75,330,330,status:optimal
1037,timelog,75,0.13636136054992676,0,--none--
1038,steplog,10,463,657,--none--
1038,steplog,20,577,634,--none--
1038,steplog,30,597,624,--none--
1038,steplog,40,606,615,--none--
1038,steplog,50,609,615,--none--
1038,steplog,56,611,611,status:optimal
1038,timelog,56,0.10139942169189453,0,--none--
1039,steplog,10,224,388,--none--
1039,steplog,20,318,354,--none--
1039,steplog,30,332,340,--none--
1039,steplog,35,336,336,status:optimal
1039,timelog,35,0.07424497604370117,0,--none--
103,steplog,10,2772,2916,--none--
103,steplog,20,2884,2914,--none--
103,steplog,30,2904,2907,--none--
103,steplog,31,2907,2907,status:optimal
103,timelog,31,0.06147313117980957,0,--none--
1040,steplog,10,1921,1988,--none--
1040,steplog,20,1964,1988,--none--
1040,steplog,30,1975,1988,--none--
1040,steplog,40,1987,1988,--none--
1040,steplog,42,1988,1988,status:optimal
1040,timelog,42,0.07130002975463867,0,--none--
1041,steplog,10,1139,1281,--none--
1041,steplog,20,1236,1262,--none--
1041,steplog,26,1244,1244,status:optimal
1041,timelog,26,0.045580148696899414,0,--none--
1042,steplog,10,2465,2657,--none--
1042,steplog,20,2613,2657,--none--
1042,steplog,24,2637,2637,status:optimal
1042,timelog,24,0.04425382614135742,0,--none--
1043,steplog,10,1781,1868,--none--
1043,steplog,20,1847,1868,--none--
1043,steplog,28,1868,1868,status:optimal
1043,timelog,28,0.05026578903198242,0,--none--
1044,steplog,10,426,450,--none--
1044,steplog,15,448,448,status:optimal
1044,timelog,15,0.0276486873626709,0,--none--
1045,steplog,10,611,784,--none--
1045,steplog,20,665,703,--none--
1045,steplog,30,686,693,--none--
1045,steplog,40,690,693,--none--
1045,steplog,49,693,693,status:optimal
1045,timelog,49,0.09137535095214844,0,--none--
1046,steplog,10,1954,2132,--none--
1046,steplog,20,2101,2132,--none--
1046,steplog,30,2130,2132,--none--
1046,steplog,30,2132,2132,status:optimal
1046,timelog,30,0.05137372016906738,0,--none--
1047,steplog,10,3268,3489,--none--
1047,steplog,20,3462,3483,--none--
1047,steplog,24,3467,3467,status:optimal
1047,timelog,24,0.04523658752441406,0,--none--
1048,steplog,10,2925,3161,--none--
1048,steplog,20,3088,3158,--none--
1048,steplog,30,3141,3158,--none--
1048,steplog,40,3151,3158,--none--
1048,steplog,50,3157,3158,--none--
1048,steplog,50,3158,3158,status:optimal
1048,timelog,50,0.08568692207336426,0,--none--
1049,steplog,10,708,908,--none--
1049,steplog,20,838,881,--none--
1049,steplog,30,864,880,--none--
1049,steplog,37,879,879,status:optimal
1049,timelog,37,0.06498408317565918,0,--none--
104,steplog,10,2692,3214,--none--
104,steplog,20,2949,3018,--none--
104,steplog,29,2999,2999,status:optimal
104,timelog,29,0.05512380599975586,0,--none--
1050,steplog,10,388,537,--none--
1050,steplog,20,417,505,--none--
1050,steplog,30,455,499,--none--
1050,steplog,40,475,494,--none--
1050,steplog,50,480,494,--none--
1050,steplog,60,489,494,--none--
1050,steplog,70,491,494,--none--
1050,steplog,80,493,494,--none--
1050,steplog,87,493,493,status:optimal
1050,timelog,87,0.1412639617919922,0,--none--
1051,steplog,10,1103,1155,--none--
1051,steplog,20,1148,1155,--none--
1051,steplog,26,1153,1153,status:optimal
1051,timelog,26,0.045275211334228516,0,--none--
1052,steplog,10,724,871,--none--
1052,steplog,20,815,830,--none--
1052,steplog,27,830,830,status:optimal
1052,timelog,27,0.05487489700317383,0,--none--
1053,steplog,10,970,1385,--none--
1053,steplog,20,1195,1385,--none--
1053,steplog,30,1271,1365,--none--
1053,steplog,40,1342,1365,--none--
1053,steplog,43,1365,1365,status:optimal
1053,timelog,43,0.08876204490661621,0,--none--
1054,steplog,10,1150,1360,--none--
1054,steplog,20,1230,1360,--none--
1054,steplog,30,1275,1360,--none--
1054,steplog,40,1315,1360,--none--
1054,steplog,50,1353,1354,--none--
1054,steplog,51,1354,1354,status:optimal
1054,timelog,51,0.08913040161132812,0,--none--
1055,steplog,10,496,583,--none--
1055,steplog,20,559,571,--none--
1055,steplog,30,568,569,--none--
1055,steplog,31,569,569,status:optimal
1055,timelog,31,0.04931044578552246,0,--none--
1056,steplog,10,907,969,--none--
1056,steplog,20,947,957,--none--
1056,steplog,26,957,957,status:optimal
1056,timelog,26,0.045534610748291016,0,--none--
1057,steplog,10,1022,1072,--none--
1057,steplog,20,1051,1072,--none--
1057,steplog,30,1065,1070,--none--
1057,steplog,39,1070,1070,status:optimal
1057,timelog,39,0.06837797164916992,0,--none--
1058,steplog,10,832,988,--none--
1058,steplog,20,891,901,--none--
1058,steplog,27,901,901,status:optimal
1058,timelog,27,0.0505373477935791,0,--none--
1059,steplog,10,903,993,--none--
1059,steplog,20,949,977,--none--
1059,steplog,27,969,969,status:optimal
1059,timelog,27,0.05271100997924805,0,--none--
105,steplog,10,845,1170,--none--
105,steplog,20,1075,1150,--none--
105,steplog,30,1107,1150,--none--
105,steplog,40,1126,1150,--none--
105,steplog,50,1142,1150,--none--
105,steplog,60,1148,1150,--none--
105,steplog,61,1149,1149,status:optimal
105,timelog,61,0.11275649070739746,0,--none--
1060,steplog,10,980,1165,--none--
1060,steplog,20,1084,1165,--none--
1060,steplog,30,1115,1165,--none--
1060,steplog,40,1162,1165,--none--
1060,steplog,42,1163,1163,status:optimal
1060,timelog,42,0.07714414596557617,0,--none--
1061,steplog,10,2539,2676,--none--
1061,steplog,20,2631,2676,--none--
1061,steplog,30,2666,2676,--none--
1061,steplog,38,2676,2676,status:optimal
1061,timelog,38,0.06685209274291992,0,--none--
1062,steplog,10,692,1038,--none--
1062,steplog,20,772,972,--none--
1062,steplog,30,803,892,--none--
1062,steplog,40,834,874,--none--
