LB,gap,legend
simpl_BB,0.05847501754760742,timelog
LB_first,0.023923444976076555,min size first element aligned
LB_first,0.0003311634063720703,timelog
LB_last,0.21435406698564594,min size last element aligned
LB_last,0.0031881332397460938,timelog
LB_levels,0.0784688995215311,inversions-driven LB
LB_levels,0.00021123886108398438,timelog
simpl_BB,0.13633346557617188,timelog
LB_first,0.025479814692256783,min size first element aligned
LB_first,0.00029850006103515625,timelog
LB_last,0.3643282594308405,min size last element aligned
LB_last,0.0032091140747070312,timelog
LB_levels,0.04897418927862343,inversions-driven LB
LB_levels,0.0002281665802001953,timelog
simpl_BB,0.074066162109375,timelog
LB_first,0.005722460658082976,min size first element aligned
LB_first,0.0002868175506591797,timelog
LB_last,0.3290414878397711,min size last element aligned
LB_last,0.0031969547271728516,timelog
LB_levels,0.044349070100143065,inversions-driven LB
LB_levels,0.0002200603485107422,timelog
simpl_BB,0.06301498413085938,timelog
LB_first,0.0040625,min size first element aligned
LB_first,0.0002849102020263672,timelog
LB_last,0.3721875,min size last element aligned
LB_last,0.0031807422637939453,timelog
LB_levels,0.0340625,inversions-driven LB
LB_levels,0.0002224445343017578,timelog
simpl_BB,0.06854581832885742,timelog
LB_first,0.0009372071227741331,min size first element aligned
LB_first,0.0003001689910888672,timelog
LB_last,0.4217432052483599,min size last element aligned
LB_last,0.003218412399291992,timelog
LB_levels,0.08528584817244611,inversions-driven LB
LB_levels,0.0002200603485107422,timelog
simpl_BB,0.06613445281982422,timelog
LB_first,0.017699115044247787,min size first element aligned
LB_first,0.00028324127197265625,timelog
LB_last,0.2713864306784661,min size last element aligned
LB_last,0.0031876564025878906,timelog
LB_levels,0.08062930186823992,inversions-driven LB
LB_levels,0.00020170211791992188,timelog
simpl_BB,0.0748598575592041,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0002944469451904297,timelog
LB_last,0.5244200244200244,min size last element aligned
LB_last,0.003226041793823242,timelog
LB_levels,0.04700854700854701,inversions-driven LB
LB_levels,0.0002117156982421875,timelog
simpl_BB,0.09527015686035156,timelog
LB_first,0.0057251908396946565,min size first element aligned
LB_first,0.00029778480529785156,timelog
LB_last,0.41603053435114506,min size last element aligned
LB_last,0.003179311752319336,timelog
LB_levels,0.1049618320610687,inversions-driven LB
LB_levels,0.00017976760864257812,timelog
simpl_BB,0.11641240119934082,timelog
LB_first,0.11726384364820847,min size first element aligned
LB_first,0.00030684471130371094,timelog
LB_last,0.1737242128121607,min size last element aligned
LB_last,0.003200054168701172,timelog
LB_levels,0.07926167209554831,inversions-driven LB
LB_levels,0.0002052783966064453,timelog
simpl_BB,0.07368350028991699,timelog
LB_first,0.0014347202295552368,min size first element aligned
LB_first,0.00027871131896972656,timelog
LB_last,0.3629842180774749,min size last element aligned
LB_last,0.003178119659423828,timelog
LB_levels,0.0746054519368723,inversions-driven LB
LB_levels,0.00019884109497070312,timelog
simpl_BB,0.06640791893005371,timelog
LB_first,0.0018467220683287165,min size first element aligned
LB_first,0.0003001689910888672,timelog
LB_last,0.16620498614958448,min size last element aligned
LB_last,0.0031998157501220703,timelog
LB_levels,0.16251154201292706,inversions-driven LB
LB_levels,0.0001876354217529297,timelog
simpl_BB,0.05449485778808594,timelog
LB_first,0.003924133420536298,min size first element aligned
LB_first,0.0002875328063964844,timelog
LB_last,0.08175277959450622,min size last element aligned
LB_last,0.0032663345336914062,timelog
LB_levels,0.04905166775670373,inversions-driven LB
LB_levels,0.000213623046875,timelog
simpl_BB,0.07031917572021484,timelog
LB_first,0.027649769585253458,min size first element aligned
LB_first,0.0002872943878173828,timelog
LB_last,0.2684331797235023,min size last element aligned
LB_last,0.0031838417053222656,timelog
LB_levels,0.15207373271889402,inversions-driven LB
LB_levels,0.0002079010009765625,timelog
simpl_BB,0.046472787857055664,timelog
LB_first,0.025828460038986353,min size first element aligned
LB_first,0.00028896331787109375,timelog
LB_last,0.24951267056530213,min size last element aligned
LB_last,0.0031919479370117188,timelog
LB_levels,0.047270955165692005,inversions-driven LB
LB_levels,0.0002353191375732422,timelog
simpl_BB,0.05003714561462402,timelog
LB_first,0.0,min size first element aligned
LB_first,0.00026035308837890625,timelog
LB_last,0.05329153605015674,min size last element aligned
LB_last,0.003190279006958008,timelog
LB_levels,0.10658307210031348,inversions-driven LB
LB_levels,0.00020122528076171875,timelog
simpl_BB,0.062264442443847656,timelog
LB_first,0.026785714285714284,min size first element aligned
LB_first,0.0002830028533935547,timelog
LB_last,0.17633928571428573,min size last element aligned
LB_last,0.003183603286743164,timelog
LB_levels,0.08258928571428571,inversions-driven LB
LB_levels,0.0002048015594482422,timelog
simpl_BB,0.07460165023803711,timelog
LB_first,0.00922722029988466,min size first element aligned
LB_first,0.0003032684326171875,timelog
LB_last,0.12687427912341406,min size last element aligned
LB_last,0.003191232681274414,timelog
LB_levels,0.08650519031141868,inversions-driven LB
LB_levels,0.00020933151245117188,timelog
simpl_BB,0.0356287956237793,timelog
LB_first,0.0,min size first element aligned
LB_first,0.00027489662170410156,timelog
LB_last,0.06095238095238095,min size last element aligned
LB_last,0.0031991004943847656,timelog
LB_levels,0.05980952380952381,inversions-driven LB
LB_levels,0.0001933574676513672,timelog
simpl_BB,0.07452988624572754,timelog
LB_first,0.0,min size first element aligned
LB_first,0.00027680397033691406,timelog
LB_last,0.13541666666666666,min size last element aligned
LB_last,0.00319671630859375,timelog
LB_levels,0.4739583333333333,inversions-driven LB
LB_levels,0.00017070770263671875,timelog
simpl_BB,0.05755329132080078,timelog
LB_first,0.003861003861003861,min size first element aligned
LB_first,0.0002834796905517578,timelog
LB_last,0.2133204633204633,min size last element aligned
LB_last,0.0032117366790771484,timelog
LB_levels,0.07142857142857142,inversions-driven LB
LB_levels,0.00022149085998535156,timelog
simpl_BB,0.0737161636352539,timelog
LB_first,0.008849557522123894,min size first element aligned
LB_first,0.0002884864807128906,timelog
LB_last,0.19616519174041297,min size last element aligned
LB_last,0.0032041072845458984,timelog
LB_levels,0.08849557522123894,inversions-driven LB
LB_levels,0.0001976490020751953,timelog
simpl_BB,0.08724284172058105,timelog
LB_first,0.008479067302596715,min size first element aligned
LB_first,0.0002875328063964844,timelog
LB_last,0.06147323794382618,min size last element aligned
LB_last,0.003192901611328125,timelog
LB_levels,0.05140434552199258,inversions-driven LB
LB_levels,0.00022029876708984375,timelog
simpl_BB,0.07337641716003418,timelog
LB_first,0.004118050789293068,min size first element aligned
LB_first,0.0002841949462890625,timelog
LB_last,0.2621825669183253,min size last element aligned
LB_last,0.0032083988189697266,timelog
LB_levels,0.043239533287577216,inversions-driven LB
LB_levels,0.00023412704467773438,timelog
simpl_BB,0.09257674217224121,timelog
LB_first,0.00933786078098472,min size first element aligned
LB_first,0.0002837181091308594,timelog
LB_last,0.4244482173174873,min size last element aligned
LB_last,0.0031790733337402344,timelog
LB_levels,0.057724957555178265,inversions-driven LB
LB_levels,0.00021696090698242188,timelog
simpl_BB,0.060640811920166016,timelog
LB_first,0.010416666666666666,min size first element aligned
LB_first,0.0002894401550292969,timelog
LB_last,0.023065476190476192,min size last element aligned
LB_last,0.0031888484954833984,timelog
LB_levels,0.06398809523809523,inversions-driven LB
LB_levels,0.00021791458129882812,timelog
simpl_BB,0.1020359992980957,timelog
LB_first,0.015250544662309368,min size first element aligned
LB_first,0.0003039836883544922,timelog
LB_last,0.12418300653594772,min size last element aligned
LB_last,0.0031974315643310547,timelog
LB_levels,0.11764705882352941,inversions-driven LB
LB_levels,0.00018715858459472656,timelog
simpl_BB,0.05047798156738281,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0002918243408203125,timelog
LB_last,0.3210943124550036,min size last element aligned
LB_last,0.0032019615173339844,timelog
LB_levels,0.07703383729301656,inversions-driven LB
LB_levels,0.0002143383026123047,timelog
simpl_BB,0.0620419979095459,timelog
LB_first,0.001148105625717566,min size first element aligned
LB_first,0.0002760887145996094,timelog
LB_last,0.5729047072330654,min size last element aligned
LB_last,0.003191232681274414,timelog
LB_levels,0.10677382319173363,inversions-driven LB
LB_levels,0.00018310546875,timelog
simpl_BB,0.05339241027832031,timelog
LB_first,0.001584786053882726,min size first element aligned
LB_first,0.0002779960632324219,timelog
LB_last,0.03169572107765452,min size last element aligned
LB_last,0.003193378448486328,timelog
LB_levels,0.09667194928684628,inversions-driven LB
LB_levels,0.00020360946655273438,timelog
simpl_BB,0.05494499206542969,timelog
LB_first,0.0007727975270479134,min size first element aligned
LB_first,0.00028133392333984375,timelog
LB_last,0.2125193199381762,min size last element aligned
LB_last,0.003182649612426758,timelog
LB_levels,0.08732612055641421,inversions-driven LB
LB_levels,0.000194549560546875,timelog
