n | color_size| cover_size| int_size| int_cov2col_size| int_col2cov_size| plain_MIP_vars| plain_MIP_constrs| exp_time
5 | 9         | 10        | 14      | 14              | 14              | 5             | 8                | 0.0
5 | 6         | 11        | 13      | 13              | 12              | 5             | 9                | 0.0
5 | 7         | 11        | 12      | 12              | 12              | 5             | 8                | 0.0
5 | 7         | 11        | 18      | 18              | 15              | 5             | 8                | 0.0
5 | 9         | 14        | 20      | 20              | 15              | 5             | 7                | 0.0
7 | 10        | 18        | 24      | 24              | 25              | 7             | 12               | 0.0
7 | 14        | 19        | 30      | 27              | 31              | 7             | 10               | 0.0
7 | 18        | 22        | 41      | 38              | 41              | 7             | 9                | 0.0
7 | 11        | 27        | 33      | 34              | 30              | 7             | 11               | 0.0
7 | 10        | 22        | 33      | 32              | 33              | 7             | 12               | 0.0
10| 32        | 71        | 130     | 145             | 130             | 10            | 12               | 0.0
10| 23        | 46        | 73      | 73              | 89              | 10            | 14               | 0.0
10| 27        | 60        | 128     | 116             | 134             | 10            | 14               | 0.0
10| 11        | 60        | 60      | 60              | 60              | 10            | 19               | 0.0
10| 31        | 43        | 121     | 147             | 121             | 10            | 13               | 0.0
15| 31        | 411       | 633     | 663             | 643             | 15            | 21               | 0.1
15| 70        | 256       | 966     | 908             | 968             | 15            | 17               | 0.1
15| 33        | 146       | 262     | 299             | 226             | 15            | 23               | 0.1
15| 50        | 108       | 445     | 780             | 427             | 15            | 19               | 0.1
15| 48        | 156       | 587     | 616             | 691             | 15            | 20               | 0.1
20| 47        | 607       | 930     | 911             | 947             | 20            | 28               | 0.1
20| 54        | 3115      | 4481    | 4578            | 4933            | 20            | 28               | 1.0
20| 65        | 1756      | 4498    | 4923            | 4987            | 20            | 25               | 0.9
20| 84        | 2270      | 3953    | 3953            | 5477            | 20            | 22               | 0.8
20| 67        | 1689      | 3531    | 5829            | 3704            | 20            | 25               | 0.9
25| 122       | 10400     | 22658   | 21451           | 30653           | 25            | 27               | 4.0
25| 119       | 10281     | 22248   | 25236           | 22248           | 25            | 29               | 2.8
25| 82        | 5234      | 13295   | 20347           | 13290           | 25            | 29               | 3.1
25| 78        | 3320      | 9282    | 9239            | 11405           | 25            | 31               | 1.7
25| 104       | 6934      | 14346   | 16614           | 17253           | 25            | 28               | 2.7
30| 86        | 21872     | 24613   | 39886           | 24529           | 30            | 36               | 9.8
30| 103       | 24867     | 46515   | 55636           | 52772           | 30            | 39               | 13.2
30| 96        | 29752     | 44876   | 43241           | 55373           | 30            | 38               | 13.1
30| 119       | 35965     | 53781   | 66712           | 62493           | 30            | 36               | 17.7
30| 120       | 17616     | 51990   | 95051           | 54456           | 30            | 37               | 14.1
