n, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, plain_MIP_vars, plain_MIP_constrs, exp_time
5, 8, 14, 21, 21, 21, 5, 8, 0.0
5, 6, 14, 14, 14, 14, 5, 9, 0.0
5, 11, 14, 20, 20, 21, 5, 7, 0.0
5, 6, 14, 17, 19, 17, 5, 9, 0.0
5, 6, 14, 15, 15, 15, 5, 9, 0.0
7, 12, 22, 36, 43, 24, 7, 10, 0.0
7, 8, 22, 25, 24, 25, 7, 13, 0.0
7, 14, 22, 35, 35, 38, 7, 12, 0.0
7, 14, 22, 39, 43, 38, 7, 10, 0.0
7, 14, 22, 38, 42, 39, 7, 12, 0.0
10, 29, 34, 103, 119, 110, 10, 13, 0.0
10, 22, 34, 80, 87, 66, 10, 16, 0.0
10, 18, 34, 61, 93, 45, 10, 15, 0.0
10, 21, 34, 85, 204, 85, 10, 16, 0.0
10, 17, 34, 69, 70, 53, 10, 17, 0.0
15, 44, 54, 125, 154, 110, 15, 23, 0.0
15, 32, 54, 130, 162, 99, 15, 23, 0.1
15, 37, 54, 225, 467, 188, 15, 23, 0.1
15, 34, 54, 211, 345, 160, 15, 24, 0.1
15, 35, 54, 280, 580, 298, 15, 22, 0.1
20, 69, 74, 664, 1306, 581, 20, 26, 0.2
20, 48, 74, 358, 1526, 251, 20, 29, 0.3
20, 72, 74, 446, 1274, 427, 20, 25, 0.4
20, 104, 74, 500, 646, 518, 20, 22, 0.1
20, 72, 74, 298, 1024, 260, 20, 25, 0.2
25, 113, 94, 1977, 16780, 1636, 25, 28, 1.5
25, 112, 94, 1296, 9222, 664, 25, 31, 0.7
25, 92, 94, 1278, 31211, 836, 25, 33, 1.7
25, 93, 94, 911, 3220, 962, 25, 34, 0.5
25, 100, 94, 1390, 7497, 1488, 25, 30, 0.7
30, 109, 114, 1244, 4509, 459, 30, 39, 8.8
30, 91, 114, 1961, 211509, 805, 30, 38, 15.4
30, 113, 114, 1522, 12103, 909, 30, 38, 6.5
30, 124, 114, 6436, 65389, 1752, 30, 35, 6.8
30, 116, 114, 810, 8433, 517, 30, 37, 1.0
