run,k,n,method,step,time
test,0,5,gen_instance,all, 23.3
test,0,5,plain_MIP,build+solve,0.4
test,0,5,CPP,BDD-build,2.6
test,0,5,CPP,MIP-build,1.2
test,0,5,CPP,MIP-solve,0.4
test,0,5,CPP,VS-build+solve,1.7
test,0,5,CPP,BDD-align-to-vs,1.2
test,0,5,CPP,intersection-build,0.1
test,0,5,CPP,intersection-SP-solve,0.0
test,0,5,CPP,BDD-align-gsifts,13.6
test,0,5,CPP,intersection-gsifts-build,0.1
test,0,5,CPP,intersection-gsifts-SP-solve,0.1
test,1,5,gen_instance,all, 2.8
test,1,5,plain_MIP,build+solve,0.7
test,1,5,CPP,BDD-build,3.4
test,1,5,CPP,MIP-build,1.7
test,1,5,CPP,MIP-solve,0.3
test,1,5,CPP,VS-build+solve,0.6
test,1,5,CPP,BDD-align-to-vs,1.4
test,1,5,CPP,intersection-build,0.1
test,1,5,CPP,intersection-SP-solve,0.0
test,1,5,CPP,BDD-align-gsifts,12.5
test,1,5,CPP,intersection-gsifts-build,0.1
test,1,5,CPP,intersection-gsifts-SP-solve,0.0
test,2,5,gen_instance,all, 2.3
test,2,5,plain_MIP,build+solve,0.4
test,2,5,CPP,BDD-build,2.4
test,2,5,CPP,MIP-build,1.4
test,2,5,CPP,MIP-solve,0.3
test,2,5,CPP,VS-build+solve,3.8
test,2,5,CPP,BDD-align-to-vs,2.3
test,2,5,CPP,intersection-build,0.1
test,2,5,CPP,intersection-SP-solve,0.0
test,2,5,CPP,BDD-align-gsifts,10.7
test,2,5,CPP,intersection-gsifts-build,0.1
test,2,5,CPP,intersection-gsifts-SP-solve,0.0
test,3,5,gen_instance,all, 3.2
test,3,5,plain_MIP,build+solve,0.9
test,3,5,CPP,BDD-build,2.8
test,3,5,CPP,MIP-build,1.3
test,3,5,CPP,MIP-solve,0.5
test,3,5,CPP,VS-build+solve,0.6
test,3,5,CPP,BDD-align-to-vs,1.1
test,3,5,CPP,intersection-build,0.1
test,3,5,CPP,intersection-SP-solve,0.0
test,3,5,CPP,BDD-align-gsifts,11.7
test,3,5,CPP,intersection-gsifts-build,0.1
test,3,5,CPP,intersection-gsifts-SP-solve,0.0
test,4,5,gen_instance,all, 2.7
test,4,5,plain_MIP,build+solve,0.4
test,4,5,CPP,BDD-build,2.7
test,4,5,CPP,MIP-build,1.3
test,4,5,CPP,MIP-solve,0.3
test,4,5,CPP,VS-build+solve,0.5
test,4,5,CPP,BDD-align-to-vs,1.7
test,4,5,CPP,intersection-build,0.2
