instance,num_type,value,comment
-1,legend,orig_simpl,Simplified problem
-1,legend,orig_minAB,Best of A and B
-1,legend,orig_5random,Best of 5 random
-1,legend,orig_gsifts1p,Greedy BDD sifts
0,orig_simpl_obj,171,--none--
0,orig_minAB_obj,171,--none--
0,orig_5random_obj,249,--none--
0,orig_gsifts1p_obj,162,--none--
1,orig_simpl_obj,294,--none--
1,orig_minAB_obj,275,--none--
1,orig_5random_obj,434,--none--
1,orig_gsifts1p_obj,287,--none--
2,orig_simpl_obj,170,--none--
2,orig_minAB_obj,161,--none--
2,orig_5random_obj,217,--none--
2,orig_gsifts1p_obj,157,--none--
3,orig_simpl_obj,149,--none--
3,orig_minAB_obj,130,--none--
3,orig_5random_obj,174,--none--
3,orig_gsifts1p_obj,130,--none--
4,orig_simpl_obj,331,--none--
4,orig_minAB_obj,241,--none--
4,orig_5random_obj,318,--none--
4,orig_gsifts1p_obj,329,--none--
5,orig_simpl_obj,279,--none--
5,orig_minAB_obj,279,--none--
5,orig_5random_obj,438,--none--
5,orig_gsifts1p_obj,250,--none--
6,orig_simpl_obj,231,--none--
6,orig_minAB_obj,226,--none--
6,orig_5random_obj,335,--none--
6,orig_gsifts1p_obj,211,--none--
7,orig_simpl_obj,95,--none--
7,orig_minAB_obj,94,--none--
7,orig_5random_obj,105,--none--
7,orig_gsifts1p_obj,88,--none--
8,orig_simpl_obj,131,--none--
8,orig_minAB_obj,133,--none--
8,orig_5random_obj,161,--none--
8,orig_gsifts1p_obj,130,--none--
9,orig_simpl_obj,222,--none--
9,orig_minAB_obj,196,--none--
9,orig_5random_obj,276,--none--
9,orig_gsifts1p_obj,197,--none--
10,orig_simpl_obj,168,--none--
10,orig_minAB_obj,153,--none--
10,orig_5random_obj,225,--none--
10,orig_gsifts1p_obj,147,--none--
11,orig_simpl_obj,218,--none--
11,orig_minAB_obj,184,--none--
11,orig_5random_obj,339,--none--
11,orig_gsifts1p_obj,187,--none--
12,orig_simpl_obj,293,--none--
12,orig_minAB_obj,215,--none--
12,orig_5random_obj,387,--none--
12,orig_gsifts1p_obj,180,--none--
13,orig_simpl_obj,66,--none--
13,orig_minAB_obj,71,--none--
13,orig_5random_obj,70,--none--
13,orig_gsifts1p_obj,64,--none--
14,orig_simpl_obj,226,--none--
14,orig_minAB_obj,191,--none--
14,orig_5random_obj,203,--none--
14,orig_gsifts1p_obj,103,--none--
15,orig_simpl_obj,199,--none--
15,orig_minAB_obj,169,--none--
15,orig_5random_obj,197,--none--
15,orig_gsifts1p_obj,152,--none--
16,orig_simpl_obj,187,--none--
16,orig_minAB_obj,186,--none--
16,orig_5random_obj,295,--none--
16,orig_gsifts1p_obj,161,--none--
17,orig_simpl_obj,216,--none--
17,orig_minAB_obj,214,--none--
17,orig_5random_obj,369,--none--
17,orig_gsifts1p_obj,171,--none--
18,orig_simpl_obj,32,--none--
18,orig_minAB_obj,33,--none--
18,orig_5random_obj,34,--none--
18,orig_gsifts1p_obj,37,--none--
19,orig_simpl_obj,45,--none--
19,orig_minAB_obj,44,--none--
19,orig_5random_obj,40,--none--
19,orig_gsifts1p_obj,41,--none--
20,orig_simpl_obj,95,--none--
20,orig_minAB_obj,90,--none--
20,orig_5random_obj,107,--none--
20,orig_gsifts1p_obj,101,--none--
21,orig_simpl_obj,295,--none--
21,orig_minAB_obj,267,--none--
21,orig_5random_obj,343,--none--
21,orig_gsifts1p_obj,255,--none--
22,orig_simpl_obj,236,--none--
22,orig_minAB_obj,228,--none--
22,orig_5random_obj,272,--none--
22,orig_gsifts1p_obj,202,--none--
23,orig_simpl_obj,30,--none--
23,orig_minAB_obj,30,--none--
23,orig_5random_obj,33,--none--
23,orig_gsifts1p_obj,31,--none--
24,orig_simpl_obj,236,--none--
24,orig_minAB_obj,243,--none--
24,orig_5random_obj,299,--none--
24,orig_gsifts1p_obj,202,--none--
25,orig_simpl_obj,279,--none--
25,orig_minAB_obj,286,--none--
25,orig_5random_obj,342,--none--
25,orig_gsifts1p_obj,292,--none--
26,orig_simpl_obj,189,--none--
26,orig_minAB_obj,193,--none--
26,orig_5random_obj,372,--none--
26,orig_gsifts1p_obj,203,--none--
27,orig_simpl_obj,66,--none--
27,orig_minAB_obj,65,--none--
