instance,inversions,reducedA,reducedB,gen_trial
1,46,True,True,1
2,49,True,True,1
3,58,True,True,1
4,69,True,True,1
5,67,True,True,1
6,56,True,True,1
7,43,True,True,1
8,73,True,True,1
9,55,True,True,1
10,64,True,True,1
11,51,True,True,1
12,53,True,True,1
13,54,True,True,1
14,70,True,True,1
15,55,True,True,1
16,42,True,True,1
17,62,True,True,1
18,52,True,True,1
19,59,True,True,1
20,34,True,True,1
21,45,True,True,1
22,56,True,True,1
23,47,True,True,1
24,66,True,True,1
25,55,True,True,1
26,38,True,True,1
27,57,True,True,1
28,45,True,True,1
29,50,True,True,1
30,52,True,True,1
31,63,True,True,1
32,35,True,True,1
33,53,True,True,1
34,67,True,True,1
35,33,True,True,1
36,64,True,True,1
37,51,True,True,1
38,61,True,True,1
39,62,True,True,1
40,52,True,True,1
41,46,True,True,1
42,57,True,True,1
43,62,True,True,1
44,61,True,True,1
45,59,True,True,1
46,49,True,True,1
47,55,True,True,1
48,56,True,True,1
49,57,True,True,1
50,56,True,True,1
51,44,True,True,1
52,45,True,True,1
53,62,True,True,1
54,39,True,True,1
55,66,True,True,1
56,70,True,True,1
57,57,True,True,1
58,60,True,True,1
59,70,True,True,1
60,56,True,True,1
61,45,True,True,1
62,49,True,True,1
63,64,True,True,1
64,53,True,True,1
65,65,True,True,1
66,50,True,True,1
67,50,True,True,1
68,63,True,True,1
69,54,True,True,1
70,59,True,True,1
71,58,True,True,1
72,48,True,True,1
73,37,True,True,1
74,39,True,True,1
75,49,True,True,1
76,58,True,True,1
77,40,True,True,1
78,70,True,True,1
79,51,True,True,1
80,50,True,True,1
81,57,True,True,1
82,47,True,True,1
83,43,True,True,1
84,45,True,True,1
85,53,True,True,1
86,65,True,True,1
87,58,True,True,1
88,55,True,True,1
89,44,True,True,1
90,46,True,True,1
91,61,True,True,1
92,48,True,True,1
93,63,True,True,1
94,62,True,True,1
95,62,True,True,1
96,50,True,True,1
97,44,True,True,1
98,45,True,True,1
99,40,True,True,1
100,51,True,True,1
101,64,True,True,1
102,61,True,True,1
103,48,True,True,1
104,46,True,True,1
105,56,True,True,1
106,34,True,True,1
107,51,True,True,1
108,70,True,True,1
109,54,True,True,1
110,67,True,True,1
111,62,True,True,1
112,47,True,True,1
113,53,True,True,1
114,60,True,True,1
115,47,True,True,1
116,44,True,True,1
117,44,True,True,1
118,61,True,True,1
119,45,True,True,1
120,41,True,True,1
121,75,True,True,1
122,62,True,True,1
123,55,True,True,1
124,52,True,True,1
125,44,True,True,1
126,47,True,True,1
127,53,True,True,1
128,56,True,True,1
129,74,True,True,1
130,71,True,True,1
131,52,True,True,1
132,37,True,True,1
133,42,True,True,1
134,47,True,True,1
135,49,True,True,1
136,61,True,True,1
137,51,True,True,1
138,51,True,True,1
139,35,True,True,1
140,63,True,True,1
141,48,True,True,1
142,58,True,True,1
143,52,True,True,1
144,67,True,True,1
145,58,True,True,1
146,52,True,True,1
147,73,True,True,1
148,35,True,True,1
149,53,True,True,1
150,52,True,True,1
151,45,True,True,1
152,38,True,True,1
153,46,True,True,1
154,60,True,True,1
155,37,True,True,1
156,39,True,True,1
157,46,True,True,1
158,63,True,True,1
159,54,True,True,1
160,55,True,True,1
161,54,True,True,1
162,63,True,True,1
163,59,True,True,1
164,62,True,True,1
165,56,True,True,1
166,66,True,True,1
167,53,True,True,1
168,65,True,True,1
169,57,True,True,1
170,59,True,True,1
171,56,True,True,1
172,67,True,True,1
173,34,True,True,1
174,48,True,True,1
175,57,True,True,1
176,32,True,True,1
177,74,True,True,1
178,36,True,True,1
179,51,True,True,1
180,56,True,True,1
181,43,True,True,1
182,56,True,True,1
183,55,True,True,1
184,55,True,True,1
185,45,True,True,1
186,57,True,True,1
187,55,True,True,1
188,52,True,True,1
189,46,True,True,1
190,38,True,True,1
191,54,True,True,1
192,49,True,True,1
193,49,True,True,1
194,44,True,True,1
195,53,True,True,1
196,49,True,True,1
197,51,True,True,1
198,33,True,True,1
199,53,True,True,1
200,50,True,True,1
201,57,True,True,1
202,50,True,True,1
203,58,True,True,1
204,56,True,True,1
205,46,True,True,1
206,56,True,True,1
207,42,True,True,1
208,57,True,True,1
209,65,True,True,1
210,50,True,True,1
211,71,True,True,1
212,52,True,True,1
213,46,True,True,1
214,29,True,True,1
215,72,True,True,1
216,73,True,True,1
217,55,True,True,1
218,54,True,True,1
219,45,True,True,1
220,44,True,True,1
221,66,True,True,1
222,54,True,True,1
223,60,True,True,1
224,57,True,True,1
225,34,True,True,1
226,48,True,True,1
227,65,True,True,1
228,50,True,True,1
229,46,True,True,1
230,40,True,True,1
231,68,True,True,1
232,41,True,True,1
233,56,True,True,1
234,29,True,True,1
235,55,True,True,1
236,36,True,True,1
237,44,True,True,1
238,61,True,True,1
