instance,inversions,reducedA,reducedB,gen_trial
1,25,True,True,1
2,22,True,True,1
3,31,True,True,1
4,16,True,True,1
5,23,True,True,1
6,20,True,True,1
7,22,True,True,1
8,23,True,True,1
9,27,True,True,1
10,36,True,True,1
11,12,True,True,1
12,18,True,True,1
13,27,True,True,1
14,21,True,True,1
15,24,True,True,1
16,21,True,True,1
17,20,True,True,1
18,31,True,True,1
19,19,True,True,1
20,30,True,True,1
21,25,True,True,1
22,23,True,True,1
23,25,True,True,1
24,19,True,True,1
25,23,True,True,1
26,22,True,True,1
27,22,True,True,1
28,32,True,True,1
29,33,True,True,1
30,17,True,True,1
31,28,True,True,1
32,28,True,True,1
33,35,True,True,1
34,19,True,True,1
35,22,True,True,1
36,23,True,True,1
37,27,True,True,1
38,26,True,True,1
39,11,True,True,1
40,15,True,True,1
41,30,True,True,1
42,17,True,True,1
43,19,True,True,1
44,16,True,True,1
45,18,True,True,1
46,22,True,True,1
47,21,True,True,1
48,18,True,True,1
49,23,True,True,1
50,19,True,True,1
51,19,True,True,1
52,19,True,True,1
53,20,True,True,1
54,24,True,True,1
55,22,True,True,1
56,20,True,True,1
57,22,True,True,1
58,17,True,True,1
59,29,True,True,1
60,20,True,True,1
61,20,True,True,1
62,17,True,True,1
63,22,True,True,1
64,7,True,True,1
65,17,True,True,1
66,19,True,True,1
67,23,True,True,1
68,22,True,True,1
69,34,True,True,1
70,15,True,True,1
71,14,True,True,1
72,26,True,True,1
73,26,True,True,1
74,24,True,True,1
75,28,True,True,1
76,25,True,True,1
77,27,True,True,1
78,25,True,True,1
79,20,True,True,1
80,25,True,True,1
81,19,True,True,1
82,19,True,True,1
83,26,True,True,1
84,22,True,True,1
85,21,True,True,1
86,25,True,True,1
87,20,True,True,1
88,16,True,True,1
89,29,True,True,1
90,28,True,True,1
91,19,True,True,1
92,30,True,True,1
93,14,True,True,1
94,24,True,True,1
95,27,True,True,1
96,21,True,True,1
97,24,True,True,1
98,29,True,True,1
99,14,True,True,1
100,22,True,True,1
101,25,True,True,1
102,16,True,True,1
103,19,True,True,1
104,20,True,True,1
105,10,True,True,1
106,15,True,True,1
107,32,True,True,1
108,26,True,True,1
109,21,True,True,1
110,27,True,True,1
111,16,True,True,1
112,35,True,True,1
113,21,True,True,1
114,22,True,True,1
115,17,True,True,1
116,12,True,True,1
117,23,True,True,1
118,24,True,True,1
119,26,True,True,1
120,18,True,True,1
121,27,True,True,1
122,22,True,True,1
123,18,True,True,1
124,27,True,True,1
125,14,True,True,1
126,18,True,True,1
127,25,True,True,1
128,30,True,True,1
129,23,True,True,1
130,9,True,True,1
131,25,True,True,1
132,16,True,True,1
133,22,True,True,1
134,19,True,True,1
135,20,True,True,1
136,27,True,True,1
137,21,True,True,1
138,28,True,True,1
139,21,True,True,1
140,24,True,True,1
141,15,True,True,1
142,26,True,True,1
143,21,True,True,1
144,22,True,True,1
145,25,True,True,1
146,29,True,True,1
147,13,True,True,1
148,24,True,True,1
149,18,True,True,1
150,25,True,True,1
151,26,True,True,1
152,22,True,True,1
153,21,True,True,1
154,15,True,True,1
155,18,True,True,1
156,32,True,True,1
157,29,True,True,1
158,23,True,True,1
159,18,True,True,1
160,34,True,True,1
161,29,True,True,1
162,16,True,True,1
163,23,True,True,1
164,25,True,True,1
165,25,True,True,1
166,26,True,True,1
167,31,True,True,1
168,14,True,True,1
169,35,True,True,1
170,19,True,True,1
171,25,True,True,1
172,10,True,True,1
173,23,True,True,1
174,14,True,True,1
175,16,True,True,1
176,29,True,True,1
177,30,True,True,1
178,20,True,True,1
179,22,True,True,1
180,33,True,True,1
181,30,True,True,1
182,12,True,True,1
183,28,True,True,1
184,17,True,True,1
185,28,True,True,1
186,22,True,True,1
187,23,True,True,1
188,31,True,True,1
189,23,True,True,1
190,12,True,True,1
191,24,True,True,1
192,21,True,True,1
193,28,True,True,1
194,17,True,True,1
195,15,True,True,1
196,30,True,True,1
197,19,True,True,1
198,24,True,True,1
199,12,True,True,1
200,26,True,True,1
201,19,True,True,1
202,24,True,True,1
203,20,True,True,1
204,30,True,True,1
205,24,True,True,1
206,22,True,True,1
207,23,True,True,1
208,22,True,True,1
209,17,True,True,1
210,35,True,True,1
211,26,True,True,1
212,22,True,True,1
213,24,True,True,1
214,20,True,True,1
215,17,True,True,1
216,27,True,True,1
217,23,True,True,1
218,26,True,True,1
219,20,True,True,1
220,21,True,True,1
221,28,True,True,1
222,31,True,True,1
223,24,True,True,1
224,31,True,True,1
225,20,True,True,1
226,22,True,True,1
227,23,True,True,1
228,26,True,True,1
229,21,True,True,1
230,27,True,True,1
231,26,True,True,1
232,27,True,True,1
233,26,True,True,1
234,31,True,True,1
235,32,True,True,1
236,23,True,True,1
237,18,True,True,1
238,24,True,True,1
239,20,True,True,1
240,34,True,True,1
241,17,True,True,1
242,16,True,True,1
243,21,True,True,1
244,24,True,True,1
245,29,True,True,1
246,20,True,True,1
247,18,True,True,1
248,25,True,True,1
249,24,True,True,1
250,18,True,True,1
251,19,True,True,1
252,23,True,True,1
253,20,True,True,1
254,25,True,True,1
255,28,True,True,1
256,23,True,True,1
257,28,True,True,1
258,25,True,True,1
259,15,True,True,1
260,32,True,True,1
261,12,True,True,1
262,25,True,True,1
263,22,True,True,1
264,15,True,True,1
265,22,True,True,1
266,32,True,True,1
267,21,True,True,1
268,16,True,True,1
269,25,True,True,1
270,21,True,True,1
271,18,True,True,1
272,36,True,True,1
273,22,True,True,1
274,32,True,True,1
