experiment, n, M, L, N, A, inst_type, linking, tMIP, tMIP_CPP, tDD_VS, tDD_toA, int_VS, int_VS_toA
1, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 1.96, 3.52, 2.26, 3.00, 3155, 18235
2, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 6.65, 14.98, 10.13, 10.33, 12919, 18975
3, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 291.23, 1660.12, 138.07, 166.00, 102606, 1081439
4, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 1.91, 3.38, 2.31, 2.64, 3671, 14547
5, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 17.61, 37.53, 9.34, 11.64, 9659, 15707
6, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 104.97, 813.31, 104.11, 105.83, 100599, 137335
7, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 1.48, 2.47, 43.65, 77.19, 17439, 3379
8, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 5.37, 19.33, 9.58, 10.58, 10951, 45151
9, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 204.27, 736.91, 101.91, 133.83, 82061, 753727
10, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 3.30, 2.87, 2.20, 2.29, 3388, 6868
11, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 17.46, 28.07, 9.97, 12.44, 11403, 72763
12, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 175.85, 1376.98, 112.93, 134.79, 106707, 792313
13, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 1.58, 2.97, 1.95, 2.00, 2527, 4255
14, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 8.47, 24.63, 10.76, 11.80, 12871, 55799
15, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 388.31, 1773.06, 103.45, 136.95, 75071, 772270
16, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 0.86, 2.57, 2.11, 2.71, 2583, 17839
17, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 4.09, 18.89, 10.58, 10.97, 13471, 27719
18, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 265.17, 1410.01, 95.27, 96.99, 70779, 99339
19, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 0.55, 2.33, 1.91, 2.24, 2807, 13879
20, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 8.66, 19.03, 11.01, 12.72, 13511, 75325
21, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 213.13, 3799.03, 110.48, 136.24, 106695, 651351
22, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 1.70, 2.82, 2.23, 2.55, 3271, 15109
23, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 8.88, 27.55, 11.00, 14.28, 14519, 85071
24, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 176.23, 467.19, 111.25, 147.71, 102667, 983145
25, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 1.52, 3.14, 2.19, 2.72, 2575, 16959
26, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 10.00, 23.69, 10.40, 10.77, 13535, 27759
27, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 310.03, 1164.51, 99.20, 102.21, 86263, 159879
28, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 2.50, 3.04, 2.31, 2.63, 3687, 14697
29, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 13.49, 23.13, 10.42, 11.35, 14503, 43063
30, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 336.43, 1016.69, 99.82, 131.11, 74559, 798899
31, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 1.30, 2.82, 2.12, 2.14, 3129, 4121
32, 2, 12, 0.35, 48, 174.0, cavemen, cluster-reverse, 7.29, 15.94, 10.12, 12.33, 12727, 70487
33, 2, 15, 0.35, 60, 278.0, cavemen, cluster-reverse, 676.45, 1928.51, 99.86, 121.68, 74991, 470593
34, 2, 10, 0.35, 40, 122.0, cavemen, cluster-reverse, 0.78, 3.05, 2.17, 2.39, 3315, 12751
