experiment, n, M, L, N, A, inst_type, linking, param, CPP_simscore, tMIP, tMIP_CPP, tDD_VS, tDD_toA, int_VS, int_VS_toA
1, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.0, 0.8666666666666667, 0.08, 0.09, 0.06, 0.06, 173, 269
2, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.25, 0.7777777777777778, 0.07, 0.18, 0.07, 0.09, 173, 269
3, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.5, 0.7333333333333334, 0.03, 0.11, 0.07, 0.06, 177, 201
4, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.75, 0.7333333333333334, 0.04, 0.09, 0.08, 0.07, 146, 178
5, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 1.0, 0.6888888888888889, 0.03, 0.07, 0.07, 0.06, 141, 141
6, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.0, 0.8444444444444444, 0.02, 0.10, 0.06, 0.05, 103, 216
7, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.25, 0.8444444444444444, 0.02, 0.08, 0.05, 0.05, 97, 145
8, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.5, 0.7555555555555555, 0.01, 0.09, 0.05, 0.05, 111, 167
9, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.75, 0.7555555555555555, 0.03, 0.13, 0.05, 0.06, 115, 131
10, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 1.0, 0.7111111111111111, 0.02, 0.09, 0.05, 0.06, 115, 115
11, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.0, 0.33333333333333337, 0.02, 0.07, 0.20, 0.13, 689, 401
12, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.25, 0.33333333333333337, 0.02, 0.06, 0.12, 0.13, 421, 347
13, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.5, 0.28888888888888886, 0.01, 0.09, 0.12, 0.12, 283, 267
14, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.75, 0.19999999999999996, 0.02, 0.08, 0.14, 0.13, 406, 246
15, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 1.0, 0.11111111111111116, 0.03, 0.10, 0.15, 0.13, 193, 162
16, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.0, 0.9333333333333333, 0.04, 0.11, 0.05, 0.05, 150, 191
17, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.25, 0.8444444444444444, 0.06, 0.10, 0.06, 0.07, 175, 295
18, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.5, 0.8, 0.02, 0.07, 0.05, 0.05, 106, 111
19, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.75, 0.8, 0.05, 0.09, 0.06, 0.05, 134, 135
20, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 1.0, 0.6666666666666667, 0.06, 0.13, 0.06, 0.06, 139, 139
21, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.0, 0.8444444444444444, 0.04, 0.10, 0.06, 0.06, 183, 339
22, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.25, 0.8, 0.05, 0.10, 0.06, 0.06, 150, 228
23, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.5, 0.7555555555555555, 0.04, 0.10, 0.06, 0.06, 168, 221
24, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.75, 0.8444444444444444, 0.02, 0.09, 0.07, 0.05, 130, 130
25, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 1.0, 0.7111111111111111, 0.02, 0.09, 0.06, 0.06, 120, 119
26, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.0, 0.9333333333333333, 0.03, 0.09, 0.06, 0.06, 119, 195
27, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.25, 0.8444444444444444, 0.03, 0.08, 0.06, 0.08, 165, 317
28, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.5, 0.7111111111111111, 0.02, 0.09, 0.06, 0.06, 193, 367
29, 2, 5, 0.35, 20, 30.0, cavemen, cluster-reverse-custom, 0.75, 0.7111111111111111, 0.01, 0.07, 0.06, 0.06, 165, 165
