instance,num_type,step,LB,UB,comment
100,steplog,10,266,302,--none--
100,steplog,20,286,286,--none--
100,steplog,20,286,286,status:optimal
100,timelog,20,0.17360877990722656,0,--none--
10,steplog,10,193,205,--none--
10,steplog,18,201,201,status:optimal
10,timelog,18,0.10014557838439941,0,--none--
11,steplog,10,102,112,--none--
11,steplog,20,109,111,--none--
11,steplog,25,111,111,status:optimal
11,timelog,25,0.10298013687133789,0,--none--
12,steplog,10,176,259,--none--
12,steplog,20,208,259,--none--
12,steplog,30,228,259,--none--
12,steplog,40,255,256,--none--
12,steplog,45,256,256,status:optimal
12,timelog,45,0.17125511169433594,0,--none--
13,steplog,10,126,192,--none--
13,steplog,20,152,192,--none--
13,steplog,30,158,182,--none--
13,steplog,38,174,174,status:optimal
13,timelog,38,0.28234171867370605,0,--none--
14,steplog,10,177,380,--none--
14,steplog,20,251,314,--none--
14,steplog,30,251,308,--none--
14,steplog,40,279,308,--none--
14,steplog,50,291,308,--none--
14,steplog,59,308,308,status:optimal
14,timelog,59,0.34406161308288574,0,--none--
15,steplog,10,244,346,--none--
15,steplog,20,244,346,--none--
15,steplog,30,317,323,--none--
15,steplog,40,323,323,--none--
15,steplog,40,323,323,status:optimal
15,timelog,40,0.2282571792602539,0,--none--
16,steplog,10,137,256,--none--
16,steplog,20,137,213,--none--
16,steplog,30,137,211,--none--
16,steplog,40,137,203,--none--
16,steplog,50,149,203,--none--
16,steplog,60,165,201,--none--
16,steplog,70,189,193,--none--
16,steplog,77,193,193,status:optimal
16,timelog,77,0.5383102893829346,0,--none--
17,steplog,10,225,426,--none--
17,steplog,20,300,386,--none--
17,steplog,30,300,386,--none--
17,steplog,40,373,379,--none--
17,steplog,47,379,379,status:optimal
17,timelog,47,0.23647642135620117,0,--none--
18,steplog,10,193,235,--none--
18,steplog,20,217,225,--none--
18,steplog,30,224,224,--none--
18,steplog,31,224,224,status:optimal
18,timelog,31,0.20655488967895508,0,--none--
19,steplog,10,135,196,--none--
19,steplog,20,141,190,--none--
19,steplog,30,179,185,--none--
19,steplog,34,185,185,status:optimal
19,timelog,34,0.23769831657409668,0,--none--
1,steplog,10,126,175,--none--
1,steplog,20,153,169,--none--
1,steplog,30,162,164,--none--
1,steplog,35,164,164,status:optimal
1,timelog,35,0.16361689567565918,0,--none--
20,steplog,10,64,148,--none--
20,steplog,20,64,148,--none--
20,steplog,30,137,148,--none--
20,steplog,38,148,148,status:optimal
20,timelog,38,0.1771714687347412,0,--none--
21,steplog,10,150,153,--none--
21,steplog,16,153,153,status:optimal
21,timelog,16,0.10732603073120117,0,--none--
22,steplog,10,183,390,--none--
22,steplog,20,183,383,--none--
22,steplog,30,266,350,--none--
22,steplog,40,266,338,--none--
22,steplog,50,275,318,--none--
22,steplog,60,299,306,--none--
22,steplog,70,306,306,--none--
22,steplog,70,306,306,status:optimal
22,timelog,70,0.3686256408691406,0,--none--
23,steplog,10,259,323,--none--
23,steplog,20,304,323,--none--
23,steplog,30,319,319,--none--
23,steplog,30,319,319,status:optimal
23,timelog,30,0.17222142219543457,0,--none--
24,steplog,10,123,222,--none--
24,steplog,20,123,203,--none--
24,steplog,30,123,195,--none--
24,steplog,40,165,190,--none--
24,steplog,50,182,182,--none--
24,steplog,50,182,182,status:optimal
24,timelog,50,0.2812798023223877,0,--none--
25,steplog,10,79,92,--none--
25,steplog,20,88,92,--none--
25,steplog,25,92,92,status:optimal
25,timelog,25,0.1789872646331787,0,--none--
26,steplog,10,86,154,--none--
26,steplog,20,134,134,--none--
26,steplog,21,134,134,status:optimal
26,timelog,21,0.13669085502624512,0,--none--
27,steplog,10,95,319,--none--
27,steplog,20,126,223,--none--
27,steplog,30,144,161,--none--
27,steplog,40,150,155,--none--
27,steplog,47,155,155,status:optimal
27,timelog,47,0.27454662322998047,0,--none--
28,steplog,10,143,257,--none--
28,steplog,20,143,256,--none--
28,steplog,30,143,253,--none--
28,steplog,40,170,252,--none--
28,steplog,50,170,252,--none--
28,steplog,60,203,226,--none--
28,steplog,70,203,225,--none--
28,steplog,80,215,222,--none--
28,steplog,88,221,221,status:optimal
28,timelog,88,0.4964120388031006,0,--none--
29,steplog,10,138,237,--none--
29,steplog,20,138,221,--none--
29,steplog,30,169,204,--none--
29,steplog,40,179,186,--none--
29,steplog,49,186,186,status:optimal
29,timelog,49,0.3466677665710449,0,--none--
2,steplog,10,107,148,--none--
2,steplog,20,131,139,--none--
2,steplog,29,139,139,status:optimal
2,timelog,29,0.15280556678771973,0,--none--
30,steplog,10,79,183,--none--
30,steplog,20,99,162,--none--
30,steplog,30,99,159,--none--
30,steplog,40,99,145,--none--
30,steplog,50,113,145,--none--
30,steplog,60,113,140,--none--
30,steplog,70,134,140,--none--
30,steplog,75,140,140,status:optimal
30,timelog,75,0.4278559684753418,0,--none--
31,steplog,8,169,169,status:optimal
31,timelog,8,0.05108165740966797,0,--none--
32,steplog,10,158,201,--none--
32,steplog,20,163,186,--none--
32,steplog,30,183,183,--none--
32,steplog,32,183,183,status:optimal
32,timelog,32,0.19707989692687988,0,--none--
33,steplog,10,141,195,--none--
33,steplog,20,169,181,--none--
33,steplog,30,175,180,--none--
33,steplog,36,178,178,status:optimal
33,timelog,36,0.20003390312194824,0,--none--
34,steplog,10,249,257,--none--
34,steplog,20,249,257,--none--
34,steplog,30,249,256,--none--
34,steplog,37,255,255,status:optimal
34,timelog,37,0.17083334922790527,0,--none--
35,steplog,10,170,196,--none--
35,steplog,20,190,190,--none--
35,steplog,24,190,190,status:optimal
35,timelog,24,0.09630656242370605,0,--none--
36,steplog,10,226,294,--none--
36,steplog,20,246,287,--none--
36,steplog,30,246,287,--none--
36,steplog,40,276,286,--none--
36,steplog,47,286,286,status:optimal
36,timelog,47,0.2420506477355957,0,--none--
37,steplog,10,141,199,--none--
37,steplog,20,141,196,--none--
37,steplog,30,141,192,--none--
37,steplog,40,141,190,--none--
37,steplog,50,171,190,--none--
37,steplog,60,185,190,--none--
37,steplog,66,190,190,status:optimal
37,timelog,66,0.3818471431732178,0,--none--
38,steplog,10,157,225,--none--
38,steplog,20,157,224,--none--
38,steplog,30,200,224,--none--
38,steplog,40,224,224,--none--
38,steplog,42,224,224,status:optimal
38,timelog,42,0.21532440185546875,0,--none--
39,steplog,10,234,255,--none--
39,steplog,20,244,244,--none--
39,steplog,22,244,244,status:optimal
39,timelog,22,0.13007235527038574,0,--none--
3,steplog,10,123,305,--none--
3,steplog,20,123,305,--none--
3,steplog,30,154,230,--none--
3,steplog,40,154,230,--none--
3,steplog,50,177,229,--none--
3,steplog,60,197,223,--none--
3,steplog,70,210,217,--none--
3,steplog,78,217,217,status:optimal
3,timelog,78,0.40838003158569336,0,--none--
40,steplog,10,90,204,--none--
40,steplog,20,90,204,--none--
40,steplog,30,90,203,--none--
40,steplog,40,123,203,--none--
40,steplog,50,141,180,--none--
40,steplog,60,141,177,--none--
40,steplog,70,153,166,--none--
40,steplog,80,164,165,--none--
