instance,num_type,step,LB,UB,comment
10000,steplog,10,1748,1851,--none--
10000,steplog,20,1838,1841,--none--
10000,steplog,25,1841,1841,status:optimal
10000,timelog,25,0.055599212646484375,0,--none--
1000,steplog,10,3168,3383,--none--
1000,steplog,20,3270,3336,--none--
1000,steplog,30,3313,3336,--none--
1000,steplog,40,3330,3336,--none--
1000,steplog,47,3331,3331,status:optimal
1000,timelog,47,0.0954887866973877,0,--none--
1001,steplog,10,475,635,--none--
1001,steplog,20,593,597,--none--
1001,steplog,21,596,596,status:optimal
1001,timelog,21,0.051494598388671875,0,--none--
1002,steplog,10,1731,1912,--none--
1002,steplog,20,1862,1892,--none--
1002,steplog,30,1886,1892,--none--
1002,steplog,33,1892,1892,status:optimal
1002,timelog,33,0.07184910774230957,0,--none--
1003,steplog,10,697,759,--none--
1003,steplog,20,727,757,--none--
1003,steplog,29,748,748,status:optimal
1003,timelog,29,0.06258773803710938,0,--none--
1004,steplog,10,677,866,--none--
1004,steplog,20,755,801,--none--
1004,steplog,30,773,801,--none--
1004,steplog,40,786,796,--none--
1004,steplog,45,796,796,status:optimal
1004,timelog,45,0.09125256538391113,0,--none--
1005,steplog,10,1033,1198,--none--
1005,steplog,20,1081,1169,--none--
1005,steplog,30,1121,1161,--none--
1005,steplog,40,1133,1161,--none--
1005,steplog,50,1142,1161,--none--
1005,steplog,60,1150,1161,--none--
1005,steplog,70,1155,1161,--none--
1005,steplog,80,1159,1161,--none--
1005,steplog,84,1161,1161,status:optimal
1005,timelog,84,0.16920018196105957,0,--none--
1006,steplog,10,1358,1422,--none--
1006,steplog,20,1403,1415,--none--
1006,steplog,29,1408,1408,status:optimal
1006,timelog,29,0.055956363677978516,0,--none--
1007,steplog,10,3290,3572,--none--
1007,steplog,20,3555,3572,--none--
1007,steplog,23,3572,3572,status:optimal
1007,timelog,23,0.05411553382873535,0,--none--
1008,steplog,10,1593,1642,--none--
1008,steplog,20,1640,1642,--none--
1008,steplog,23,1642,1642,status:optimal
1008,timelog,23,0.052048444747924805,0,--none--
1009,steplog,10,157,247,--none--
1009,steplog,20,167,185,--none--
1009,steplog,30,171,178,--none--
1009,steplog,40,173,178,--none--
1009,steplog,50,175,178,--none--
1009,steplog,54,177,177,status:optimal
1009,timelog,54,0.11964178085327148,0,--none--
100,steplog,10,1103,1364,--none--
100,steplog,20,1209,1293,--none--
100,steplog,30,1242,1284,--none--
100,steplog,40,1264,1284,--none--
100,steplog,50,1272,1284,--none--
100,steplog,60,1276,1283,--none--
100,steplog,70,1280,1283,--none--
100,steplog,80,1282,1283,--none--
100,steplog,85,1283,1283,status:optimal
100,timelog,85,0.1608138084411621,0,--none--
1010,steplog,10,1854,2041,--none--
1010,steplog,20,1963,2004,--none--
1010,steplog,30,1988,1998,--none--
1010,steplog,40,1994,1998,--none--
1010,steplog,48,1998,1998,status:optimal
1010,timelog,48,0.09802508354187012,0,--none--
1011,steplog,10,1066,1119,--none--
1011,steplog,20,1110,1111,--none--
1011,steplog,20,1111,1111,status:optimal
1011,timelog,20,0.04735875129699707,0,--none--
1012,steplog,10,607,766,--none--
1012,steplog,20,714,747,--none--
1012,steplog,28,742,742,status:optimal
1012,timelog,28,0.05546236038208008,0,--none--
1013,steplog,10,1091,1413,--none--
1013,steplog,20,1327,1413,--none--
1013,steplog,30,1386,1397,--none--
1013,steplog,32,1389,1389,status:optimal
1013,timelog,32,0.07510876655578613,0,--none--
1014,steplog,10,329,498,--none--
1014,steplog,20,463,498,--none--
1014,steplog,30,480,498,--none--
1014,steplog,36,485,485,status:optimal
1014,timelog,36,0.07244753837585449,0,--none--
1015,steplog,10,537,656,--none--
1015,steplog,20,619,620,--none--
1015,steplog,25,620,620,status:optimal
1015,timelog,25,0.053867340087890625,0,--none--
1016,steplog,10,1340,1476,--none--
1016,steplog,20,1467,1474,--none--
1016,steplog,30,1470,1472,--none--
1016,steplog,35,1472,1472,status:optimal
1016,timelog,35,0.07552242279052734,0,--none--
1017,steplog,10,932,1042,--none--
1017,steplog,20,994,1037,--none--
1017,steplog,27,1026,1026,status:optimal
1017,timelog,27,0.05864357948303223,0,--none--
1018,steplog,10,1601,1951,--none--
