LB,gap,legend
LB_first,0.032448377581120944,min size first element aligned
LB_last,0.05309734513274336,min size last element aligned
LB_levels,0.16519174041297935,inversions-driven LB
LB_lvl_symm,0.16519174041297935,inversion-driven (symmetric)
LB_first,0.0029282576866764276,min size first element aligned
LB_last,0.2591508052708638,min size last element aligned
LB_levels,0.20937042459736457,inversions-driven LB
LB_lvl_symm,0.20937042459736457,inversion-driven (symmetric)
LB_first,0.00196078431372549,min size first element aligned
LB_last,0.13137254901960785,min size last element aligned
LB_levels,0.09901960784313725,inversions-driven LB
LB_lvl_symm,0.09901960784313725,inversion-driven (symmetric)
LB_first,0.0012195121951219512,min size first element aligned
LB_last,0.08536585365853659,min size last element aligned
LB_levels,0.10975609756097561,inversions-driven LB
LB_lvl_symm,0.10975609756097561,inversion-driven (symmetric)
LB_first,0.03415061295971979,min size first element aligned
LB_last,0.3594570928196147,min size last element aligned
LB_levels,0.040718038528896675,inversions-driven LB
LB_lvl_symm,0.040718038528896675,inversion-driven (symmetric)
LB_first,0.007075471698113208,min size first element aligned
LB_last,0.0330188679245283,min size last element aligned
LB_levels,0.10613207547169812,inversions-driven LB
LB_lvl_symm,0.10613207547169812,inversion-driven (symmetric)
LB_first,0.0718954248366013,min size first element aligned
LB_last,0.06372549019607843,min size last element aligned
LB_levels,0.12254901960784313,inversions-driven LB
LB_lvl_symm,0.12254901960784313,inversion-driven (symmetric)
LB_first,0.020833333333333332,min size first element aligned
LB_last,0.0,min size last element aligned
LB_levels,0.06740196078431372,inversions-driven LB
LB_lvl_symm,0.06740196078431372,inversion-driven (symmetric)
LB_first,0.0,min size first element aligned
LB_last,0.05807478122513922,min size last element aligned
LB_levels,0.09148766905330151,inversions-driven LB
LB_lvl_symm,0.09148766905330151,inversion-driven (symmetric)
LB_first,0.0019973368841544607,min size first element aligned
LB_last,0.17976031957390146,min size last element aligned
LB_levels,0.05792276964047936,inversions-driven LB
LB_lvl_symm,0.05792276964047936,inversion-driven (symmetric)
LB_first,0.0042997542997543,min size first element aligned
LB_last,0.29914004914004916,min size last element aligned
LB_levels,0.03931203931203931,inversions-driven LB
LB_lvl_symm,0.03931203931203931,inversion-driven (symmetric)
LB_first,0.007108239095315024,min size first element aligned
LB_last,0.5883683360258481,min size last element aligned
LB_levels,0.023263327948303717,inversions-driven LB
LB_lvl_symm,0.023263327948303717,inversion-driven (symmetric)
LB_first,0.0022753128555176336,min size first element aligned
LB_last,0.02957906712172924,min size last element aligned
LB_levels,0.09215017064846416,inversions-driven LB
LB_lvl_symm,0.09215017064846416,inversion-driven (symmetric)
LB_first,0.0005991611743559018,min size first element aligned
LB_last,0.015578190533253445,min size last element aligned
LB_levels,0.07489514679448772,inversions-driven LB
LB_lvl_symm,0.07489514679448772,inversion-driven (symmetric)
LB_first,0.010869565217391304,min size first element aligned
LB_last,0.0,min size last element aligned
LB_levels,0.07441471571906355,inversions-driven LB
LB_lvl_symm,0.07441471571906355,inversion-driven (symmetric)
LB_first,0.008934707903780068,min size first element aligned
LB_last,0.03161512027491409,min size last element aligned
