LB,gap,legend
simpl_BB,0.0639338493347168,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0003635883331298828,timelog
LB_last,0.28152492668621704,min size last element aligned
LB_last,0.0036385059356689453,timelog
LB_levels,0.23460410557184752,inversions-driven LB
LB_levels,0.0001938343048095703,timelog
simpl_BB,0.051998138427734375,timelog
LB_first,0.0088008800880088,min size first element aligned
LB_first,0.0003800392150878906,timelog
LB_last,0.2876787678767877,min size last element aligned
LB_last,0.0035772323608398438,timelog
LB_levels,0.10231023102310231,inversions-driven LB
LB_levels,0.00023055076599121094,timelog
simpl_BB,0.06358551979064941,timelog
LB_first,0.012861736334405145,min size first element aligned
LB_first,0.00033664703369140625,timelog
LB_last,0.19292604501607716,min size last element aligned
LB_last,0.003762483596801758,timelog
LB_levels,0.05144694533762058,inversions-driven LB
LB_levels,0.0002627372741699219,timelog
simpl_BB,0.07397007942199707,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0003218650817871094,timelog
LB_last,0.19500372856077555,min size last element aligned
LB_last,0.0036001205444335938,timelog
LB_levels,0.06599552572706935,inversions-driven LB
LB_levels,0.000255584716796875,timelog
simpl_BB,0.07985091209411621,timelog
LB_first,0.001177856301531213,min size first element aligned
LB_first,0.0003256797790527344,timelog
LB_last,0.4216725559481743,min size last element aligned
LB_last,0.003628969192504883,timelog
LB_levels,0.1955241460541814,inversions-driven LB
LB_levels,0.0002295970916748047,timelog
simpl_BB,0.055962562561035156,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0003032684326171875,timelog
LB_last,0.02495201535508637,min size last element aligned
LB_last,0.003602743148803711,timelog
LB_levels,0.06333973128598848,inversions-driven LB
LB_levels,0.00023365020751953125,timelog
simpl_BB,0.09120702743530273,timelog
LB_first,0.06554419723391461,min size first element aligned
LB_first,0.0003199577331542969,timelog
LB_last,0.35057125676488277,min size last element aligned
LB_last,0.0036830902099609375,timelog
LB_levels,0.030667468430547205,inversions-driven LB
LB_levels,0.0002601146697998047,timelog
simpl_BB,0.07177209854125977,timelog
LB_first,0.006132461161079314,min size first element aligned
LB_first,0.0003097057342529297,timelog
LB_last,0.34055600981193784,min size last element aligned
LB_last,0.003638029098510742,timelog
LB_levels,0.05233033524121014,inversions-driven LB
LB_levels,0.0002551078796386719,timelog
simpl_BB,0.07082056999206543,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0002994537353515625,timelog
LB_last,0.3901689708141321,min size last element aligned
LB_last,0.003560781478881836,timelog
LB_levels,0.16282642089093702,inversions-driven LB
LB_levels,0.00020122528076171875,timelog
simpl_BB,0.13074445724487305,timelog
LB_first,0.003527336860670194,min size first element aligned
LB_first,0.0003371238708496094,timelog
LB_last,0.49206349206349204,min size last element aligned
LB_last,0.003595113754272461,timelog
LB_levels,0.07848324514991181,inversions-driven LB
LB_levels,0.00022745132446289062,timelog
simpl_BB,0.10440683364868164,timelog
LB_first,0.00033921302578018993,min size first element aligned
LB_first,0.00032258033752441406,timelog
LB_last,0.36295793758480327,min size last element aligned
LB_last,0.003721475601196289,timelog
LB_levels,0.054274084124830396,inversions-driven LB
LB_levels,0.0003077983856201172,timelog
simpl_BB,0.17145061492919922,timelog
LB_first,0.015779092702169626,min size first element aligned
LB_first,0.000316619873046875,timelog
LB_last,0.3757396449704142,min size last element aligned
LB_last,0.0036454200744628906,timelog
LB_levels,0.12721893491124261,inversions-driven LB
LB_levels,0.0002162456512451172,timelog
simpl_BB,0.07988166809082031,timelog
LB_first,0.010086455331412104,min size first element aligned
LB_first,0.00039768218994140625,timelog
LB_last,0.10662824207492795,min size last element aligned
LB_last,0.0037343502044677734,timelog
LB_levels,0.1037463976945245,inversions-driven LB
LB_levels,0.00024437904357910156,timelog
simpl_BB,0.0800771713256836,timelog
LB_first,0.002098635886673662,min size first element aligned
LB_first,0.0003151893615722656,timelog
