n, instance, color_size, cover_size, int_vs_size, int_cov2col_size, int_col2cov_size, int_gsifts_size, exp_time
20, 0, 69, 1042, 249, 224, 260, 233, 8.1
20, 1, 53, 663, 991, 1131, 1024, 693, 5.7
20, 2, 38, 1022, 427, 427, 421, 434, 7.3
20, 3, 49, 764, 1090, 1183, 1041, 832, 5.5
20, 4, 49, 707, 1326, 1361, 1183, 796, 5.4
20, 5, 53, 1279, 39, 39, 39, 39, 7.8
20, 6, 89, 531, 603, 603, 576, 533, 4.4
20, 7, 58, 364, 874, 863, 940, 778, 3.4
20, 8, 52, 758, 715, 579, 887, 852, 6.2
20, 9, 56, 689, 299, 349, 300, 278, 5.2
25, 0, 105, 1975, 6704, 4229, 6942, 4802, 26.3
25, 1, 57, 3451, 3890, 4141, 3992, 3068, 42.5
25, 2, 92, 2666, 4575, 3652, 4581, 3534, 35.6
25, 3, 91, 3352, 4495, 4234, 4506, 3673, 44.4
25, 4, 79, 5635, 903, 981, 1027, 974, 71.5
25, 5, 89, 3783, 8039, 4860, 8268, 5262, 54.8
25, 6, 83, 2872, 4542, 4622, 4465, 3893, 43.9
25, 7, 100, 4518, 11215, 5995, 11126, 9446, 85.8
25, 8, 70, 4950, 267, 294, 274, 289, 78.7
25, 9, 77, 3154, 2808, 2438, 2711, 2586, 44.0
30, 0, 86, 8536, 9913, 13458, 9601, 9207, 237.4
30, 1, 92, 21010, 1044, 1071, 1014, 769, 484.1
30, 2, 105, 12838, 25187, 26435, 28454, 20036, 346.0
30, 3, 123, 14578, 1243, 1619, 1243, 1342, 330.6
30, 4, 84, 16838, 4558, 5546, 4986, 3986, 417.9
30, 5, 96, 19430, 824, 976, 619, 489, 475.3
30, 6, 129, 13313, 22103, 21199, 32641, 24528, 360.9
30, 7, 109, 14108, 150, 150, 157, 174, 353.5
30, 8, 88, 13566, 251, 157, 251, 269, 342.6
30, 9, 111, 15347, 13549, 9264, 14531, 8872, 393.6
