instance,num_type,value,comment
-1,legend,orig_simpl_nat,Simplified problem (natural var order)
-1,legend,orig_simpl_rnd,Simplified problem (random var order)
-1,legend,orig_minAB_nat,Best of A and B (natural var order)
-1,legend,orig_minAB_rnd,Best of A and B (random var order)
-1,legend,orig_5random_nat,Best of 5 random (natural var order)
-1,legend,orig_5random_rnd,Best of 5 random (random var order)
-1,legend,orig_gsifts1p_nat,Greedy BDD sifts (natural var order)
-1,legend,orig_gsifts1p_rnd,Greedy BDD sifts (random var order)
0,orig_simpl_nat_obj,33,--none--
0,orig_minAB_nat_obj,33,--none--
0,orig_5random_nat_obj,39,--none--
0,orig_gsifts1p_nat_obj,30,--none--
0,orig_simpl_rnd_obj,53,--none--
0,orig_minAB_rnd_obj,41,--none--
0,orig_5random_rnd_obj,31,--none--
0,orig_gsifts1p_rnd_obj,31,--none--
1,orig_simpl_nat_obj,46,--none--
1,orig_minAB_nat_obj,46,--none--
1,orig_5random_nat_obj,44,--none--
1,orig_gsifts1p_nat_obj,51,--none--
1,orig_simpl_rnd_obj,81,--none--
1,orig_minAB_rnd_obj,59,--none--
1,orig_5random_rnd_obj,56,--none--
1,orig_gsifts1p_rnd_obj,44,--none--
2,orig_simpl_nat_obj,83,--none--
2,orig_minAB_nat_obj,82,--none--
2,orig_5random_nat_obj,89,--none--
2,orig_gsifts1p_nat_obj,69,--none--
2,orig_simpl_rnd_obj,84,--none--
2,orig_minAB_rnd_obj,85,--none--
2,orig_5random_rnd_obj,94,--none--
2,orig_gsifts1p_rnd_obj,73,--none--
3,orig_simpl_nat_obj,79,--none--
3,orig_minAB_nat_obj,69,--none--
3,orig_5random_nat_obj,78,--none--
3,orig_gsifts1p_nat_obj,81,--none--
3,orig_simpl_rnd_obj,78,--none--
3,orig_minAB_rnd_obj,75,--none--
3,orig_5random_rnd_obj,77,--none--
3,orig_gsifts1p_rnd_obj,69,--none--
4,orig_simpl_nat_obj,33,--none--
4,orig_minAB_nat_obj,30,--none--
4,orig_5random_nat_obj,35,--none--
4,orig_gsifts1p_nat_obj,32,--none--
4,orig_simpl_rnd_obj,41,--none--
4,orig_minAB_rnd_obj,39,--none--
4,orig_5random_rnd_obj,39,--none--
4,orig_gsifts1p_rnd_obj,36,--none--
5,orig_simpl_nat_obj,36,--none--
5,orig_minAB_nat_obj,33,--none--
