instance,num_type,value,comment
-1,legend,orig_simpl_nat,Simplified problem (natural var order)
-1,legend,orig_simpl_rnd,Simplified problem (random var order)
-1,legend,orig_minAB_nat,Best of A and B (natural var order)
-1,legend,orig_minAB_rnd,Best of A and B (random var order)
-1,legend,orig_5random_nat,Best of 5 random (natural var order)
-1,legend,orig_5random_rnd,Best of 5 random (random var order)
-1,legend,orig_gsifts1p_nat,Greedy BDD sifts (natural var order)
-1,legend,orig_gsifts1p_ctl,Greedy BDD sifts (control experiment)
-1,legend,orig_5random_ctl,Best of 5 random (control experiment)
-1,legend,orig_minAB_ctl,Best of A and B (control experiment)
-1,legend,orig_simpl_ctl,Simplified problem (control experiment)
1-0,orig_simpl_nat_obj,216,--none--
1-0,orig_minAB_nat_obj,167,--none--
1-0,orig_5random_nat_obj,230,--none--
1-0,orig_gsifts1p_nat_obj,149,--none--
1-0,orig_simpl_rnd_obj,255,--none--
1-0,orig_minAB_rnd_obj,240,--none--
1-0,orig_5random_rnd_obj,208,--none--
1-0,orig_gsifts1p_rnd_obj,208,--none--
1-0,orig_simpl_ctl_obj,4835,--none--
1-0,orig_minAB_ctl_obj,5397,--none--
1-0,orig_5random_ctl_obj,7995,--none--
1-0,orig_gsifts1p_ctl_obj,4922,--none--
1-1,orig_simpl_nat_obj,42,--none--
1-1,orig_minAB_nat_obj,38,--none--
1-1,orig_5random_nat_obj,62,--none--
1-1,orig_gsifts1p_nat_obj,41,--none--
1-1,orig_simpl_rnd_obj,67,--none--
1-1,orig_minAB_rnd_obj,75,--none--
1-1,orig_5random_rnd_obj,64,--none--
1-1,orig_gsifts1p_rnd_obj,40,--none--
1-1,orig_simpl_ctl_obj,5414,--none--
1-1,orig_minAB_ctl_obj,5706,--none--
1-1,orig_5random_ctl_obj,8928,--none--
1-1,orig_gsifts1p_ctl_obj,5414,--none--
1-2,orig_simpl_nat_obj,289,--none--
1-2,orig_minAB_nat_obj,273,--none--
1-2,orig_5random_nat_obj,323,--none--
1-2,orig_gsifts1p_nat_obj,230,--none--
1-2,orig_simpl_rnd_obj,361,--none--
1-2,orig_minAB_rnd_obj,296,--none--
1-2,orig_5random_rnd_obj,380,--none--
1-2,orig_gsifts1p_rnd_obj,233,--none--
1-2,orig_simpl_ctl_obj,4779,--none--
1-2,orig_minAB_ctl_obj,4792,--none--
