run,k,n,method,step,time
test,0,20,gen_instance,all, 124.2
test,0,20,plain_MIP,build+solve,5.4
test,0,20,CPP,BDD-build,149.4
test,0,20,CPP,MIP-build,29.7
test,0,20,CPP,MIP-solve,20.4
test,0,20,CPP,VS-build+solve,87.2
test,0,20,CPP,BDD-align-to-vs,100.0
test,0,20,CPP,intersection-build,10.9
test,0,20,CPP,intersection-SP-solve,1.8
test,1,20,gen_instance,all, 11.9
test,1,20,plain_MIP,build+solve,1.6
test,1,20,CPP,BDD-build,150.3
test,1,20,CPP,MIP-build,28.6
test,1,20,CPP,MIP-solve,8.1
test,1,20,CPP,VS-build+solve,28.1
test,1,20,CPP,BDD-align-to-vs,70.8
test,1,20,CPP,intersection-build,6.0
test,1,20,CPP,intersection-SP-solve,0.7
test,2,20,gen_instance,all, 11.4
test,2,20,plain_MIP,build+solve,1.4
test,2,20,CPP,BDD-build,188.1
test,2,20,CPP,MIP-build,35.4
test,2,20,CPP,MIP-solve,18.3
test,2,20,CPP,VS-build+solve,15.0
test,2,20,CPP,BDD-align-to-vs,87.2
test,2,20,CPP,intersection-build,12.5
test,2,20,CPP,intersection-SP-solve,1.7
test,3,20,gen_instance,all, 12.3
test,3,20,plain_MIP,build+solve,2.4
test,3,20,CPP,BDD-build,126.8
test,3,20,CPP,MIP-build,67.0
test,3,20,CPP,MIP-solve,13.8
test,3,20,CPP,VS-build+solve,21.4
test,3,20,CPP,BDD-align-to-vs,81.1
test,3,20,CPP,intersection-build,7.5
test,3,20,CPP,intersection-SP-solve,0.9
test,4,20,gen_instance,all, 11.7
test,4,20,plain_MIP,build+solve,1.4
test,4,20,CPP,BDD-build,246.8
test,4,20,CPP,MIP-build,40.4
test,4,20,CPP,MIP-solve,20.5
test,4,20,CPP,VS-build+solve,136.8
test,4,20,CPP,BDD-align-to-vs,138.5
test,4,20,CPP,intersection-build,7.7
test,4,20,CPP,intersection-SP-solve,1.9
test,0,25,gen_instance,all, 46.6
test,0,25,plain_MIP,build+solve,4.8
test,0,25,CPP,BDD-build,1135.8
test,0,25,CPP,MIP-build,189.6
test,0,25,CPP,MIP-solve,95.9
test,0,25,CPP,VS-build+solve,342.5
test,0,25,CPP,BDD-align-to-vs,461.2
test,0,25,CPP,intersection-build,59.1
test,0,25,CPP,intersection-SP-solve,15.6
test,1,25,gen_instance,all, 17.4
test,1,25,plain_MIP,build+solve,2.7
test,1,25,CPP,BDD-build,1120.3
test,1,25,CPP,MIP-build,149.9
test,1,25,CPP,MIP-solve,80.0
test,1,25,CPP,VS-build+solve,153.4
test,1,25,CPP,BDD-align-to-vs,528.6
test,1,25,CPP,intersection-build,59.0
test,1,25,CPP,intersection-SP-solve,9.9
test,2,25,gen_instance,all, 17.2
test,2,25,plain_MIP,build+solve,2.2
test,2,25,CPP,BDD-build,633.2
test,2,25,CPP,MIP-build,91.2
test,2,25,CPP,MIP-solve,61.4
test,2,25,CPP,VS-build+solve,245.9
test,2,25,CPP,BDD-align-to-vs,515.7
test,2,25,CPP,intersection-build,44.6
test,2,25,CPP,intersection-SP-solve,11.0
test,3,25,gen_instance,all, 17.6
test,3,25,plain_MIP,build+solve,2.8
test,3,25,CPP,BDD-build,1881.7
