run,k,n,method,step,time
test,0,20,gen_instance,all, 60.2
test,0,20,plain_MIP,build+solve,41.2
test,0,20,CPP,BDD-build,507.9
test,0,20,CPP,MIP-build,44.2
test,0,20,CPP,MIP-solve,35.6
test,0,20,CPP,VS-build+solve,11.7
test,0,20,CPP,BDD-align-to-vs,127.5
test,0,20,CPP,intersection-build,15.2
test,0,20,CPP,intersection-SP-solve,1.8
test,1,20,gen_instance,all, 13.8
test,1,20,plain_MIP,build+solve,3.5
test,1,20,CPP,BDD-build,211.8
test,1,20,CPP,MIP-build,39.3
test,1,20,CPP,MIP-solve,20.1
test,1,20,CPP,VS-build+solve,9.9
test,1,20,CPP,BDD-align-to-vs,95.1
test,1,20,CPP,intersection-build,18.9
test,1,20,CPP,intersection-SP-solve,2.5
test,2,20,gen_instance,all, 12.5
test,2,20,plain_MIP,build+solve,2.4
test,2,20,CPP,BDD-build,179.7
test,2,20,CPP,MIP-build,24.5
test,2,20,CPP,MIP-solve,13.0
test,2,20,CPP,VS-build+solve,108.7
test,2,20,CPP,BDD-align-to-vs,84.7
test,2,20,CPP,intersection-build,17.0
test,2,20,CPP,intersection-SP-solve,3.8
test,3,20,gen_instance,all, 17.0
test,3,20,plain_MIP,build+solve,5.5
test,3,20,CPP,BDD-build,220.1
test,3,20,CPP,MIP-build,40.0
test,3,20,CPP,MIP-solve,19.1
test,3,20,CPP,VS-build+solve,38.5
test,3,20,CPP,BDD-align-to-vs,97.7
test,3,20,CPP,intersection-build,19.6
test,3,20,CPP,intersection-SP-solve,3.6
test,4,20,gen_instance,all, 11.8
test,4,20,plain_MIP,build+solve,1.7
test,4,20,CPP,BDD-build,359.1
test,4,20,CPP,MIP-build,77.5
test,4,20,CPP,MIP-solve,25.8
test,4,20,CPP,VS-build+solve,25.8
test,4,20,CPP,BDD-align-to-vs,165.0
test,4,20,CPP,intersection-build,17.2
test,4,20,CPP,intersection-SP-solve,4.2
test,5,20,gen_instance,all, 11.4
test,5,20,plain_MIP,build+solve,1.5
test,5,20,CPP,BDD-build,305.9
test,5,20,CPP,MIP-build,45.4
test,5,20,CPP,MIP-solve,18.3
test,5,20,CPP,VS-build+solve,56.9
test,5,20,CPP,BDD-align-to-vs,123.0
test,5,20,CPP,intersection-build,18.7
test,5,20,CPP,intersection-SP-solve,3.8
test,6,20,gen_instance,all, 14.6
test,6,20,plain_MIP,build+solve,3.9
test,6,20,CPP,BDD-build,146.0
test,6,20,CPP,MIP-build,26.0
test,6,20,CPP,MIP-solve,16.6
test,6,20,CPP,VS-build+solve,90.8
test,6,20,CPP,BDD-align-to-vs,93.1
test,6,20,CPP,intersection-build,11.2
test,6,20,CPP,intersection-SP-solve,2.8
test,7,20,gen_instance,all, 12.6
test,7,20,plain_MIP,build+solve,2.3
test,7,20,CPP,BDD-build,157.5
test,7,20,CPP,MIP-build,28.2
test,7,20,CPP,MIP-solve,13.8
test,7,20,CPP,VS-build+solve,101.2
test,7,20,CPP,BDD-align-to-vs,143.4
test,7,20,CPP,intersection-build,8.1
test,7,20,CPP,intersection-SP-solve,1.9
test,8,20,gen_instance,all, 10.9
test,8,20,plain_MIP,build+solve,1.3
test,8,20,CPP,BDD-build,228.0
test,8,20,CPP,MIP-build,38.3
test,8,20,CPP,MIP-solve,24.0
test,8,20,CPP,VS-build+solve,37.7
test,8,20,CPP,BDD-align-to-vs,228.0
test,8,20,CPP,intersection-build,16.4
test,8,20,CPP,intersection-SP-solve,2.6
test,9,20,gen_instance,all, 16.4
test,9,20,plain_MIP,build+solve,2.3
test,9,20,CPP,BDD-build,255.1
test,9,20,CPP,MIP-build,44.2
test,9,20,CPP,MIP-solve,19.5
test,9,20,CPP,VS-build+solve,113.7
test,9,20,CPP,BDD-align-to-vs,103.4
test,9,20,CPP,intersection-build,17.2
test,9,20,CPP,intersection-SP-solve,4.5
test,10,20,gen_instance,all, 35.1
test,10,20,plain_MIP,build+solve,21.6
test,10,20,CPP,BDD-build,258.5
test,10,20,CPP,MIP-build,46.1
test,10,20,CPP,MIP-solve,43.4
test,10,20,CPP,VS-build+solve,20.1
test,10,20,CPP,BDD-align-to-vs,102.1
test,10,20,CPP,intersection-build,13.7
test,10,20,CPP,intersection-SP-solve,2.6
test,11,20,gen_instance,all, 14.1
test,11,20,plain_MIP,build+solve,3.9
test,11,20,CPP,BDD-build,176.0
test,11,20,CPP,MIP-build,31.3
test,11,20,CPP,MIP-solve,38.2
test,11,20,CPP,VS-build+solve,20.3
test,11,20,CPP,BDD-align-to-vs,68.1
test,11,20,CPP,intersection-build,64.6
test,11,20,CPP,intersection-SP-solve,1.8
test,12,20,gen_instance,all, 12.7
test,12,20,plain_MIP,build+solve,2.5
test,12,20,CPP,BDD-build,242.6
test,12,20,CPP,MIP-build,52.5
test,12,20,CPP,MIP-solve,24.4
test,12,20,CPP,VS-build+solve,45.9
test,12,20,CPP,BDD-align-to-vs,102.3
test,12,20,CPP,intersection-build,17.1
test,12,20,CPP,intersection-SP-solve,2.4
test,13,20,gen_instance,all, 16.1
test,13,20,plain_MIP,build+solve,5.0
test,13,20,CPP,BDD-build,301.9
test,13,20,CPP,MIP-build,45.5
test,13,20,CPP,MIP-solve,24.9
test,13,20,CPP,VS-build+solve,79.1
test,13,20,CPP,BDD-align-to-vs,165.8
test,13,20,CPP,intersection-build,16.4
test,13,20,CPP,intersection-SP-solve,2.9
test,14,20,gen_instance,all, 13.3
test,14,20,plain_MIP,build+solve,2.6
test,14,20,CPP,BDD-build,392.1
test,14,20,CPP,MIP-build,102.2
test,14,20,CPP,MIP-solve,26.1
test,14,20,CPP,VS-build+solve,45.8
test,14,20,CPP,BDD-align-to-vs,190.9
test,14,20,CPP,intersection-build,24.9
test,14,20,CPP,intersection-SP-solve,4.8
test,15,20,gen_instance,all, 25.1
test,15,20,plain_MIP,build+solve,2.2
test,15,20,CPP,BDD-build,191.2
test,15,20,CPP,MIP-build,36.5
test,15,20,CPP,MIP-solve,20.1
test,15,20,CPP,VS-build+solve,19.8
test,15,20,CPP,BDD-align-to-vs,77.1
test,15,20,CPP,intersection-build,10.7
test,15,20,CPP,intersection-SP-solve,3.0
test,16,20,gen_instance,all, 14.3
test,16,20,plain_MIP,build+solve,4.2
