run,k,n,method,step,time
test,0,5,gen_instance,all, 43.4
test,0,5,plain_MIP,build+solve,0.5
test,0,5,CPP,BDD-build,2.7
test,0,5,CPP,MIP-build,1.3
test,0,5,CPP,MIP-solve,0.6
test,0,5,CPP,VS-build+solve,0.5
test,0,5,CPP,BDD-align-to-vs,1.1
test,0,5,CPP,intersection-build,0.1
test,0,5,CPP,intersection-SP-solve,0.0
test,0,5,CPP,BDD-align-gsifts,12.1
test,0,5,CPP,intersection-gsifts-build,0.1
test,0,5,CPP,intersection-gsifts-SP-solve,0.0
test,1,5,gen_instance,all, 2.0
test,1,5,plain_MIP,build+solve,0.4
test,1,5,CPP,BDD-build,3.0
test,1,5,CPP,MIP-build,1.3
test,1,5,CPP,MIP-solve,0.6
test,1,5,CPP,VS-build+solve,0.5
test,1,5,CPP,BDD-align-to-vs,1.1
test,1,5,CPP,intersection-build,0.1
test,1,5,CPP,intersection-SP-solve,0.0
test,1,5,CPP,BDD-align-gsifts,12.0
test,1,5,CPP,intersection-gsifts-build,0.1
test,1,5,CPP,intersection-gsifts-SP-solve,0.0
test,2,5,gen_instance,all, 2.5
test,2,5,plain_MIP,build+solve,0.4
test,2,5,CPP,BDD-build,3.3
test,2,5,CPP,MIP-build,2.3
test,2,5,CPP,MIP-solve,0.3
test,2,5,CPP,VS-build+solve,2.2
test,2,5,CPP,BDD-align-to-vs,1.5
test,2,5,CPP,intersection-build,0.1
test,2,5,CPP,intersection-SP-solve,0.0
test,2,5,CPP,BDD-align-gsifts,14.1
test,2,5,CPP,intersection-gsifts-build,0.3
test,2,5,CPP,intersection-gsifts-SP-solve,0.0
test,3,5,gen_instance,all, 1.9
test,3,5,plain_MIP,build+solve,0.6
test,3,5,CPP,BDD-build,3.2
test,3,5,CPP,MIP-build,1.6
test,3,5,CPP,MIP-solve,0.8
test,3,5,CPP,VS-build+solve,0.6
test,3,5,CPP,BDD-align-to-vs,1.9
test,3,5,CPP,intersection-build,0.1
test,3,5,CPP,intersection-SP-solve,0.0
test,3,5,CPP,BDD-align-gsifts,14.7
test,3,5,CPP,intersection-gsifts-build,0.1
test,3,5,CPP,intersection-gsifts-SP-solve,0.0
test,4,5,gen_instance,all, 1.9
test,4,5,plain_MIP,build+solve,0.4
test,4,5,CPP,BDD-build,2.6
test,4,5,CPP,MIP-build,1.3
test,4,5,CPP,MIP-solve,0.2
test,4,5,CPP,VS-build+solve,0.5
test,4,5,CPP,BDD-align-to-vs,1.0
test,4,5,CPP,intersection-build,0.1
test,4,5,CPP,intersection-SP-solve,0.0
test,4,5,CPP,BDD-align-gsifts,13.2
test,4,5,CPP,intersection-gsifts-build,0.1
test,4,5,CPP,intersection-gsifts-SP-solve,0.0
test,5,5,gen_instance,all, 2.6
test,5,5,plain_MIP,build+solve,0.7
test,5,5,CPP,BDD-build,3.3
test,5,5,CPP,MIP-build,1.7
test,5,5,CPP,MIP-solve,0.6
test,5,5,CPP,VS-build+solve,0.4
test,5,5,CPP,BDD-align-to-vs,1.8
test,5,5,CPP,intersection-build,0.1
test,5,5,CPP,intersection-SP-solve,0.0
test,5,5,CPP,BDD-align-gsifts,15.7
test,5,5,CPP,intersection-gsifts-build,0.1
test,5,5,CPP,intersection-gsifts-SP-solve,0.0
test,6,5,gen_instance,all, 2.1
test,6,5,plain_MIP,build+solve,0.4
test,6,5,CPP,BDD-build,3.4
test,6,5,CPP,MIP-build,1.5
test,6,5,CPP,MIP-solve,0.7
test,6,5,CPP,VS-build+solve,0.8
test,6,5,CPP,BDD-align-to-vs,1.5
test,6,5,CPP,intersection-build,0.1
test,6,5,CPP,intersection-SP-solve,0.0
test,6,5,CPP,BDD-align-gsifts,12.1
test,6,5,CPP,intersection-gsifts-build,0.1
test,6,5,CPP,intersection-gsifts-SP-solve,0.0
test,7,5,gen_instance,all, 1.9
test,7,5,plain_MIP,build+solve,0.4
test,7,5,CPP,BDD-build,3.0
test,7,5,CPP,MIP-build,1.7
test,7,5,CPP,MIP-solve,0.4
test,7,5,CPP,VS-build+solve,2.9
test,7,5,CPP,BDD-align-to-vs,1.1
test,7,5,CPP,intersection-build,0.1
test,7,5,CPP,intersection-SP-solve,0.0
test,7,5,CPP,BDD-align-gsifts,15.6
test,7,5,CPP,intersection-gsifts-build,0.1
test,7,5,CPP,intersection-gsifts-SP-solve,0.0
test,8,5,gen_instance,all, 1.9
test,8,5,plain_MIP,build+solve,0.4
test,8,5,CPP,BDD-build,3.2
test,8,5,CPP,MIP-build,1.5
test,8,5,CPP,MIP-solve,0.2
test,8,5,CPP,VS-build+solve,0.5
test,8,5,CPP,BDD-align-to-vs,2.2
test,8,5,CPP,intersection-build,0.1
test,8,5,CPP,intersection-SP-solve,0.0
test,8,5,CPP,BDD-align-gsifts,14.8
test,8,5,CPP,intersection-gsifts-build,0.1
test,8,5,CPP,intersection-gsifts-SP-solve,0.0
test,9,5,gen_instance,all, 2.1
test,9,5,plain_MIP,build+solve,0.5
test,9,5,CPP,BDD-build,3.1
test,9,5,CPP,MIP-build,1.6
test,9,5,CPP,MIP-solve,0.6
test,9,5,CPP,VS-build+solve,0.5
test,9,5,CPP,BDD-align-to-vs,1.3
test,9,5,CPP,intersection-build,0.1
test,9,5,CPP,intersection-SP-solve,0.0
test,9,5,CPP,BDD-align-gsifts,13.2
test,9,5,CPP,intersection-gsifts-build,0.1
test,9,5,CPP,intersection-gsifts-SP-solve,0.0
test,10,5,gen_instance,all, 1.9
test,10,5,plain_MIP,build+solve,0.4
test,10,5,CPP,BDD-build,2.4
test,10,5,CPP,MIP-build,2.3
test,10,5,CPP,MIP-solve,0.3
test,10,5,CPP,VS-build+solve,0.8
test,10,5,CPP,BDD-align-to-vs,1.9
test,10,5,CPP,intersection-build,0.1
test,10,5,CPP,intersection-SP-solve,0.0
test,10,5,CPP,BDD-align-gsifts,10.6
test,10,5,CPP,intersection-gsifts-build,0.1
test,10,5,CPP,intersection-gsifts-SP-solve,0.0
test,11,5,gen_instance,all, 2.0
test,11,5,plain_MIP,build+solve,0.7
test,11,5,CPP,BDD-build,4.6
test,11,5,CPP,MIP-build,2.3
test,11,5,CPP,MIP-solve,0.3
test,11,5,CPP,VS-build+solve,0.6
test,11,5,CPP,BDD-align-to-vs,1.2
test,11,5,CPP,intersection-build,0.1
test,11,5,CPP,intersection-SP-solve,0.0
test,11,5,CPP,BDD-align-gsifts,11.2
test,11,5,CPP,intersection-gsifts-build,0.1
test,11,5,CPP,intersection-gsifts-SP-solve,0.0
test,12,5,gen_instance,all, 1.9
