n, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, plain_MIP_vars, exp_time
5, 9, 10, 10, 21, 10, 5, 0.0
5, 8, 12, 13, 22, 12, 5, 0.0
5, 12, 9, 18, 19, 20, 5, 0.0
5, 9, 10, 15, 23, 10, 5, 0.0
5, 7, 10, 10, 13, 10, 5, 0.0
7, 8, 16, 25, 63, 16, 7, 0.0
7, 13, 35, 38, 38, 46, 7, 0.0
7, 17, 32, 42, 55, 45, 7, 0.0
7, 23, 29, 32, 50, 33, 7, 0.0
7, 10, 28, 28, 34, 28, 7, 0.0
10, 15, 89, 103, 119, 105, 10, 0.1
10, 31, 100, 108, 156, 122, 10, 0.0
10, 13, 30, 36, 67, 30, 10, 0.0
10, 23, 55, 85, 87, 101, 10, 0.0
10, 31, 52, 93, 125, 93, 10, 0.0
15, 54, 846, 928, 899, 1317, 15, 0.3
15, 36, 518, 643, 755, 712, 15, 0.2
15, 38, 636, 1231, 1302, 1105, 15, 0.3
15, 42, 555, 645, 788, 660, 15, 0.3
15, 42, 738, 797, 1041, 917, 15, 0.4
20, 70, 4664, 7061, 8500, 8365, 20, 3.3
20, 61, 4782, 3354, 4526, 6376, 20, 2.0
20, 64, 3918, 4252, 3724, 5895, 20, 2.1
20, 77, 3598, 3654, 4056, 5624, 20, 1.6
20, 64, 2956, 3997, 6296, 4112, 20, 2.4
25, 82, 6197, 17368, 29288, 13138, 25, 7.3
25, 89, 19218, 20245, 17929, 33253, 25, 7.9
25, 91, 18969, 36737, 38742, 47948, 25, 18.2
25, 64, 10438, 11206, 14375, 13232, 25, 7.6
25, 103, 20214, 39415, 50324, 47860, 25, 23.0
30, 135, 47499, 67697, 76313, 80716, 30, 37.4
30, 109, 89075, 93350, 104281, 124989, 30, 66.4
30, 107, 104777, 130454, 211106, 201771, 30, 154.6
30, 107, 49271, 39281, 164623, 63170, 30, 73.2
30, 135, 60480, 147680, 330301, 197517, 30, 98.6
