n, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, plain_MIP_vars, exp_time
5, 6, 14, 17, 17, 15, 5, 0.0
5, 6, 13, 16, 24, 13, 5, 0.0
5, 11, 16, 17, 21, 18, 5, 0.0
5, 9, 13, 18, 23, 18, 5, 0.0
5, 6, 11, 17, 17, 12, 5, 0.0
7, 16, 18, 51, 51, 37, 7, 0.0
7, 16, 18, 37, 60, 35, 7, 0.0
7, 19, 32, 48, 63, 41, 7, 0.0
7, 20, 17, 39, 70, 34, 7, 0.0
7, 16, 31, 49, 58, 51, 7, 0.0
10, 23, 71, 101, 102, 103, 10, 0.0
10, 30, 56, 144, 202, 121, 10, 0.0
10, 11, 30, 69, 142, 30, 10, 0.0
10, 21, 54, 67, 341, 54, 10, 0.1
10, 24, 48, 107, 122, 124, 10, 0.0
15, 38, 247, 376, 729, 363, 15, 0.2
15, 59, 242, 731, 1892, 628, 15, 0.4
15, 59, 115, 349, 1491, 417, 15, 0.2
15, 44, 263, 431, 1913, 466, 15, 0.3
15, 37, 313, 402, 2138, 410, 15, 0.4
20, 73, 1166, 2291, 8396, 2558, 20, 1.1
20, 75, 2017, 2981, 9385, 3428, 20, 1.9
20, 61, 1455, 2492, 9061, 3254, 20, 1.5
20, 77, 1034, 2281, 14723, 1938, 20, 2.1
20, 81, 889, 2839, 3732, 2959, 20, 0.9
25, 78, 7814, 12791, 55928, 16906, 25, 10.3
25, 105, 15198, 22579, 44506, 27452, 25, 13.2
25, 139, 5742, 22564, 45810, 27671, 25, 9.3
25, 77, 7272, 11165, 84817, 10299, 25, 15.4
25, 115, 6357, 22486, 49449, 22372, 25, 12.8
30, 124, 48782, 112925, 181306, 127138, 30, 58.6
30, 100, 45524, 50591, 206325, 58687, 30, 72.5
30, 148, 19489, 64084, 435321, 55702, 30, 87.9
30, 119, 40098, 68787, 269035, 88470, 30, 58.4
30, 148, 31104, 91614, 232673, 95172, 30, 56.0
