instance,num_type,value,comment
-1,legend,orig_simpl,Simplified problem: |A∩B|
-1,legend,orig_minAB,Best of A and B: |A∩B|
-1,legend,orig_5random,Best of 5 random: |A∩B|
-1,legend,orig_gsifts1p,Greedy BDD sifts: |A∩B|
-1,legend,orig_simpl_AB,Simplified problem: |A|+|B|
-1,legend,orig_minAB_AB,Best of A and B: |A|+|B|
-1,legend,orig_5random_AB,Best of 5 random: |A|+|B|
-1,legend,orig_gsifts1p_AB,Greedy BDD sifts: |A|+|B|
0,orig_simpl_AB_obj,535,--none--
0,orig_simpl_obj,725,--none--
0,orig_minAB_AB_obj,507,--none--
0,orig_minAB_obj,544,--none--
0,orig_5random_obj,777,--none--
0,orig_5random_AB_obj,592,--none--
0,orig_gsifts1p_AB_obj,449,--none--
0,orig_gsifts1p_obj,723,--none--
1,orig_simpl_AB_obj,337,--none--
1,orig_simpl_obj,244,--none--
1,orig_minAB_AB_obj,337,--none--
1,orig_minAB_obj,244,--none--
1,orig_5random_obj,358,--none--
1,orig_5random_AB_obj,425,--none--
1,orig_gsifts1p_AB_obj,277,--none--
1,orig_gsifts1p_obj,221,--none--
2,orig_simpl_AB_obj,455,--none--
2,orig_simpl_obj,321,--none--
2,orig_minAB_AB_obj,458,--none--
2,orig_minAB_obj,276,--none--
2,orig_5random_obj,344,--none--
2,orig_5random_AB_obj,486,--none--
2,orig_gsifts1p_AB_obj,306,--none--
2,orig_gsifts1p_obj,242,--none--
3,orig_simpl_AB_obj,654,--none--
3,orig_simpl_obj,1026,--none--
3,orig_minAB_AB_obj,660,--none--
3,orig_minAB_obj,748,--none--
3,orig_5random_obj,913,--none--
3,orig_5random_AB_obj,613,--none--
3,orig_gsifts1p_AB_obj,425,--none--
3,orig_gsifts1p_obj,689,--none--
4,orig_simpl_AB_obj,406,--none--
4,orig_simpl_obj,122,--none--
4,orig_minAB_AB_obj,396,--none--
4,orig_minAB_obj,119,--none--
4,orig_5random_obj,133,--none--
4,orig_5random_AB_obj,674,--none--
4,orig_gsifts1p_AB_obj,359,--none--
4,orig_gsifts1p_obj,111,--none--
5,orig_simpl_AB_obj,368,--none--
5,orig_simpl_obj,42,--none--
5,orig_minAB_AB_obj,368,--none--
5,orig_minAB_obj,42,--none--
5,orig_5random_obj,43,--none--
5,orig_5random_AB_obj,445,--none--
5,orig_gsifts1p_AB_obj,314,--none--
5,orig_gsifts1p_obj,41,--none--
6,orig_simpl_AB_obj,367,--none--
6,orig_simpl_obj,252,--none--
6,orig_minAB_AB_obj,386,--none--
6,orig_minAB_obj,260,--none--
6,orig_5random_obj,356,--none--
6,orig_5random_AB_obj,474,--none--
6,orig_gsifts1p_AB_obj,322,--none--
6,orig_gsifts1p_obj,256,--none--
7,orig_simpl_AB_obj,234,--none--
7,orig_simpl_obj,205,--none--
7,orig_minAB_AB_obj,230,--none--
7,orig_minAB_obj,201,--none--
7,orig_5random_obj,409,--none--
7,orig_5random_AB_obj,364,--none--
7,orig_gsifts1p_AB_obj,216,--none--
7,orig_gsifts1p_obj,196,--none--
8,orig_simpl_AB_obj,634,--none--
8,orig_simpl_obj,661,--none--
8,orig_minAB_AB_obj,638,--none--
8,orig_minAB_obj,542,--none--
8,orig_5random_obj,789,--none--
8,orig_5random_AB_obj,669,--none--
8,orig_gsifts1p_AB_obj,532,--none--
8,orig_gsifts1p_obj,589,--none--
9,orig_simpl_AB_obj,279,--none--
9,orig_simpl_obj,234,--none--
9,orig_minAB_AB_obj,287,--none--
9,orig_minAB_obj,242,--none--
9,orig_5random_obj,397,--none--
9,orig_5random_AB_obj,545,--none--
9,orig_gsifts1p_AB_obj,254,--none--
9,orig_gsifts1p_obj,261,--none--
10,orig_simpl_AB_obj,298,--none--
10,orig_simpl_obj,349,--none--
10,orig_minAB_AB_obj,294,--none--
10,orig_minAB_obj,310,--none--
10,orig_5random_obj,517,--none--
10,orig_5random_AB_obj,397,--none--
10,orig_gsifts1p_AB_obj,232,--none--
10,orig_gsifts1p_obj,268,--none--
11,orig_simpl_AB_obj,480,--none--
11,orig_simpl_obj,392,--none--
11,orig_minAB_AB_obj,455,--none--
11,orig_minAB_obj,375,--none--
11,orig_5random_obj,502,--none--
11,orig_5random_AB_obj,576,--none--
11,orig_gsifts1p_AB_obj,404,--none--
11,orig_gsifts1p_obj,336,--none--
12,orig_simpl_AB_obj,328,--none--
12,orig_simpl_obj,399,--none--
12,orig_minAB_AB_obj,278,--none--
12,orig_minAB_obj,321,--none--
12,orig_5random_obj,378,--none--
12,orig_5random_AB_obj,453,--none--
12,orig_gsifts1p_AB_obj,251,--none--
12,orig_gsifts1p_obj,318,--none--
13,orig_simpl_AB_obj,198,--none--
13,orig_simpl_obj,186,--none--
13,orig_minAB_AB_obj,199,--none--
13,orig_minAB_obj,185,--none--
13,orig_5random_obj,428,--none--
13,orig_5random_AB_obj,377,--none--
13,orig_gsifts1p_AB_obj,179,--none--
13,orig_gsifts1p_obj,168,--none--
14,orig_simpl_AB_obj,673,--none--
14,orig_simpl_obj,51,--none--
14,orig_minAB_AB_obj,658,--none--
14,orig_minAB_obj,49,--none--
14,orig_5random_obj,51,--none--
14,orig_5random_AB_obj,800,--none--
14,orig_gsifts1p_AB_obj,527,--none--
14,orig_gsifts1p_obj,52,--none--
15,orig_simpl_AB_obj,197,--none--
15,orig_simpl_obj,121,--none--
15,orig_minAB_AB_obj,195,--none--
15,orig_minAB_obj,119,--none--
15,orig_5random_obj,173,--none--
15,orig_5random_AB_obj,291,--none--
15,orig_gsifts1p_AB_obj,188,--none--
15,orig_gsifts1p_obj,117,--none--
16,orig_simpl_AB_obj,378,--none--
16,orig_simpl_obj,274,--none--
16,orig_minAB_AB_obj,362,--none--
16,orig_minAB_obj,271,--none--
16,orig_5random_obj,258,--none--
16,orig_5random_AB_obj,342,--none--
16,orig_gsifts1p_AB_obj,297,--none--
16,orig_gsifts1p_obj,234,--none--
17,orig_simpl_AB_obj,423,--none--
17,orig_simpl_obj,601,--none--
17,orig_minAB_AB_obj,424,--none--
17,orig_minAB_obj,513,--none--
17,orig_5random_obj,613,--none--
17,orig_5random_AB_obj,474,--none--
17,orig_gsifts1p_AB_obj,324,--none--
17,orig_gsifts1p_obj,444,--none--
18,orig_simpl_AB_obj,469,--none--
18,orig_simpl_obj,683,--none--
18,orig_minAB_AB_obj,480,--none--
18,orig_minAB_obj,581,--none--
18,orig_5random_obj,875,--none--
18,orig_5random_AB_obj,605,--none--
18,orig_gsifts1p_AB_obj,424,--none--
18,orig_gsifts1p_obj,662,--none--
19,orig_simpl_AB_obj,595,--none--
19,orig_simpl_obj,789,--none--
19,orig_minAB_AB_obj,658,--none--
19,orig_minAB_obj,737,--none--
19,orig_5random_obj,920,--none--
19,orig_5random_AB_obj,659,--none--
19,orig_gsifts1p_AB_obj,554,--none--
19,orig_gsifts1p_obj,809,--none--
20,orig_simpl_AB_obj,399,--none--
20,orig_simpl_obj,379,--none--
20,orig_minAB_AB_obj,357,--none--
20,orig_minAB_obj,343,--none--
20,orig_5random_obj,371,--none--
20,orig_5random_AB_obj,391,--none--
20,orig_gsifts1p_AB_obj,230,--none--
20,orig_gsifts1p_obj,224,--none--
21,orig_simpl_AB_obj,405,--none--
21,orig_simpl_obj,187,--none--
21,orig_minAB_AB_obj,412,--none--
21,orig_minAB_obj,184,--none--
21,orig_5random_obj,228,--none--
21,orig_5random_AB_obj,588,--none--
21,orig_gsifts1p_AB_obj,376,--none--
21,orig_gsifts1p_obj,208,--none--
22,orig_simpl_AB_obj,575,--none--
22,orig_simpl_obj,309,--none--
22,orig_minAB_AB_obj,556,--none--
22,orig_minAB_obj,240,--none--
22,orig_5random_obj,335,--none--
22,orig_5random_AB_obj,739,--none--
22,orig_gsifts1p_AB_obj,486,--none--
22,orig_gsifts1p_obj,257,--none--
23,orig_simpl_AB_obj,596,--none--
23,orig_simpl_obj,430,--none--
23,orig_minAB_AB_obj,581,--none--
23,orig_minAB_obj,431,--none--
23,orig_5random_obj,493,--none--
23,orig_5random_AB_obj,699,--none--
23,orig_gsifts1p_AB_obj,454,--none--
23,orig_gsifts1p_obj,406,--none--
24,orig_simpl_AB_obj,490,--none--
24,orig_simpl_obj,292,--none--
24,orig_minAB_AB_obj,436,--none--
24,orig_minAB_obj,261,--none--
24,orig_5random_obj,361,--none--
24,orig_5random_AB_obj,675,--none--
24,orig_gsifts1p_AB_obj,369,--none--
24,orig_gsifts1p_obj,252,--none--
25,orig_simpl_AB_obj,377,--none--
25,orig_simpl_obj,111,--none--
25,orig_minAB_AB_obj,354,--none--
25,orig_minAB_obj,97,--none--
25,orig_5random_obj,116,--none--
25,orig_5random_AB_obj,607,--none--
25,orig_gsifts1p_AB_obj,301,--none--
25,orig_gsifts1p_obj,116,--none--
26,orig_simpl_AB_obj,337,--none--
26,orig_simpl_obj,350,--none--
26,orig_minAB_AB_obj,349,--none--
26,orig_minAB_obj,386,--none--
26,orig_5random_obj,527,--none--
26,orig_5random_AB_obj,488,--none--
26,orig_gsifts1p_AB_obj,303,--none--
26,orig_gsifts1p_obj,328,--none--
27,orig_simpl_AB_obj,422,--none--
27,orig_simpl_obj,197,--none--
27,orig_minAB_AB_obj,422,--none--
27,orig_minAB_obj,197,--none--
27,orig_5random_obj,246,--none--
27,orig_5random_AB_obj,611,--none--
27,orig_gsifts1p_AB_obj,350,--none--
27,orig_gsifts1p_obj,190,--none--
28,orig_simpl_AB_obj,223,--none--
28,orig_simpl_obj,300,--none--
28,orig_minAB_AB_obj,223,--none--
28,orig_minAB_obj,300,--none--
28,orig_5random_obj,385,--none--
28,orig_5random_AB_obj,294,--none--
28,orig_gsifts1p_AB_obj,211,--none--
28,orig_gsifts1p_obj,262,--none--
29,orig_simpl_AB_obj,434,--none--
29,orig_simpl_obj,804,--none--
29,orig_minAB_AB_obj,432,--none--
29,orig_minAB_obj,754,--none--
29,orig_5random_obj,776,--none--
29,orig_5random_AB_obj,474,--none--
29,orig_gsifts1p_AB_obj,336,--none--
29,orig_gsifts1p_obj,579,--none--
30,orig_simpl_AB_obj,362,--none--
30,orig_simpl_obj,591,--none--
30,orig_minAB_AB_obj,374,--none--
30,orig_minAB_obj,590,--none--
30,orig_5random_obj,676,--none--
30,orig_5random_AB_obj,553,--none--
30,orig_gsifts1p_AB_obj,350,--none--
30,orig_gsifts1p_obj,584,--none--
31,orig_simpl_AB_obj,319,--none--
31,orig_simpl_obj,232,--none--
31,orig_minAB_AB_obj,321,--none--
31,orig_minAB_obj,217,--none--
31,orig_5random_obj,282,--none--
31,orig_5random_AB_obj,469,--none--
31,orig_gsifts1p_AB_obj,282,--none--
31,orig_gsifts1p_obj,262,--none--
32,orig_simpl_AB_obj,411,--none--
32,orig_simpl_obj,460,--none--
32,orig_minAB_AB_obj,419,--none--
32,orig_minAB_obj,332,--none--
32,orig_5random_obj,521,--none--
32,orig_5random_AB_obj,502,--none--
32,orig_gsifts1p_AB_obj,344,--none--
32,orig_gsifts1p_obj,413,--none--
33,orig_simpl_AB_obj,368,--none--
33,orig_simpl_obj,238,--none--
33,orig_minAB_AB_obj,303,--none--
33,orig_minAB_obj,272,--none--
33,orig_5random_obj,416,--none--
33,orig_5random_AB_obj,554,--none--
33,orig_gsifts1p_AB_obj,245,--none--
33,orig_gsifts1p_obj,235,--none--
34,orig_simpl_AB_obj,521,--none--
34,orig_simpl_obj,736,--none--
34,orig_minAB_AB_obj,530,--none--
34,orig_minAB_obj,739,--none--
34,orig_5random_obj,811,--none--
34,orig_5random_AB_obj,569,--none--
34,orig_gsifts1p_AB_obj,402,--none--
34,orig_gsifts1p_obj,555,--none--
35,orig_simpl_AB_obj,184,--none--
35,orig_simpl_obj,258,--none--
35,orig_minAB_AB_obj,180,--none--
35,orig_minAB_obj,233,--none--
35,orig_5random_obj,389,--none--
35,orig_5random_AB_obj,309,--none--
35,orig_gsifts1p_AB_obj,150,--none--
35,orig_gsifts1p_obj,177,--none--
36,orig_simpl_AB_obj,324,--none--
36,orig_simpl_obj,119,--none--
36,orig_minAB_AB_obj,371,--none--
36,orig_minAB_obj,108,--none--
36,orig_5random_obj,115,--none--
36,orig_5random_AB_obj,347,--none--
36,orig_gsifts1p_AB_obj,254,--none--
36,orig_gsifts1p_obj,115,--none--
37,orig_simpl_AB_obj,376,--none--
37,orig_simpl_obj,374,--none--
37,orig_minAB_AB_obj,365,--none--
37,orig_minAB_obj,347,--none--
37,orig_5random_obj,471,--none--
37,orig_5random_AB_obj,470,--none--
37,orig_gsifts1p_AB_obj,287,--none--
37,orig_gsifts1p_obj,349,--none--
38,orig_simpl_AB_obj,316,--none--
38,orig_simpl_obj,499,--none--
38,orig_minAB_AB_obj,325,--none--
38,orig_minAB_obj,492,--none--
38,orig_5random_obj,479,--none--
38,orig_5random_AB_obj,381,--none--
38,orig_gsifts1p_AB_obj,192,--none--
38,orig_gsifts1p_obj,224,--none--
39,orig_simpl_AB_obj,597,--none--
39,orig_simpl_obj,855,--none--
39,orig_minAB_AB_obj,586,--none--
39,orig_minAB_obj,816,--none--
39,orig_5random_obj,1096,--none--
39,orig_5random_AB_obj,808,--none--
39,orig_gsifts1p_AB_obj,549,--none--
39,orig_gsifts1p_obj,823,--none--
40,orig_simpl_AB_obj,466,--none--
40,orig_simpl_obj,405,--none--
40,orig_minAB_AB_obj,477,--none--
40,orig_minAB_obj,329,--none--
40,orig_5random_obj,452,--none--
40,orig_5random_AB_obj,553,--none--
40,orig_gsifts1p_AB_obj,366,--none--
40,orig_gsifts1p_obj,455,--none--
41,orig_simpl_AB_obj,573,--none--
41,orig_simpl_obj,609,--none--
41,orig_minAB_AB_obj,566,--none--
41,orig_minAB_obj,605,--none--
41,orig_5random_obj,717,--none--
41,orig_5random_AB_obj,624,--none--
41,orig_gsifts1p_AB_obj,423,--none--
41,orig_gsifts1p_obj,470,--none--
42,orig_simpl_AB_obj,434,--none--
42,orig_simpl_obj,345,--none--
42,orig_minAB_AB_obj,455,--none--
42,orig_minAB_obj,247,--none--
42,orig_5random_obj,314,--none--
42,orig_5random_AB_obj,398,--none--
42,orig_gsifts1p_AB_obj,322,--none--
42,orig_gsifts1p_obj,243,--none--
43,orig_simpl_AB_obj,232,--none--
43,orig_simpl_obj,85,--none--
43,orig_minAB_AB_obj,249,--none--
43,orig_minAB_obj,79,--none--
43,orig_5random_obj,94,--none--
43,orig_5random_AB_obj,358,--none--
43,orig_gsifts1p_AB_obj,231,--none--
43,orig_gsifts1p_obj,71,--none--
44,orig_simpl_AB_obj,339,--none--
44,orig_simpl_obj,360,--none--
44,orig_minAB_AB_obj,349,--none--
44,orig_minAB_obj,371,--none--
44,orig_5random_obj,583,--none--
44,orig_5random_AB_obj,478,--none--
44,orig_gsifts1p_AB_obj,261,--none--
44,orig_gsifts1p_obj,325,--none--
45,orig_simpl_AB_obj,266,--none--
45,orig_simpl_obj,132,--none--
45,orig_minAB_AB_obj,276,--none--
45,orig_minAB_obj,130,--none--
45,orig_5random_obj,113,--none--
45,orig_5random_AB_obj,412,--none--
45,orig_gsifts1p_AB_obj,225,--none--
45,orig_gsifts1p_obj,95,--none--
46,orig_simpl_AB_obj,324,--none--
46,orig_simpl_obj,437,--none--
46,orig_minAB_AB_obj,325,--none--
46,orig_minAB_obj,443,--none--
46,orig_5random_obj,530,--none--
46,orig_5random_AB_obj,440,--none--
46,orig_gsifts1p_AB_obj,299,--none--
46,orig_gsifts1p_obj,414,--none--
47,orig_simpl_AB_obj,430,--none--
47,orig_simpl_obj,339,--none--
47,orig_minAB_AB_obj,429,--none--
47,orig_minAB_obj,274,--none--
47,orig_5random_obj,398,--none--
47,orig_5random_AB_obj,545,--none--
47,orig_gsifts1p_AB_obj,394,--none--
47,orig_gsifts1p_obj,345,--none--
48,orig_simpl_AB_obj,561,--none--
48,orig_simpl_obj,605,--none--
48,orig_minAB_AB_obj,522,--none--
48,orig_minAB_obj,543,--none--
48,orig_5random_obj,719,--none--
48,orig_5random_AB_obj,622,--none--
48,orig_gsifts1p_AB_obj,386,--none--
48,orig_gsifts1p_obj,409,--none--
49,orig_simpl_AB_obj,351,--none--
49,orig_simpl_obj,331,--none--
49,orig_minAB_AB_obj,358,--none--
49,orig_minAB_obj,330,--none--
49,orig_5random_obj,590,--none--
49,orig_5random_AB_obj,727,--none--
49,orig_gsifts1p_AB_obj,310,--none--
49,orig_gsifts1p_obj,324,--none--
50,orig_simpl_AB_obj,366,--none--
50,orig_simpl_obj,457,--none--
50,orig_minAB_AB_obj,339,--none--
50,orig_minAB_obj,405,--none--
50,orig_5random_obj,637,--none--
50,orig_5random_AB_obj,530,--none--
