n, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, plain_MIP_vars, plain_MIP_constrs, exp_time
5, 9, 12, 17, 20, 16, 5, 8, 0.0
5, 6, 11, 12, 13, 12, 5, 9, 0.0
5, 11, 11, 13, 24, 12, 5, 7, 0.0
5, 8, 10, 14, 17, 10, 5, 8, 0.0
5, 8, 11, 11, 18, 11, 5, 8, 0.0
7, 11, 16, 16, 51, 16, 7, 11, 0.0
7, 9, 22, 33, 79, 22, 7, 12, 0.0
7, 18, 20, 38, 92, 42, 7, 9, 0.0
7, 8, 35, 35, 43, 35, 7, 13, 0.0
7, 13, 24, 36, 39, 34, 7, 10, 0.0
10, 26, 52, 106, 202, 94, 10, 14, 0.0
10, 28, 80, 132, 187, 196, 10, 13, 0.1
10, 20, 47, 103, 162, 77, 10, 14, 0.0
10, 14, 36, 33, 279, 36, 10, 17, 0.1
10, 12, 52, 67, 362, 52, 10, 18, 0.1
15, 42, 214, 447, 888, 264, 15, 17, 0.2
15, 39, 172, 311, 2148, 287, 15, 24, 0.2
15, 48, 527, 1061, 1403, 844, 15, 19, 0.3
15, 40, 216, 497, 959, 517, 15, 22, 0.2
15, 51, 133, 362, 1965, 433, 15, 21, 0.2
20, 91, 930, 4252, 4911, 2964, 20, 24, 1.0
20, 68, 1410, 3946, 10919, 2449, 20, 27, 2.2
20, 81, 1526, 3430, 8235, 3505, 20, 26, 1.6
20, 70, 701, 1608, 11627, 1750, 20, 28, 1.3
20, 67, 811, 1526, 10980, 1147, 20, 22, 2.0
25, 120, 5932, 14882, 19183, 22220, 25, 28, 4.3
25, 97, 7064, 14774, 121584, 16864, 25, 29, 17.6
25, 86, 5610, 10901, 62109, 11044, 25, 32, 8.8
25, 91, 4757, 7425, 53783, 10408, 25, 31, 6.9
25, 75, 6679, 8162, 33352, 7512, 25, 28, 9.2
30, 121, 19617, 70582, 384218, 56021, 30, 38, 122.2
30, 88, 35001, 38476, 139383, 37054, 30, 34, 39.8
30, 95, 35385, 71069, 419947, 48852, 30, 34, 161.5
30, 124, 35172, 44832, 420600, 54157, 30, 34, 100.0
30, 127, 23331, 56236, 211884, 51002, 30, 37, 44.2
