n, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, plain_MIP_vars, plain_MIP_constrs, exp_time
5, 6, 14, 17, 16, 17, 5, 9, 0.0
5, 6, 11, 12, 12, 12, 5, 9, 0.0
5, 12, 12, 18, 18, 18, 5, 7, 0.0
5, 6, 14, 16, 16, 15, 5, 9, 0.0
5, 7, 10, 14, 14, 13, 5, 8, 0.0
7, 8, 31, 34, 34, 34, 7, 13, 0.0
7, 16, 20, 43, 44, 44, 7, 10, 0.0
7, 15, 28, 35, 35, 33, 7, 11, 0.0
7, 18, 26, 49, 49, 49, 7, 10, 0.0
7, 18, 21, 37, 37, 37, 7, 9, 0.0
10, 20, 40, 82, 82, 82, 10, 16, 0.0
10, 18, 48, 54, 54, 54, 10, 19, 0.0
10, 25, 95, 114, 114, 120, 10, 15, 0.0
10, 21, 38, 65, 70, 64, 10, 16, 0.0
10, 20, 78, 133, 124, 148, 10, 14, 0.0
15, 55, 93, 238, 276, 249, 15, 20, 0.1
15, 41, 220, 515, 510, 516, 15, 20, 0.1
15, 57, 167, 507, 553, 508, 15, 21, 0.1
15, 55, 398, 916, 956, 916, 15, 18, 0.1
15, 68, 151, 534, 551, 566, 15, 17, 0.1
20, 54, 814, 1332, 1772, 1109, 20, 23, 0.3
20, 68, 1769, 4112, 4627, 3879, 20, 25, 0.8
20, 61, 2381, 3149, 3446, 3091, 20, 29, 0.5
20, 55, 902, 1423, 3468, 1533, 20, 28, 0.6
20, 88, 698, 1818, 4226, 1809, 20, 26, 0.4
25, 120, 7126, 16657, 16195, 17171, 25, 27, 2.1
25, 142, 7991, 18292, 18292, 20235, 25, 27, 2.1
25, 118, 4928, 13431, 10213, 13928, 25, 33, 1.5
25, 118, 6753, 15212, 13599, 19025, 25, 27, 3.3
25, 76, 4757, 5683, 15066, 6728, 25, 33, 2.6
30, 125, 28712, 93390, 120553, 111500, 30, 36, 19.8
30, 105, 19383, 51571, 70765, 50700, 30, 39, 10.9
30, 140, 37324, 76896, 63227, 101920, 30, 32, 13.3
30, 112, 32693, 63841, 74424, 63925, 30, 34, 17.7
30, 136, 39805, 81866, 84844, 82024, 30, 37, 12.2
