Experiment, total_nodes, n, M, L, t_gen, t_BDD_, t_MIP
Set parameter Username
0, 110, 11, 10, 0.77, 0.004, 0.605, 0.155
1, 110, 11, 10, 0.47, 0.014, 3.089, 15.970
2, 36, 6, 6, 0.66, 0.001, 0.184, 0.030
3, 25, 5, 5, 0.59, 0.001, 0.116, 0.009
4, 77, 7, 11, 0.36, 0.013, 4.951, 78.082
5, 49, 7, 7, 0.76, 0.001, 0.234, 0.012
6, 90, 9, 10, 0.23, 0.020, 4.733, 13.510
7, 40, 5, 8, 0.34, 0.005, 0.708, 0.282
8, 110, 10, 11, 0.87, 0.003, 0.417, 0.049
9, 48, 6, 8, 0.19, 0.009, 1.387, 1.230
10, 99, 11, 9, 0.32, 0.014, 3.609, 7.564
11, 63, 9, 7, 0.88, 0.002, 0.272, 0.020
12, 50, 10, 5, 0.14, 0.007, 0.258, 0.161
13, 110, 11, 10, 0.84, 0.003, 0.520, 0.050
14, 70, 10, 7, 0.31, 0.009, 0.781, 0.272
15, 50, 10, 5, 0.63, 0.001, 0.200, 0.025
16, 60, 10, 6, 0.26, 0.008, 0.423, 0.230
17, 88, 8, 11, 0.88, 0.002, 0.329, 0.024
18, 54, 9, 6, 0.29, 0.006, 0.366, 0.145
19, 90, 9, 10, 0.61, 0.007, 1.275, 1.461
20, 80, 8, 10, 0.71, 0.004, 0.670, 0.213
21, 64, 8, 8, 0.83, 0.002, 0.251, 0.016
22, 30, 5, 6, 0.21, 0.005, 0.173, 0.071
23, 48, 6, 8, 0.29, 0.007, 0.796, 0.439
24, 66, 11, 6, 0.48, 0.004, 0.346, 0.168
25, 100, 10, 10, 0.86, 0.003, 0.432, 0.038
26, 55, 11, 5, 0.47, 0.003, 0.219, 0.060
27, 55, 11, 5, 0.87, 0.001, 0.249, 0.012
28, 42, 7, 6, 0.81, 0.001, 0.189, 0.009
29, 88, 8, 11, 0.58, 0.008, 1.872, 4.564
30, 42, 7, 6, 0.80, 0.001, 0.153, 0.015
31, 25, 5, 5, 0.81, 0.001, 0.072, 0.005
32, 81, 9, 9, 0.89, 0.002, 0.350, 0.050
33, 72, 8, 9, 0.21, 0.016, 3.274, 5.040
34, 66, 11, 6, 0.39, 0.006, 0.479, 0.246
35, 80, 8, 10, 0.74, 0.003, 0.433, 0.158
36, 66, 11, 6, 0.20, 0.009, 0.426, 0.399
37, 48, 8, 6, 0.51, 0.003, 0.258, 0.050
38, 45, 5, 9, 0.40, 0.006, 1.336, 1.512
39, 60, 10, 6, 0.38, 0.005, 0.340, 0.264
40, 48, 6, 8, 0.43, 0.004, 0.722, 0.260
41, 56, 7, 8, 0.23, 0.009, 1.754, 0.917
42, 42, 6, 7, 0.68, 0.002, 0.185, 0.065
43, 63, 7, 9, 0.18, 0.015, 2.785, 4.588
44, 80, 10, 8, 0.73, 0.002, 0.368, 0.083
45, 121, 11, 11, 0.66, 0.008, 1.697, 1.551
46, 36, 6, 6, 0.58, 0.002, 0.192, 0.052
47, 60, 6, 10, 0.44, 0.008, 2.168, 3.856
48, 42, 7, 6, 0.20, 0.007, 0.301, 0.073
49, 72, 8, 9, 0.77, 0.002, 0.286, 0.047
50, 42, 6, 7, 0.70, 0.002, 0.199, 0.053
51, 30, 6, 5, 0.18, 0.004, 0.156, 0.053
52, 70, 10, 7, 0.78, 0.002, 0.245, 0.019
53, 99, 9, 11, 0.53, 0.010, 3.347, 9.223
54, 54, 6, 9, 0.61, 0.004, 0.653, 0.150
55, 42, 7, 6, 0.20, 0.006, 0.348, 0.184
56, 60, 10, 6, 0.24, 0.008, 0.384, 0.175
57, 48, 8, 6, 0.66, 0.002, 0.197, 0.038
58, 70, 7, 10, 0.18, 0.019, 4.763, 22.828
59, 63, 7, 9, 0.13, 0.020, 2.558, 2.621
60, 35, 7, 5, 0.34, 0.002, 0.160, 0.071
61, 99, 9, 11, 0.76, 0.004, 0.533, 0.165
62, 54, 9, 6, 0.82, 0.002, 0.244, 0.034
63, 90, 10, 9, 0.20, 0.020, 3.819, 12.288
64, 48, 8, 6, 0.50, 0.003, 0.257, 0.203
65, 88, 11, 8, 0.63, 0.004, 0.600, 0.403
66, 121, 11, 11, 0.22, 0.029, 8.750, 86.002
67, 110, 10, 11, 0.19, 0.035, 9.084, 122.628
68, 25, 5, 5, 0.12, 0.004, 0.134, 0.043
