Experiment, total_nodes, n, M, L, t_gen, t_BDD_, t_MIP, t_MIPvsDD
0, 90, 10, 9, 0.25, 0.016, 4.081, 34.175, 8.4
1, 80, 10, 8, 0.25, 0.013, 1.948, 3.010, 1.5
2, 80, 10, 8, 0.25, 0.013, 2.109, 2.565, 1.2
3, 100, 10, 10, 0.25, 0.023, 5.462, 54.844, 10.0
4, 80, 10, 8, 0.25, 0.013, 1.559, 0.898, 0.6
5, 100, 10, 10, 0.25, 0.022, 5.797, 40.439, 7.0
6, 100, 10, 10, 0.25, 0.022, 6.048, 43.597, 7.2
7, 80, 10, 8, 0.25, 0.016, 2.194, 3.938, 1.8
8, 100, 10, 10, 0.25, 0.022, 6.706, 80.509, 12.0
9, 90, 10, 9, 0.25, 0.017, 3.032, 3.415, 1.1
10, 90, 10, 9, 0.25, 0.017, 3.765, 27.649, 7.3
11, 80, 10, 8, 0.25, 0.013, 1.890, 4.065, 2.2
12, 100, 10, 10, 0.25, 0.023, 6.244, 46.399, 7.4
13, 80, 10, 8, 0.25, 0.013, 1.810, 2.915, 1.6
14, 90, 10, 9, 0.25, 0.016, 2.862, 9.536, 3.3
15, 90, 10, 9, 0.25, 0.016, 3.686, 7.849, 2.1
16, 90, 10, 9, 0.25, 0.017, 2.967, 8.416, 2.8
17, 80, 10, 8, 0.25, 0.013, 2.200, 3.215, 1.5
18, 90, 10, 9, 0.25, 0.017, 3.553, 11.551, 3.3
19, 80, 10, 8, 0.25, 0.012, 2.119, 8.256, 3.9
20, 100, 10, 10, 0.25, 0.021, 5.745, 53.060, 9.2
21, 100, 10, 10, 0.25, 0.020, 5.189, 60.361, 11.6
22, 90, 10, 9, 0.25, 0.017, 3.456, 3.982, 1.2
23, 90, 10, 9, 0.25, 0.017, 3.536, 9.196, 2.6
24, 90, 10, 9, 0.25, 0.017, 3.359, 7.527, 2.2
25, 80, 10, 8, 0.25, 0.012, 1.993, 2.552, 1.3
26, 80, 10, 8, 0.25, 0.014, 1.485, 2.102, 1.4
27, 80, 10, 8, 0.25, 0.013, 1.951, 2.724, 1.4
28, 100, 10, 10, 0.25, 0.020, 5.835, 41.810, 7.2
29, 90, 10, 9, 0.25, 0.017, 3.242, 7.521, 2.3
30, 80, 10, 8, 0.25, 0.013, 1.859, 2.120, 1.1
31, 80, 10, 8, 0.25, 0.013, 1.877, 3.641, 1.9
32, 80, 10, 8, 0.25, 0.012, 2.019, 2.331, 1.2
33, 90, 10, 9, 0.25, 0.019, 3.643, 10.798, 3.0
34, 90, 10, 9, 0.25, 0.019, 4.063, 14.183, 3.5
35, 100, 10, 10, 0.25, 0.022, 6.191, 101.121, 16.3
36, 80, 10, 8, 0.25, 0.013, 2.053, 3.575, 1.7
37, 80, 10, 8, 0.25, 0.014, 2.126, 3.513, 1.7
38, 80, 10, 8, 0.25, 0.014, 1.832, 3.487, 1.9
39, 100, 10, 10, 0.25, 0.025, 4.947, 22.624, 4.6
40, 90, 10, 9, 0.25, 0.016, 3.452, 18.169, 5.3
41, 80, 10, 8, 0.25, 0.013, 2.175, 2.044, 0.9
42, 100, 10, 10, 0.25, 0.021, 5.938, 37.638, 6.3
43, 100, 10, 10, 0.25, 0.024, 5.910, 42.593, 7.2
44, 90, 10, 9, 0.25, 0.016, 3.700, 13.634, 3.7
45, 80, 10, 8, 0.25, 0.014, 1.847, 2.447, 1.3
46, 80, 10, 8, 0.25, 0.014, 1.591, 1.967, 1.2
47, 80, 10, 8, 0.25, 0.013, 1.968, 2.850, 1.4
48, 100, 10, 10, 0.25, 0.021, 5.837, 52.953, 9.1
49, 90, 10, 9, 0.25, 0.017, 2.785, 3.730, 1.3
50, 90, 10, 9, 0.25, 0.017, 3.640, 10.699, 2.9
51, 100, 10, 10, 0.25, 0.021, 5.788, 47.338, 8.2
52, 80, 10, 8, 0.25, 0.012, 2.214, 2.982, 1.3
53, 90, 10, 9, 0.25, 0.017, 3.319, 4.688, 1.4
54, 100, 10, 10, 0.25, 0.024, 5.429, 20.835, 3.8
55, 80, 10, 8, 0.25, 0.012, 1.499, 1.508, 1.0
56, 100, 10, 10, 0.25, 0.021, 6.625, 60.056, 9.1
57, 80, 10, 8, 0.25, 0.013, 1.735, 2.892, 1.7
58, 90, 10, 9, 0.25, 0.015, 3.651, 15.471, 4.2
59, 80, 10, 8, 0.25, 0.012, 1.539, 2.389, 1.6
60, 90, 10, 9, 0.25, 0.018, 3.408, 3.755, 1.1
61, 100, 10, 10, 0.25, 0.021, 6.032, 50.531, 8.4
62, 100, 10, 10, 0.25, 0.020, 5.833, 53.933, 9.2
63, 100, 10, 10, 0.25, 0.021, 5.436, 36.446, 6.7
64, 90, 10, 9, 0.25, 0.016, 4.256, 15.776, 3.7
65, 80, 10, 8, 0.25, 0.013, 1.417, 2.184, 1.5
66, 100, 10, 10, 0.25, 0.020, 5.906, 62.641, 10.6
67, 100, 10, 10, 0.25, 0.020, 6.263, 125.426, 20.0
68, 100, 10, 10, 0.25, 0.022, 6.113, 37.459, 6.1
69, 90, 10, 9, 0.25, 0.018, 3.311, 6.877, 2.1
70, 100, 10, 10, 0.25, 0.023, 5.076, 45.765, 9.0
71, 90, 10, 9, 0.25, 0.016, 3.107, 3.787, 1.2
