exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, t_novsA, tTDD, size_int_VS, sim_C_VS, size_int_toC, sim_C_toC
1, 10, 10, 0.45, 3, 3, 1, -129.40, -125.71, 0.13, 5.18, 15399, 0.81, 13179, 1.00
2, 10, 10, 0.45, 3, 3, 1, -107.48, -80.08, 0.09, 5.70, 7681, 0.78, 6841, 1.00
3, 10, 10, 0.45, 3, 3, 2, -87.77, -83.46, 0.20, 4.89, 9534, 0.79, 11915, 1.00
4, 10, 10, 0.45, 3, 3, 1, -86.26, -82.37, 0.41, 9.65, 16131, 0.82, 34471, 1.00
5, 10, 10, 0.45, 3, 3, 1, -121.73, -118.05, 0.06, 3.58, 3384, 0.88, 3798, 1.00
6, 10, 10, 0.45, 3, 3, 1, -107.73, -98.10, 0.15, 6.45, 17182, 0.78, 17798, 1.00
7, 10, 10, 0.45, 3, 3, 1, -99.72, -88.86, 0.23, 6.82, 7455, 0.71, 15818, 1.00
8, 10, 10, 0.45, 3, 3, 2, -114.45, -103.00, 0.10, 6.81, 2992, 0.76, 8941, 1.00
9, 10, 10, 0.45, 3, 3, 1, -131.44, -130.21, 0.12, 5.00, 11275, 0.73, 10593, 1.00
10, 10, 10, 0.45, 3, 3, 1, -101.50, -97.85, 0.03, 3.96, 2894, 0.70, 1364, 1.00
11, 10, 10, 0.45, 3, 3, 1, -115.63, -111.11, 0.14, 4.49, 6969, 0.83, 6279, 1.00
12, 10, 10, 0.45, 3, 3, 2, -102.57, -96.92, 0.14, 7.05, 8810, 0.79, 14451, 1.00
13, 10, 10, 0.45, 3, 3, 2, -146.60, -145.18, 0.07, 4.59, 7691, 0.87, 6861, 1.00
14, 10, 10, 0.45, 3, 3, 1, -136.70, -134.63, 0.18, 4.83, 12388, 0.89, 8783, 1.00
15, 10, 10, 0.45, 3, 3, 1, -148.00, -141.15, 0.10, 4.45, 8871, 0.89, 6837, 1.00
16, 10, 10, 0.45, 3, 3, 1, -107.41, -103.95, 0.06, 6.08, 4446, 0.76, 6153, 1.00
17, 10, 10, 0.45, 3, 3, 1, -105.00, -95.18, 0.03, 4.82, 2885, 0.91, 1556, 1.00
18, 10, 10, 0.45, 3, 3, 1, -113.97, -107.92, 0.30, 14.94, 40750, 0.63, 17665, 1.00
19, 10, 10, 0.45, 3, 3, 1, -111.36, -109.97, 0.23, 6.94, 2987, 0.63, 8664, 1.00
20, 10, 10, 0.45, 3, 3, 1, -113.21, -104.32, 0.09, 5.57, 6140, 0.77, 5717, 1.00
21, 10, 10, 0.45, 3, 3, 1, -114.21, -107.99, 0.04, 3.73, 2859, 0.85, 1791, 1.00
22, 10, 10, 0.45, 3, 3, 1, -83.53, -63.25, 0.23, 7.96, 2601, 0.79, 12408, 1.00
23, 10, 10, 0.45, 3, 3, 1, -103.45, -102.26, 0.08, 5.32, 3640, 0.85, 5213, 1.00
24, 10, 10, 0.45, 3, 3, 1, -69.56, -64.95, 0.18, 8.80, 15727, 0.80, 15437, 1.00
25, 10, 10, 0.45, 3, 3, 1, -104.36, -94.50, 0.09, 5.28, 9858, 0.79, 5943, 1.00
26, 10, 10, 0.45, 3, 3, 2, -104.40, -97.15, 0.16, 5.69, 7584, 0.86, 7731, 1.00
27, 10, 10, 0.45, 3, 3, 1, -103.90, -89.39, 0.49, 11.72, 6871, 0.65, 35183, 1.00
28, 10, 10, 0.45, 3, 3, 1, -79.78, -78.28, 0.19, 7.15, 7694, 0.79, 14919, 1.00
29, 10, 10, 0.45, 3, 3, 1, -76.77, -57.43, 0.26, 5.99, 18543, 0.84, 17058, 1.00
30, 10, 10, 0.45, 3, 3, 1, -99.17, -90.49, 0.05, 3.98, 3779, 0.78, 3806, 1.00
31, 10, 10, 0.45, 3, 3, 1, -109.23, -96.82, 0.20, 5.57, 7433, 0.79, 12667, 1.00
32, 10, 10, 0.45, 3, 3, 1, -126.76, -125.72, 0.07, 4.10, 2021, 0.76, 3253, 1.00
33, 10, 10, 0.45, 3, 3, 1, -114.19, -108.21, 0.19, 4.76, 9457, 0.76, 12503, 1.00
34, 10, 10, 0.45, 3, 3, 2, -123.41, -107.31, 0.11, 4.30, 5765, 0.88, 3714, 1.00
35, 10, 10, 0.45, 3, 3, 1, -145.42, -135.64, 0.14, 8.29, 6850, 0.68, 13211, 1.00
36, 10, 10, 0.45, 3, 3, 1, -86.52, -80.36, 0.16, 6.49, 4721, 0.77, 12891, 1.00
37, 10, 10, 0.45, 3, 3, 1, -74.28, -69.11, 0.08, 5.18, 5698, 0.70, 7120, 1.00
38, 10, 10, 0.45, 3, 3, 1, -103.21, -96.00, 0.39, 8.38, 27877, 0.84, 29700, 1.00
39, 10, 10, 0.45, 3, 3, 1, -121.36, -118.90, 0.06, 4.26, 3663, 0.73, 3203, 1.00
40, 10, 10, 0.45, 3, 3, 2, -119.99, -114.66, 0.07, 3.31, 4117, 0.79, 6592, 1.00
41, 10, 10, 0.45, 3, 3, 1, -112.22, -104.37, 0.21, 6.91, 7007, 0.84, 11762, 1.00
