t_toA, intsize_toA, t_VS, intsize_VS
0.87, 9023,0.28, 9339
0.21, 2735,0.25, 657
0.47, 4639,0.22, 4991
0.18, 1217,0.16, 2315
2.84, 9395,0.69, 43525
0.41, 4808,0.13, 3119
0.30, 3475,0.25, 2243
0.44, 2054,0.35, 10408
0.38, 3707,0.29, 4943
0.89, 10666,0.15, 1363
0.92, 14199,0.12, 3791
0.27, 2270,0.21, 1055
0.09, 2115,0.13, 723
0.37, 6877,0.22, 3239
1.40, 3922,0.25, 9955
0.72, 11835,0.29, 2928
0.97, 14041,0.18, 1655
1.20, 14415,0.31, 10511
0.47, 5647,0.11, 1863
0.75, 11647,0.25, 11199
0.58, 8545,0.13, 2591
0.76, 10927,0.26, 5303
1.34, 14439,0.33, 6959
0.56, 9071,0.27, 3311
0.29, 4321,0.23, 2897
1.26, 2860,0.27, 7587
0.19, 3043,0.18, 2043
0.74, 14463,0.29, 7159
0.18, 1663,0.13, 2015
1.36, 10860,0.35, 17247
0.62, 11239,0.39, 9967
0.86, 4853,0.25, 3201
0.19, 3747,0.09, 2329
0.72, 10411,0.17, 2831
0.24, 3567,0.21, 3039
0.06, 1414,0.23, 298
0.48, 8645,0.19, 3285
0.43, 7696,0.47, 2220
0.11, 1543,0.14, 883
0.36, 4908,0.30, 5826
1.14, 7727,0.37, 7804
1.23, 18971,0.30, 4325
0.19, 3263,0.18, 2711
0.65, 5855,0.18, 4287
0.42, 5721,0.19, 5115
1.71, 7227,0.39, 19251
0.82, 2209,0.47, 28991
0.18, 2483,0.15, 1975
0.92, 10641,0.56, 28053
0.41, 3539,0.23, 5311
0.42, 8535,0.12, 3175
0.14, 2839,0.23, 2844
1.31, 16247,0.22, 6751
0.18, 4143,0.17, 1971
1.85, 22511,0.26, 5550
0.52, 8479,0.25, 2719
1.20, 6903,0.30, 12063
0.65, 4341,0.32, 12891
1.46, 17944,0.31, 8202
0.97, 6051,0.21, 10323
0.44, 7231,0.28, 3128
0.11, 2927,0.08, 687
0.51, 5675,0.26, 1167
0.76, 10879,0.22, 7103
0.32, 4227,0.20, 2143
0.60, 7811,0.37, 3999
0.92, 14167,0.21, 5575
0.22, 2944,0.37, 3135
0.17, 1577,0.24, 2363
0.26, 6119,0.30, 4903
1.30, 9131,0.27, 5103
0.17, 1337,0.17, 3488
0.58, 5334,0.18, 5298
0.30, 4591,0.34, 2179
0.18, 2825,0.37, 1469
0.23, 2166,0.25, 1491
2.23, 5903,0.42, 12671
0.81, 9261,0.27, 4783
0.84, 6735,0.33, 4253
0.36, 3932,0.24, 2676
2.80, 11851,0.48, 14911
1.63, 20270,0.46, 3129
2.52, 16447,0.34, 21439
0.84, 11139,0.29, 5483
0.51, 12935,0.33, 2755
0.26, 1761,0.15, 2426
0.92, 8575,0.28, 11727
0.88, 12067,0.27, 7101
0.25, 4311,0.14, 1845
0.15, 2225,0.14, 793
0.98, 10991,0.30, 5879
1.74, 10847,0.36, 10935
1.18, 9525,0.26, 9996
1.20, 3919,0.85, 44399
0.89, 19152,0.38, 4833
1.01, 25079,0.32, 5263
0.45, 2483,0.24, 10067
0.19, 3845,0.16, 1793
0.62, 8175,0.31, 18235
1.20, 17535,0.36, 7727
1.66, 22255,0.51, 26511
0.18, 2672,0.23, 2860
0.59, 8393,0.41, 1575
0.20, 2551,0.18, 4583
0.17, 3207,0.14, 1506
1.03, 14063,0.27, 4763
0.72, 11303,0.16, 3647
0.61, 6536,0.52, 3055
1.07, 10193,0.28, 7401
0.41, 4455,0.29, 7747
1.26, 15955,0.26, 4372
4.13, 33791,0.61, 35940
0.30, 6665,0.21, 2115
0.29, 3303,0.17, 4409
0.78, 3608,0.31, 12286
0.33, 3251,0.23, 2743
1.00, 6427,0.16, 2787
1.43, 10445,0.56, 30343
0.42, 5499,0.20, 4415
0.85, 5183,0.66, 31711
0.84, 2095,0.18, 3719
0.47, 4183,0.34, 2015
0.98, 8175,0.20, 9615
1.25, 15687,0.30, 10303
0.79, 4662,0.32, 6599
0.38, 4095,0.21, 7007
0.79, 7375,0.32, 8443
0.21, 1423,0.14, 2877
0.44, 8127,0.30, 2791
0.14, 2631,0.21, 2535
0.08, 2059,0.23, 651
