exp_num, n, M, L, K_types, kmax, gen_iters, objU, objT, tUMIP, tUDD, tTMIP, tTDD
1, 7, 10, 0.45, 3, 3, 2, -63.19, -49.92, 2.63, 2.53, 14.31, 2.56
2, 7, 10, 0.45, 3, 3, 2, -51.11, -45.10, 3.49, 2.81, 3.98, 2.62
3, 7, 10, 0.45, 3, 3, 5, -84.04, -82.94, 13.25, 2.17, 12.92, 2.29
4, 7, 10, 0.45, 3, 3, 2, -73.32, -65.31, 3.10, 2.66, 4.70, 2.62
5, 7, 10, 0.45, 3, 3, 1, -67.71, -65.25, 2.99, 1.86, 6.59, 2.04
6, 7, 10, 0.45, 3, 3, 1, -76.08, -74.12, 5.35, 2.26, 9.23, 2.30
7, 7, 10, 0.45, 3, 3, 1, -78.68, -70.37, 4.09, 1.98, 7.14, 1.99
8, 7, 10, 0.45, 3, 3, 2, -76.20, -71.86, 5.11, 2.33, 7.43, 2.34
9, 7, 10, 0.45, 3, 3, 3, -63.32, -62.24, 9.94, 2.12, 6.33, 2.12
10, 7, 10, 0.45, 3, 3, 3, -65.64, -54.85, 1.83, 2.22, 3.58, 2.23
11, 7, 10, 0.45, 3, 3, 4, -95.99, -88.81, 0.54, 1.97, 1.40, 2.01
12, 7, 10, 0.45, 3, 3, 2, -82.12, -73.88, 2.79, 2.25, 4.30, 2.26
13, 7, 10, 0.45, 3, 3, 3, -78.03, -59.49, 6.69, 3.03, 18.50, 3.03
14, 7, 10, 0.45, 3, 3, 1, -68.91, -65.66, 9.80, 2.75, 12.04, 2.79
15, 7, 10, 0.45, 3, 3, 1, -64.87, -62.60, 15.26, 2.66, 21.94, 2.70
16, 7, 10, 0.45, 3, 3, 1, -49.66, -45.40, 4.49, 2.64, 7.95, 2.65
17, 7, 10, 0.45, 3, 3, 1, -107.32, -85.56, 3.32, 1.92, 24.71, 1.94
18, 7, 10, 0.45, 3, 3, 1, -103.32, -97.97, 2.58, 2.12, 2.90, 2.12
19, 7, 10, 0.45, 3, 3, 3, -94.18, -84.80, 2.01, 2.35, 4.48, 2.36
20, 7, 10, 0.45, 3, 3, 1, -61.17, -57.60, 6.25, 2.46, 7.48, 2.47
21, 7, 10, 0.45, 3, 3, 4, -85.54, -74.99, 2.59, 2.11, 3.06, 2.16
22, 7, 10, 0.45, 3, 3, 1, -90.17, -83.16, 0.83, 1.63, 2.88, 1.65
23, 7, 10, 0.45, 3, 3, 1, -82.30, -79.00, 10.43, 2.45, 10.86, 2.47
24, 7, 10, 0.45, 3, 3, 1, -79.13, -77.25, 1.97, 2.10, 1.93, 2.12
25, 7, 10, 0.45, 3, 3, 1, -53.13, -52.09, 6.27, 2.26, 3.84, 2.26
26, 7, 10, 0.45, 3, 3, 1, -76.33, -74.21, 7.94, 2.12, 7.04, 2.12
27, 7, 10, 0.45, 3, 3, 3, -80.94, -70.54, 4.02, 2.18, 13.13, 2.17
28, 7, 10, 0.45, 3, 3, 1, -105.40, -99.17, 1.87, 2.26, 3.65, 2.26
29, 7, 10, 0.45, 3, 3, 3, -83.80, -80.71, 3.61, 2.51, 6.22, 2.47
30, 7, 10, 0.45, 3, 3, 1, -84.01, -74.70, 3.47, 2.08, 7.13, 2.04
31, 7, 10, 0.45, 3, 3, 2, -90.96, -89.23, 6.86, 2.80, 5.81, 2.67
32, 7, 10, 0.45, 3, 3, 1, -82.56, -77.01, 2.82, 2.00, 2.86, 2.01
33, 7, 10, 0.45, 3, 3, 3, -101.81, -86.76, 1.81, 2.56, 12.41, 2.48
34, 7, 10, 0.45, 3, 3, 1, -93.27, -88.23, 3.71, 2.27, 3.80, 2.28
35, 7, 10, 0.45, 3, 3, 1, -44.86, -42.35, 8.24, 2.73, 7.46, 2.65
36, 7, 10, 0.45, 3, 3, 2, -87.05, -76.32, 4.63, 2.51, 13.81, 3.12
37, 7, 10, 0.45, 3, 3, 4, -119.15, -116.86, 4.13, 3.45, 5.22, 4.55
38, 7, 10, 0.45, 3, 3, 1, -81.90, -80.42, 13.81, 3.93, 20.50, 6.98
39, 7, 10, 0.45, 3, 3, 1, -62.91, -59.82, 13.72, 6.32, 9.23, 2.72
40, 7, 10, 0.45, 3, 3, 1, -107.26, -103.33, 4.29, 3.77, 4.15, 2.50
41, 7, 10, 0.45, 3, 3, 1, -62.41, -60.66, 22.46, 2.77, 19.63, 4.21
42, 7, 10, 0.45, 3, 3, 1, -65.39, -57.87, 9.12, 2.62, 9.41, 3.02
43, 7, 10, 0.45, 3, 3, 1, -57.17, -53.27, 8.00, 3.33, 5.93, 4.65
44, 7, 10, 0.45, 3, 3, 1, -77.56, -73.13, 7.13, 4.66, 4.47, 2.81
45, 7, 10, 0.45, 3, 3, 2, -78.13, -71.24, 7.91, 2.95, 20.42, 2.89
46, 7, 10, 0.45, 3, 3, 1, -40.41, -37.44, 45.83, 2.90, 21.37, 3.21
47, 7, 10, 0.45, 3, 3, 1, -96.53, -92.17, 8.02, 2.99, 9.62, 3.33
48, 7, 10, 0.45, 3, 3, 1, -90.89, -82.33, 4.82, 2.54, 5.26, 2.58
