n, A_size, C_size, int_size, int_size_A2C, plain_MIP_vars, exp_time
3, 40, 28, 235, 635, 39, 0.2
3, 22, 13, 54, 47, 27, 0.0
3, 43, 30, 291, 1109, 41, 0.2
3, 25, 16, 81, 73, 29, 0.0
3, 28, 17, 81, 87, 31, 0.0
3, 25, 15, 58, 62, 29, 0.0
3, 22, 13, 53, 54, 27, 0.0
3, 28, 18, 91, 93, 31, 0.1
3, 19, 11, 34, 32, 25, 0.0
3, 37, 25, 155, 313, 37, 0.1
3, 31, 19, 116, 157, 33, 0.1
3, 12, 6, 15, 12, 21, 0.0
3, 31, 21, 97, 128, 33, 0.1
3, 40, 28, 179, 364, 39, 0.1
3, 40, 28, 199, 595, 39, 0.2
4, 69, 55, 771, 5771, 62, 3.0
4, 54, 42, 489, 1294, 52, 0.8
4, 60, 46, 587, 3794, 56, 1.6
4, 66, 51, 679, 5249, 60, 2.4
4, 78, 67, 1235, 19894, 68, 7.7
4, 45, 30, 321, 726, 46, 0.3
4, 39, 23, 275, 429, 42, 0.1
4, 63, 48, 955, 9558, 58, 2.9
4, 48, 35, 405, 724, 48, 0.7
4, 57, 44, 492, 1823, 54, 1.2
4, 63, 46, 701, 2281, 58, 1.3
4, 51, 36, 364, 619, 50, 0.6
4, 69, 56, 876, 9757, 62, 3.4
4, 60, 46, 571, 4867, 56, 1.9
4, 66, 50, 822, 6714, 60, 2.5
5, 95, 80, 2864, 87632, 83, 36.6
5, 65, 52, 1291, 3265, 63, 2.1
5, 80, 67, 1490, 34119, 73, 12.1
5, 89, 75, 1751, 31072, 79, 11.9
5, 86, 80, 1795, 13028, 77, 7.3
5, 98, 88, 2288, 34079, 85, 29.3
5, 83, 70, 1280, 11420, 75, 5.6
5, 122, 119, 8248, 2173178, 101, 705.0
5, 86, 74, 2171, 25904, 77, 17.1
5, 83, 66, 2008, 29679, 75, 8.8
5, 62, 45, 771, 1797, 61, 1.2
5, 89, 71, 2939, 119973, 79, 41.9
5, 71, 56, 1009, 5213, 67, 4.5
5, 95, 83, 2662, 68535, 83, 26.6
5, 104, 98, 3145, 80868, 89, 53.5
6, 121, 118, 7368, 365320, 104, 181.8
6, 127, 123, 10444, 1553030, 108, 707.6
6, 106, 92, 4952, 108751, 94, 56.4
6, 121, 118, 13177, 516265, 104, 247.3
6, 115, 107, 6451, 217107, 100, 106.6
6, 97, 93, 2983, 47030, 88, 31.0
6, 118, 114, 7612, 624393, 102, 228.7
6, 124, 117, 8558, 549497, 106, 255.0
6, 109, 100, 5087, 43112, 96, 35.2
6, 109, 101, 11694, 263555, 96, 171.4
6, 118, 111, 9249, 146512, 102, 136.2
6, 133, 138, 9823, 1792513, 112, 832.7
6, 115, 112, 6133, 165989, 100, 96.8
6, 94, 81, 2520, 24522, 86, 17.4
6, 100, 97, 4109, 56853, 90, 36.7
