experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
1, 5, 31, 9, 14, 0.00, 0.01
2, 5, 27, 16, 20, 0.00, 0.01
3, 5, 31, 6, 12, 0.00, 0.01
4, 5, 27, 8, 16, 0.00, 0.01
5, 5, 31, 13, 16, 0.00, 0.01
6, 6, 63, 10, 16, 0.00, 0.01
7, 6, 63, 55, 26, 0.00, 0.02
8, 6, 63, 20, 20, 0.00, 0.01
9, 6, 63, 14, 18, 0.00, 0.01
10, 6, 51, 8, 16, 0.00, 0.01
11, 7, 127, 67, 30, 0.01, 0.03
12, 7, 127, 8, 16, 0.00, 0.02
13, 7, 127, 26, 26, 0.00, 0.02
14, 7, 103, 9, 18, 0.00, 0.02
15, 7, 127, 31, 24, 0.00, 0.02
16, 8, 255, 52, 30, 0.00, 0.06
17, 8, 255, 20, 24, 0.00, 0.08
18, 8, 223, 35, 34, 0.02, 0.04
19, 8, 255, 44, 36, 0.01, 0.04
20, 8, 255, 58, 30, 0.00, 0.04
21, 9, 487, 29, 30, 0.00, 0.07
22, 9, 511, 70, 36, 0.00, 0.11
23, 9, 447, 41, 36, 0.01, 0.08
24, 9, 511, 40, 36, 0.01, 0.07
25, 9, 511, 65, 36, 0.00, 0.14
26, 10, 1023, 128, 46, 0.03, 0.18
27, 10, 1023, 44, 40, 0.00, 0.20
28, 10, 1023, 63, 42, 0.01, 0.15
29, 10, 1023, 356, 46, 0.01, 0.19
30, 10, 1023, 26, 32, 0.00, 0.15
31, 11, 2047, 287, 56, 0.01, 0.34
32, 11, 2047, 150, 44, 0.01, 0.32
33, 11, 2047, 113, 46, 0.01, 0.31
34, 11, 991, 131, 54, 0.01, 0.19
35, 11, 2047, 39, 38, 0.00, 0.29
36, 12, 4095, 77, 48, 0.00, 0.61
37, 12, 3072, 153, 58, 0.02, 0.48
38, 12, 4095, 1353, 70, 0.13, 0.81
39, 12, 4095, 140, 48, 0.01, 0.61
40, 12, 4095, 376, 50, 0.02, 0.65
41, 13, 8191, 569, 60, 0.01, 1.37
42, 13, 8191, 486, 60, 0.01, 1.31
43, 13, 8191, 312, 62, 0.03, 1.30
44, 13, 8191, 381, 56, 0.01, 1.34
45, 13, 8191, 530, 66, 0.01, 1.28
46, 14, 16383, 3725, 74, 0.06, 3.04
47, 14, 16383, 686, 64, 0.05, 2.65
48, 14, 16383, 436, 64, 0.01, 2.64
49, 14, 16383, 1467, 74, 0.03, 2.80
50, 14, 16383, 1822, 80, 0.08, 2.83
51, 15, 32767, 4917, 88, 0.12, 5.92
52, 15, 32767, 4445, 78, 0.08, 5.91
53, 15, 32767, 2140, 86, 0.07, 5.59
54, 15, 32767, 944, 76, 0.05, 5.44
55, 15, 32767, 4088, 94, 0.10, 5.72
56, 16, 65535, 2896, 88, 0.09, 10.68
57, 16, 65535, 4057, 90, 0.13, 10.79
58, 16, 65535, 2051, 88, 0.08, 11.13
59, 16, 65535, 245, 74, 0.02, 10.56
60, 16, 65535, 17701, 92, 0.10, 13.56
61, 17, 131071, 60505, 120, 0.17, 35.87
62, 17, 131071, 7144, 98, 0.24, 18.35
63, 17, 131071, 22969, 110, 0.13, 13.53
64, 17, 131071, 2658, 94, 0.09, 11.07
65, 17, 131071, 8016, 94, 0.08, 11.75
66, 18, 262143, 10972, 98, 0.08, 23.41
67, 18, 262143, 27456, 116, 0.10, 27.05
68, 18, 262143, 28949, 118, 0.16, 26.50
69, 18, 262143, 66184, 114, 0.20, 32.24
70, 18, 262143, 20631, 120, 0.29, 25.33
71, 19, 524287, 122968, 144, 0.21, 86.54
72, 19, 524287, 29196, 120, 0.25, 51.59
73, 19, 524287, 92757, 128, 0.18, 61.48
74, 19, 524287, 59826, 136, 0.25, 55.52
75, 19, 524287, 10986, 106, 0.17, 47.63
76, 20, 1048575, 117085, 138, 0.17, 124.31
77, 20, 1048575, 123593, 148, 0.45, 134.09
78, 20, 1048575, 55739, 126, 0.33, 105.96
79, 20, 1048575, 19318, 130, 0.21, 94.85
80, 20, 1048575, 67338, 132, 0.17, 102.27
