experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
Set parameter Username
1, 5, 7, 7, 10, 0.02, 0.00
2, 6, 7, 7, 10, 0.00, 0.00
3, 7, 63, 33, 22, 0.00, 0.01
4, 8, 15, 14, 14, 0.00, 0.00
5, 9, 15, 13, 14, 0.00, 0.00
6, 10, 31, 21, 18, 0.00, 0.01
7, 11, 511, 54, 34, 0.00, 0.07
8, 12, 255, 48, 30, 0.00, 0.07
9, 13, 255, 39, 30, 0.01, 0.09
10, 14, 31, 22, 18, 0.00, 0.01
11, 15, 1023, 61, 38, 0.00, 0.29
12, 16, 1023, 57, 38, 0.00, 0.25
13, 17, 511, 51, 34, 0.00, 0.13
14, 18, 63, 22, 22, 0.00, 0.01
15, 19, 4095, 86, 46, 0.02, 0.77
16, 20, 65535, 80, 62, 0.00, 10.60
17, 21, 16383, 88, 54, 0.00, 2.49
18, 22, 65535, 102, 62, 0.01, 10.25
19, 23, 131071, 92, 66, 0.01, 21.05
20, 24, 1048575, 135, 78, 0.01, 94.64
21, 25, 262143, 107, 70, 0.00, 22.56
