instance,n,prob,num_type,value
1-0,20,0.3,orig_minAB_obj,3285
1-0,20,0.3,orig_simpl_obj,2880
1-1,20,0.3,orig_minAB_obj,2735
1-1,20,0.3,orig_simpl_obj,3301
1-2,20,0.3,orig_minAB_obj,1874
1-2,20,0.3,orig_simpl_obj,1677
1-3,20,0.3,orig_minAB_obj,2591
1-3,20,0.3,orig_simpl_obj,2365
1-4,20,0.3,orig_minAB_obj,2239
1-4,20,0.3,orig_simpl_obj,2468
1-5,20,0.3,orig_minAB_obj,1935
1-5,20,0.3,orig_simpl_obj,1884
1-6,20,0.3,orig_minAB_obj,3636
1-6,20,0.3,orig_simpl_obj,3786
1-7,20,0.3,orig_minAB_obj,2605
1-7,20,0.3,orig_simpl_obj,2156
1-8,20,0.3,orig_minAB_obj,2302
1-8,20,0.3,orig_simpl_obj,2636
1-9,20,0.3,orig_minAB_obj,2785
1-9,20,0.3,orig_simpl_obj,3040
1-10,20,0.3,orig_minAB_obj,3090
1-10,20,0.3,orig_simpl_obj,3717
1-11,20,0.3,orig_minAB_obj,2909
1-11,20,0.3,orig_simpl_obj,3056
1-12,20,0.3,orig_minAB_obj,1522
1-12,20,0.3,orig_simpl_obj,1674
1-13,20,0.3,orig_minAB_obj,3585
1-13,20,0.3,orig_simpl_obj,4549
1-14,20,0.3,orig_minAB_obj,3470
1-14,20,0.3,orig_simpl_obj,3520
1-15,20,0.3,orig_minAB_obj,2594
1-15,20,0.3,orig_simpl_obj,2642
1-16,20,0.3,orig_minAB_obj,2870
1-16,20,0.3,orig_simpl_obj,2825
1-17,20,0.3,orig_minAB_obj,3422
1-17,20,0.3,orig_simpl_obj,3991
1-18,20,0.3,orig_minAB_obj,3183
1-18,20,0.3,orig_simpl_obj,3407
1-19,20,0.3,orig_minAB_obj,3076
1-19,20,0.3,orig_simpl_obj,3492
1-20,20,0.3,orig_minAB_obj,3326
1-20,20,0.3,orig_simpl_obj,3174
1-21,20,0.3,orig_minAB_obj,2523
1-21,20,0.3,orig_simpl_obj,3108
1-22,20,0.3,orig_minAB_obj,2448
1-22,20,0.3,orig_simpl_obj,3558
1-23,20,0.3,orig_minAB_obj,2262
1-23,20,0.3,orig_simpl_obj,3150
1-24,20,0.3,orig_minAB_obj,2729
1-24,20,0.3,orig_simpl_obj,2717
1-25,20,0.3,orig_minAB_obj,3276
1-25,20,0.3,orig_simpl_obj,3211
1-26,20,0.3,orig_minAB_obj,1752
1-26,20,0.3,orig_simpl_obj,1673
1-27,20,0.3,orig_minAB_obj,2350
1-27,20,0.3,orig_simpl_obj,2408
1-28,20,0.3,orig_minAB_obj,1620
1-28,20,0.3,orig_simpl_obj,1789
1-29,20,0.3,orig_minAB_obj,3353
1-29,20,0.3,orig_simpl_obj,3373
1-30,20,0.3,orig_minAB_obj,3421
1-30,20,0.3,orig_simpl_obj,4132
1-31,20,0.3,orig_minAB_obj,3765
1-31,20,0.3,orig_simpl_obj,3329
10-0,20,0.3,orig_minAB_obj,2081
10-0,20,0.3,orig_simpl_obj,2020
10-1,20,0.3,orig_minAB_obj,3094
10-1,20,0.3,orig_simpl_obj,3422
10-2,20,0.3,orig_minAB_obj,2794
10-2,20,0.3,orig_simpl_obj,2767
10-3,20,0.3,orig_minAB_obj,3503
10-3,20,0.3,orig_simpl_obj,3445
10-4,20,0.3,orig_minAB_obj,1890
10-4,20,0.3,orig_simpl_obj,1792
10-5,20,0.3,orig_minAB_obj,3148
10-5,20,0.3,orig_simpl_obj,3477
10-6,20,0.3,orig_minAB_obj,2334
10-6,20,0.3,orig_simpl_obj,2790
10-7,20,0.3,orig_minAB_obj,2635
10-7,20,0.3,orig_simpl_obj,3078
10-8,20,0.3,orig_minAB_obj,1844
10-8,20,0.3,orig_simpl_obj,1451
10-9,20,0.3,orig_minAB_obj,3045
10-9,20,0.3,orig_simpl_obj,3179
10-10,20,0.3,orig_minAB_obj,1952
10-10,20,0.3,orig_simpl_obj,2438
10-11,20,0.3,orig_minAB_obj,3219
10-11,20,0.3,orig_simpl_obj,3255
10-12,20,0.3,orig_minAB_obj,1712
10-12,20,0.3,orig_simpl_obj,1957
10-13,20,0.3,orig_minAB_obj,2799
10-13,20,0.3,orig_simpl_obj,3034
10-14,20,0.3,orig_minAB_obj,3164
10-14,20,0.3,orig_simpl_obj,3508
10-15,20,0.3,orig_minAB_obj,3058
10-15,20,0.3,orig_simpl_obj,3548
10-16,20,0.3,orig_minAB_obj,3564
10-16,20,0.3,orig_simpl_obj,3861
10-17,20,0.3,orig_minAB_obj,1934
10-17,20,0.3,orig_simpl_obj,2242
10-18,20,0.3,orig_minAB_obj,2692
10-18,20,0.3,orig_simpl_obj,3062
10-19,20,0.3,orig_minAB_obj,2493
10-19,20,0.3,orig_simpl_obj,2441
10-20,20,0.3,orig_minAB_obj,2334
10-20,20,0.3,orig_simpl_obj,2977
10-21,20,0.3,orig_minAB_obj,3453
10-21,20,0.3,orig_simpl_obj,4418
10-22,20,0.3,orig_minAB_obj,2470
10-22,20,0.3,orig_simpl_obj,2707
10-23,20,0.3,orig_minAB_obj,2159
10-23,20,0.3,orig_simpl_obj,2084
10-24,20,0.3,orig_minAB_obj,1698
10-24,20,0.3,orig_simpl_obj,2586
10-25,20,0.3,orig_minAB_obj,2567
10-25,20,0.3,orig_simpl_obj,2415
10-26,20,0.3,orig_minAB_obj,3391
10-26,20,0.3,orig_simpl_obj,4242
10-27,20,0.3,orig_minAB_obj,5155
10-27,20,0.3,orig_simpl_obj,4503
10-28,20,0.3,orig_minAB_obj,2007
10-28,20,0.3,orig_simpl_obj,2092
10-29,20,0.3,orig_minAB_obj,2946
10-29,20,0.3,orig_simpl_obj,3484
10-30,20,0.3,orig_minAB_obj,2653
10-30,20,0.3,orig_simpl_obj,3034
10-31,20,0.3,orig_minAB_obj,2552
10-31,20,0.3,orig_simpl_obj,3157
11-0,20,0.3,orig_minAB_obj,2005
11-0,20,0.3,orig_simpl_obj,1672
11-1,20,0.3,orig_minAB_obj,2304
11-1,20,0.3,orig_simpl_obj,2695
11-2,20,0.3,orig_minAB_obj,2335
11-2,20,0.3,orig_simpl_obj,2188
11-3,20,0.3,orig_minAB_obj,2815
11-3,20,0.3,orig_simpl_obj,3095
11-4,20,0.3,orig_minAB_obj,2760
11-4,20,0.3,orig_simpl_obj,2803
11-5,20,0.3,orig_minAB_obj,1966
11-5,20,0.3,orig_simpl_obj,2780
11-6,20,0.3,orig_minAB_obj,3758
11-6,20,0.3,orig_simpl_obj,3443
11-7,20,0.3,orig_minAB_obj,1775
11-7,20,0.3,orig_simpl_obj,1763
11-8,20,0.3,orig_minAB_obj,2995
11-8,20,0.3,orig_simpl_obj,2952
11-9,20,0.3,orig_minAB_obj,1891
11-9,20,0.3,orig_simpl_obj,2324
11-10,20,0.3,orig_minAB_obj,3082
11-10,20,0.3,orig_simpl_obj,2912
