instance,n,prob,num_type,value
1-0,15,0.6,orig_minAB_obj,14766
1-0,15,0.6,orig_simpl_obj,9000
1-1,15,0.6,orig_minAB_obj,2577
1-1,15,0.6,orig_simpl_obj,2514
1-2,15,0.6,orig_minAB_obj,6970
1-2,15,0.6,orig_simpl_obj,4794
1-3,15,0.6,orig_minAB_obj,4352
1-3,15,0.6,orig_simpl_obj,3989
1-4,15,0.6,orig_minAB_obj,13190
1-4,15,0.6,orig_simpl_obj,13546
1-5,15,0.6,orig_minAB_obj,14417
1-5,15,0.6,orig_simpl_obj,14876
2-0,15,0.6,orig_minAB_obj,8869
2-0,15,0.6,orig_simpl_obj,7635
2-1,15,0.6,orig_minAB_obj,14362
2-1,15,0.6,orig_simpl_obj,11433
2-2,15,0.6,orig_minAB_obj,1870
2-2,15,0.6,orig_simpl_obj,3353
2-3,15,0.6,orig_minAB_obj,9417
2-3,15,0.6,orig_simpl_obj,6066
2-4,15,0.6,orig_minAB_obj,12500
2-4,15,0.6,orig_simpl_obj,11326
2-5,15,0.6,orig_minAB_obj,1413
2-5,15,0.6,orig_simpl_obj,1624
