instance,n,prob,num_type,value
1-0,20,0.3,orig_minAB_obj,990
1-0,20,0.3,orig_simpl_obj,1000
1-1,20,0.3,orig_minAB_obj,2259
1-1,20,0.3,orig_simpl_obj,2173
1-2,20,0.3,orig_minAB_obj,284
1-2,20,0.3,orig_simpl_obj,299
1-3,20,0.3,orig_minAB_obj,690
1-3,20,0.3,orig_simpl_obj,737
1-4,20,0.3,orig_minAB_obj,1442
1-4,20,0.3,orig_simpl_obj,1883
1-5,20,0.3,orig_minAB_obj,514
1-5,20,0.3,orig_simpl_obj,736
1-6,20,0.3,orig_minAB_obj,326
1-6,20,0.3,orig_simpl_obj,376
1-7,20,0.3,orig_minAB_obj,909
1-7,20,0.3,orig_simpl_obj,973
1-8,20,0.3,orig_minAB_obj,1553
1-8,20,0.3,orig_simpl_obj,1583
1-9,20,0.3,orig_minAB_obj,183
1-9,20,0.3,orig_simpl_obj,201
1-10,20,0.3,orig_minAB_obj,1578
1-10,20,0.3,orig_simpl_obj,1663
1-11,20,0.3,orig_minAB_obj,1888
1-11,20,0.3,orig_simpl_obj,3122
1-12,20,0.3,orig_minAB_obj,689
1-12,20,0.3,orig_simpl_obj,874
1-13,20,0.3,orig_minAB_obj,95
1-13,20,0.3,orig_simpl_obj,101
1-14,20,0.3,orig_minAB_obj,518
1-14,20,0.3,orig_simpl_obj,686
1-15,20,0.3,orig_minAB_obj,172
1-15,20,0.3,orig_simpl_obj,158
1-16,20,0.3,orig_minAB_obj,826
1-16,20,0.3,orig_simpl_obj,786
1-17,20,0.3,orig_minAB_obj,744
1-17,20,0.3,orig_simpl_obj,782
1-18,20,0.3,orig_minAB_obj,1405
1-18,20,0.3,orig_simpl_obj,1368
1-19,20,0.3,orig_minAB_obj,1561
1-19,20,0.3,orig_simpl_obj,1808
1-20,20,0.3,orig_minAB_obj,772
1-20,20,0.3,orig_simpl_obj,957
1-21,20,0.3,orig_minAB_obj,1298
1-21,20,0.3,orig_simpl_obj,1377
1-22,20,0.3,orig_minAB_obj,201
1-22,20,0.3,orig_simpl_obj,222
1-23,20,0.3,orig_minAB_obj,288
1-23,20,0.3,orig_simpl_obj,447
1-24,20,0.3,orig_minAB_obj,1544
1-24,20,0.3,orig_simpl_obj,1498
1-25,20,0.3,orig_minAB_obj,651
1-25,20,0.3,orig_simpl_obj,708
1-26,20,0.3,orig_minAB_obj,1431
1-26,20,0.3,orig_simpl_obj,1338
1-27,20,0.3,orig_minAB_obj,253
1-27,20,0.3,orig_simpl_obj,302
1-28,20,0.3,orig_minAB_obj,1308
1-28,20,0.3,orig_simpl_obj,1299
1-29,20,0.3,orig_minAB_obj,1497
1-29,20,0.3,orig_simpl_obj,1468
1-30,20,0.3,orig_minAB_obj,1298
1-30,20,0.3,orig_simpl_obj,1576
1-31,20,0.3,orig_minAB_obj,712
1-31,20,0.3,orig_simpl_obj,1067
10-0,20,0.3,orig_minAB_obj,626
10-0,20,0.3,orig_simpl_obj,648
10-1,20,0.3,orig_minAB_obj,1370
10-1,20,0.3,orig_simpl_obj,1663
10-2,20,0.3,orig_minAB_obj,229
10-2,20,0.3,orig_simpl_obj,259
10-3,20,0.3,orig_minAB_obj,858
10-3,20,0.3,orig_simpl_obj,1140
10-4,20,0.3,orig_minAB_obj,385
10-4,20,0.3,orig_simpl_obj,358
10-5,20,0.3,orig_minAB_obj,886
10-5,20,0.3,orig_simpl_obj,1095
10-6,20,0.3,orig_minAB_obj,37
10-6,20,0.3,orig_simpl_obj,37
10-7,20,0.3,orig_minAB_obj,901
