instance,n,prob,num_type,value
1-0,20,0.3,orig_minAB_obj,2270
1-0,20,0.3,orig_simpl_obj,3265
1-1,20,0.3,orig_minAB_obj,2720
1-1,20,0.3,orig_simpl_obj,2936
1-2,20,0.3,orig_minAB_obj,708
1-2,20,0.3,orig_simpl_obj,748
1-3,20,0.3,orig_minAB_obj,2034
1-3,20,0.3,orig_simpl_obj,2097
1-4,20,0.3,orig_minAB_obj,2300
1-4,20,0.3,orig_simpl_obj,2368
1-5,20,0.3,orig_minAB_obj,2724
1-5,20,0.3,orig_simpl_obj,2472
1-6,20,0.3,orig_minAB_obj,2757
1-6,20,0.3,orig_simpl_obj,2953
1-7,20,0.3,orig_minAB_obj,814
1-7,20,0.3,orig_simpl_obj,859
1-8,20,0.3,orig_minAB_obj,1520
1-8,20,0.3,orig_simpl_obj,1532
1-9,20,0.3,orig_minAB_obj,761
1-9,20,0.3,orig_simpl_obj,906
1-10,20,0.3,orig_minAB_obj,1553
1-10,20,0.3,orig_simpl_obj,2131
1-11,20,0.3,orig_minAB_obj,2026
1-11,20,0.3,orig_simpl_obj,1844
1-12,20,0.3,orig_minAB_obj,69
1-12,20,0.3,orig_simpl_obj,81
1-13,20,0.3,orig_minAB_obj,2745
1-13,20,0.3,orig_simpl_obj,3069
1-14,20,0.3,orig_minAB_obj,1393
1-14,20,0.3,orig_simpl_obj,1683
1-15,20,0.3,orig_minAB_obj,1666
1-15,20,0.3,orig_simpl_obj,1711
10-0,20,0.3,orig_minAB_obj,791
10-0,20,0.3,orig_simpl_obj,1150
10-1,20,0.3,orig_minAB_obj,2713
10-1,20,0.3,orig_simpl_obj,3020
10-2,20,0.3,orig_minAB_obj,2068
10-2,20,0.3,orig_simpl_obj,2329
10-3,20,0.3,orig_minAB_obj,634
10-3,20,0.3,orig_simpl_obj,599
10-4,20,0.3,orig_minAB_obj,763
10-4,20,0.3,orig_simpl_obj,849
10-5,20,0.3,orig_minAB_obj,337
10-5,20,0.3,orig_simpl_obj,361
10-6,20,0.3,orig_minAB_obj,801
10-6,20,0.3,orig_simpl_obj,1042
10-7,20,0.3,orig_minAB_obj,1715
10-7,20,0.3,orig_simpl_obj,2053
10-8,20,0.3,orig_minAB_obj,2094
10-8,20,0.3,orig_simpl_obj,2128
10-9,20,0.3,orig_minAB_obj,1307
10-9,20,0.3,orig_simpl_obj,2170
10-10,20,0.3,orig_minAB_obj,2710
10-10,20,0.3,orig_simpl_obj,2566
10-11,20,0.3,orig_minAB_obj,1837
10-11,20,0.3,orig_simpl_obj,2221
10-12,20,0.3,orig_minAB_obj,881
10-12,20,0.3,orig_simpl_obj,927
10-13,20,0.3,orig_minAB_obj,812
10-13,20,0.3,orig_simpl_obj,845
10-14,20,0.3,orig_minAB_obj,2828
10-14,20,0.3,orig_simpl_obj,3107
10-15,20,0.3,orig_minAB_obj,858
10-15,20,0.3,orig_simpl_obj,736
11-0,20,0.3,orig_minAB_obj,1041
11-0,20,0.3,orig_simpl_obj,1580
11-1,20,0.3,orig_minAB_obj,530
11-1,20,0.3,orig_simpl_obj,510
11-2,20,0.3,orig_minAB_obj,39
11-2,20,0.3,orig_simpl_obj,39
11-3,20,0.3,orig_minAB_obj,992
11-3,20,0.3,orig_simpl_obj,974
11-4,20,0.3,orig_minAB_obj,200
11-4,20,0.3,orig_simpl_obj,201
11-5,20,0.3,orig_minAB_obj,1183
11-5,20,0.3,orig_simpl_obj,1165
11-6,20,0.3,orig_minAB_obj,70
11-6,20,0.3,orig_simpl_obj,77
11-7,20,0.3,orig_minAB_obj,671
11-7,20,0.3,orig_simpl_obj,650
11-8,20,0.3,orig_minAB_obj,1179
11-8,20,0.3,orig_simpl_obj,1706
11-9,20,0.3,orig_minAB_obj,218
11-9,20,0.3,orig_simpl_obj,239
11-10,20,0.3,orig_minAB_obj,1476
11-10,20,0.3,orig_simpl_obj,1824
11-11,20,0.3,orig_minAB_obj,1810
11-11,20,0.3,orig_simpl_obj,1944
11-12,20,0.3,orig_minAB_obj,437
11-12,20,0.3,orig_simpl_obj,515
11-13,20,0.3,orig_minAB_obj,1448
11-13,20,0.3,orig_simpl_obj,1552
11-14,20,0.3,orig_minAB_obj,131
11-14,20,0.3,orig_simpl_obj,112
11-15,20,0.3,orig_minAB_obj,2896
11-15,20,0.3,orig_simpl_obj,3914
12-0,20,0.3,orig_minAB_obj,474
12-0,20,0.3,orig_simpl_obj,386
12-1,20,0.3,orig_minAB_obj,995
12-1,20,0.3,orig_simpl_obj,945
12-2,20,0.3,orig_minAB_obj,194
12-2,20,0.3,orig_simpl_obj,189
12-3,20,0.3,orig_minAB_obj,2214
12-3,20,0.3,orig_simpl_obj,2413
12-4,20,0.3,orig_minAB_obj,1931
12-4,20,0.3,orig_simpl_obj,2486
12-5,20,0.3,orig_minAB_obj,1994
12-5,20,0.3,orig_simpl_obj,1824
12-6,20,0.3,orig_minAB_obj,2848
12-6,20,0.3,orig_simpl_obj,3227
12-7,20,0.3,orig_minAB_obj,2984
12-7,20,0.3,orig_simpl_obj,3265
12-8,20,0.3,orig_minAB_obj,679
12-8,20,0.3,orig_simpl_obj,526
12-9,20,0.3,orig_minAB_obj,629
12-9,20,0.3,orig_simpl_obj,624
12-10,20,0.3,orig_minAB_obj,3330
12-10,20,0.3,orig_simpl_obj,2554
12-11,20,0.3,orig_minAB_obj,1792
12-11,20,0.3,orig_simpl_obj,2580
12-12,20,0.3,orig_minAB_obj,905
12-12,20,0.3,orig_simpl_obj,1123
12-13,20,0.3,orig_minAB_obj,1935
12-13,20,0.3,orig_simpl_obj,2394
12-14,20,0.3,orig_minAB_obj,1953
12-14,20,0.3,orig_simpl_obj,2168
12-15,20,0.3,orig_minAB_obj,145
12-15,20,0.3,orig_simpl_obj,142
13-0,20,0.3,orig_minAB_obj,1014
13-0,20,0.3,orig_simpl_obj,964
13-1,20,0.3,orig_minAB_obj,1799
13-1,20,0.3,orig_simpl_obj,1704
13-2,20,0.3,orig_minAB_obj,165
13-2,20,0.3,orig_simpl_obj,200
13-3,20,0.3,orig_minAB_obj,2239
13-3,20,0.3,orig_simpl_obj,2567
13-4,20,0.3,orig_minAB_obj,2061
13-4,20,0.3,orig_simpl_obj,3062
13-5,20,0.3,orig_minAB_obj,598
13-5,20,0.3,orig_simpl_obj,638
13-6,20,0.3,orig_minAB_obj,722
13-6,20,0.3,orig_simpl_obj,491
13-7,20,0.3,orig_minAB_obj,273
13-7,20,0.3,orig_simpl_obj,279
13-8,20,0.3,orig_minAB_obj,1281
13-8,20,0.3,orig_simpl_obj,1374
13-9,20,0.3,orig_minAB_obj,1469
13-9,20,0.3,orig_simpl_obj,1455
13-10,20,0.3,orig_minAB_obj,748
13-10,20,0.3,orig_simpl_obj,883
13-11,20,0.3,orig_minAB_obj,1570
13-11,20,0.3,orig_simpl_obj,1762
13-12,20,0.3,orig_minAB_obj,1704
13-12,20,0.3,orig_simpl_obj,1761
13-13,20,0.3,orig_minAB_obj,1707
13-13,20,0.3,orig_simpl_obj,1492
13-14,20,0.3,orig_minAB_obj,1050
13-14,20,0.3,orig_simpl_obj,976
13-15,20,0.3,orig_minAB_obj,444
13-15,20,0.3,orig_simpl_obj,432
14-0,20,0.3,orig_minAB_obj,1443
14-0,20,0.3,orig_simpl_obj,1439
14-1,20,0.3,orig_minAB_obj,1310
14-1,20,0.3,orig_simpl_obj,1279
14-2,20,0.3,orig_minAB_obj,1123
14-2,20,0.3,orig_simpl_obj,1240
14-3,20,0.3,orig_minAB_obj,1686
14-3,20,0.3,orig_simpl_obj,1810
14-4,20,0.3,orig_minAB_obj,179
14-4,20,0.3,orig_simpl_obj,175
14-5,20,0.3,orig_minAB_obj,775
14-5,20,0.3,orig_simpl_obj,791
14-6,20,0.3,orig_minAB_obj,1886
14-6,20,0.3,orig_simpl_obj,2436
14-7,20,0.3,orig_minAB_obj,2276
14-7,20,0.3,orig_simpl_obj,1720
14-8,20,0.3,orig_minAB_obj,895
14-8,20,0.3,orig_simpl_obj,981
14-9,20,0.3,orig_minAB_obj,969
14-9,20,0.3,orig_simpl_obj,1064
14-10,20,0.3,orig_minAB_obj,1087
14-10,20,0.3,orig_simpl_obj,1074
14-11,20,0.3,orig_minAB_obj,314
14-11,20,0.3,orig_simpl_obj,261
14-12,20,0.3,orig_minAB_obj,1415
14-12,20,0.3,orig_simpl_obj,1704
14-13,20,0.3,orig_minAB_obj,98
14-13,20,0.3,orig_simpl_obj,117
14-14,20,0.3,orig_minAB_obj,1488
14-14,20,0.3,orig_simpl_obj,1692
14-15,20,0.3,orig_minAB_obj,2113
14-15,20,0.3,orig_simpl_obj,2303
15-0,20,0.3,orig_minAB_obj,711
15-0,20,0.3,orig_simpl_obj,697
15-1,20,0.3,orig_minAB_obj,205
15-1,20,0.3,orig_simpl_obj,194
15-2,20,0.3,orig_minAB_obj,2280
15-2,20,0.3,orig_simpl_obj,2575
15-3,20,0.3,orig_minAB_obj,76
15-3,20,0.3,orig_simpl_obj,81
15-4,20,0.3,orig_minAB_obj,269
15-4,20,0.3,orig_simpl_obj,284
15-5,20,0.3,orig_minAB_obj,476
15-5,20,0.3,orig_simpl_obj,493
15-6,20,0.3,orig_minAB_obj,283
15-6,20,0.3,orig_simpl_obj,343
15-7,20,0.3,orig_minAB_obj,1896
15-7,20,0.3,orig_simpl_obj,1896
15-8,20,0.3,orig_minAB_obj,199
15-8,20,0.3,orig_simpl_obj,210
15-9,20,0.3,orig_minAB_obj,864
15-9,20,0.3,orig_simpl_obj,957
15-10,20,0.3,orig_minAB_obj,2371
15-10,20,0.3,orig_simpl_obj,2470
15-11,20,0.3,orig_minAB_obj,2470
15-11,20,0.3,orig_simpl_obj,2578
15-12,20,0.3,orig_minAB_obj,594
15-12,20,0.3,orig_simpl_obj,880
15-13,20,0.3,orig_minAB_obj,1703
15-13,20,0.3,orig_simpl_obj,1395
15-14,20,0.3,orig_minAB_obj,3988
15-14,20,0.3,orig_simpl_obj,2798
15-15,20,0.3,orig_minAB_obj,2934
15-15,20,0.3,orig_simpl_obj,3548
16-0,20,0.3,orig_minAB_obj,2747
16-0,20,0.3,orig_simpl_obj,2918
16-1,20,0.3,orig_minAB_obj,1181
16-1,20,0.3,orig_simpl_obj,1476
16-2,20,0.3,orig_minAB_obj,1546
16-2,20,0.3,orig_simpl_obj,1618
16-3,20,0.3,orig_minAB_obj,1320
16-3,20,0.3,orig_simpl_obj,1387
16-4,20,0.3,orig_minAB_obj,1355
16-4,20,0.3,orig_simpl_obj,1414
16-5,20,0.3,orig_minAB_obj,1121
16-5,20,0.3,orig_simpl_obj,1384
16-6,20,0.3,orig_minAB_obj,1107
16-6,20,0.3,orig_simpl_obj,1017
16-7,20,0.3,orig_minAB_obj,2388
16-7,20,0.3,orig_simpl_obj,3065
16-8,20,0.3,orig_minAB_obj,3602
16-8,20,0.3,orig_simpl_obj,3290
16-9,20,0.3,orig_minAB_obj,3102
16-9,20,0.3,orig_simpl_obj,3010
16-10,20,0.3,orig_minAB_obj,3244
16-10,20,0.3,orig_simpl_obj,3526
16-11,20,0.3,orig_minAB_obj,1311
16-11,20,0.3,orig_simpl_obj,1483
16-12,20,0.3,orig_minAB_obj,463
16-12,20,0.3,orig_simpl_obj,407
16-13,20,0.3,orig_minAB_obj,323
16-13,20,0.3,orig_simpl_obj,376
16-14,20,0.3,orig_minAB_obj,62
16-14,20,0.3,orig_simpl_obj,80
16-15,20,0.3,orig_minAB_obj,2254
16-15,20,0.3,orig_simpl_obj,1864
17-0,20,0.3,orig_minAB_obj,696
17-0,20,0.3,orig_simpl_obj,733
17-1,20,0.3,orig_minAB_obj,1228
17-1,20,0.3,orig_simpl_obj,1341
17-2,20,0.3,orig_minAB_obj,737
17-2,20,0.3,orig_simpl_obj,765
17-3,20,0.3,orig_minAB_obj,1113
17-3,20,0.3,orig_simpl_obj,1051
17-4,20,0.3,orig_minAB_obj,2161
17-4,20,0.3,orig_simpl_obj,2264
17-5,20,0.3,orig_minAB_obj,1568
17-5,20,0.3,orig_simpl_obj,2380
17-6,20,0.3,orig_minAB_obj,1601
17-6,20,0.3,orig_simpl_obj,1682
17-7,20,0.3,orig_minAB_obj,1992
17-7,20,0.3,orig_simpl_obj,2693
17-8,20,0.3,orig_minAB_obj,1290
17-8,20,0.3,orig_simpl_obj,1240
17-9,20,0.3,orig_minAB_obj,258
17-9,20,0.3,orig_simpl_obj,268
17-10,20,0.3,orig_minAB_obj,1830
17-10,20,0.3,orig_simpl_obj,1632
17-11,20,0.3,orig_minAB_obj,2010
17-11,20,0.3,orig_simpl_obj,2179
17-12,20,0.3,orig_minAB_obj,1953
17-12,20,0.3,orig_simpl_obj,2290
17-13,20,0.3,orig_minAB_obj,2350
17-13,20,0.3,orig_simpl_obj,3242
17-14,20,0.3,orig_minAB_obj,2175
17-14,20,0.3,orig_simpl_obj,2793
17-15,20,0.3,orig_minAB_obj,1174
17-15,20,0.3,orig_simpl_obj,946
18-0,20,0.3,orig_minAB_obj,1417
18-0,20,0.3,orig_simpl_obj,1452
18-1,20,0.3,orig_minAB_obj,295
18-1,20,0.3,orig_simpl_obj,306
18-2,20,0.3,orig_minAB_obj,911
18-2,20,0.3,orig_simpl_obj,1036
18-3,20,0.3,orig_minAB_obj,425
18-3,20,0.3,orig_simpl_obj,549
18-4,20,0.3,orig_minAB_obj,307
18-4,20,0.3,orig_simpl_obj,286
18-5,20,0.3,orig_minAB_obj,1664
18-5,20,0.3,orig_simpl_obj,1987
18-6,20,0.3,orig_minAB_obj,1923
18-6,20,0.3,orig_simpl_obj,2254
18-7,20,0.3,orig_minAB_obj,1256
18-7,20,0.3,orig_simpl_obj,1445
