k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
0, optimal, 53.3, 4, 13.3, 73.3, 66.7, 0.6
1, optimal, 40.0, 6, 20.0, 53.3, 33.3, 0.5
2, optimal, 66.7, 36, 40.0, 80.0, 40.0, 0.5
3, optimal, 40.0, 720, 100.0, 100.0, 0.0, 4.5
4, optimal, 46.7, 20, 46.7, 80.0, 53.3, 0.5
5, optimal, 66.7, 4, 13.3, 100.0, 93.3, 0.5
6, optimal, 46.7, 8, 20.0, 86.7, 66.7, 0.4
7, optimal, 40.0, 4, 93.3, 60.0, 46.7, 0.5
8, optimal, 46.7, 24, 40.0, 66.7, 26.7, 0.4
9, optimal, 40.0, 5, 33.3, 66.7, 60.0, 0.6
10, optimal, 26.7, 2, 6.7, 20.0, 20.0, 0.7
11, optimal, 53.3, 1, 0.0, 60.0, 60.0, 0.5
12, optimal, 46.7, 5, 40.0, 66.7, 53.3, 0.5
13, optimal, 73.3, 12, 26.7, 73.3, 46.7, 0.4
14, optimal, 60.0, 12, 26.7, 80.0, 53.3, 0.4
15, optimal, 60.0, 8, 20.0, 86.7, 73.3, 0.5
16, optimal, 46.7, 12, 26.7, 86.7, 60.0, 0.4
17, optimal, 40.0, 8, 66.7, 80.0, 53.3, 0.5
18, optimal, 40.0, 4, 13.3, 86.7, 80.0, 0.6
19, optimal, 46.7, 120, 66.7, 100.0, 33.3, 0.5
20, optimal, 46.7, 15, 66.7, 100.0, 53.3, 0.5
21, optimal, 60.0, 4, 13.3, 100.0, 93.3, 0.6
22, optimal, 80.0, 4, 13.3, 100.0, 93.3, 0.5
23, optimal, 40.0, 6, 20.0, 53.3, 33.3, 0.5
24, optimal, 60.0, 1, 0.0, 80.0, 80.0, 0.6
25, optimal, 33.3, 16, 46.7, 80.0, 40.0, 0.4
26, optimal, 46.7, 6, 20.0, 73.3, 53.3, 0.4
27, optimal, 13.3, 4, 13.3, 66.7, 53.3, 0.4
28, optimal, 80.0, 120, 66.7, 93.3, 26.7, 0.5
29, optimal, 46.7, 48, 46.7, 66.7, 20.0, 0.5
30, optimal, 86.7, 12, 40.0, 100.0, 73.3, 0.8
31, optimal, 46.7, 6, 20.0, 53.3, 33.3, 0.5
32, optimal, 40.0, 4, 20.0, 60.0, 53.3, 0.7
33, optimal, 60.0, 3, 13.3, 93.3, 86.7, 0.5
34, optimal, 53.3, 12, 26.7, 100.0, 73.3, 0.4
35, optimal, 33.3, 48, 46.7, 86.7, 40.0, 0.5
36, optimal, 46.7, 4, 13.3, 60.0, 46.7, 0.5
37, optimal, 33.3, 120, 66.7, 100.0, 33.3, 0.5
38, optimal, 53.3, 6, 20.0, 100.0, 86.7, 0.6
39, optimal, 33.3, 16, 46.7, 73.3, 40.0, 0.4
40, optimal, 53.3, 4, 26.7, 93.3, 80.0, 0.5
41, optimal, 46.7, 18, 33.3, 73.3, 40.0, 0.4
42, optimal, 53.3, 4, 13.3, 60.0, 46.7, 0.6
43, optimal, 46.7, 4, 13.3, 60.0, 53.3, 0.5
44, optimal, 66.7, 4, 13.3, 80.0, 66.7, 0.5
45, optimal, 60.0, 8, 20.0, 73.3, 53.3, 0.4
46, optimal, 40.0, 4, 13.3, 86.7, 80.0, 0.4
47, optimal, 46.7, 14, 46.7, 80.0, 46.7, 0.5
48, optimal, 66.7, 48, 46.7, 86.7, 40.0, 0.4
49, optimal, 73.3, 4, 13.3, 80.0, 73.3, 0.5
50, optimal, 40.0, 1, 0.0, 53.3, 53.3, 0.5
51, optimal, 60.0, 4, 13.3, 73.3, 60.0, 0.5
52, optimal, 53.3, 4, 13.3, 86.7, 80.0, 0.5
53, optimal, 33.3, 4, 13.3, 86.7, 73.3, 0.6
54, optimal, 33.3, 4, 13.3, 80.0, 66.7, 0.6
55, optimal, 26.7, 8, 26.7, 66.7, 46.7, 0.5
56, optimal, 60.0, 4, 13.3, 93.3, 86.7, 0.5
57, optimal, 53.3, 48, 46.7, 100.0, 53.3, 0.4
58, optimal, 40.0, 4, 13.3, 80.0, 73.3, 0.6
59, optimal, 33.3, 2, 6.7, 33.3, 33.3, 0.6
60, optimal, 60.0, 6, 26.7, 93.3, 73.3, 0.5
61, optimal, 46.7, 16, 46.7, 53.3, 33.3, 0.5
62, optimal, 53.3, 4, 13.3, 66.7, 60.0, 0.6
63, optimal, 20.0, 8, 33.3, 66.7, 40.0, 0.5
64, optimal, 86.7, 4, 13.3, 93.3, 80.0, 0.4
65, optimal, 73.3, 4, 13.3, 53.3, 46.7, 0.5
66, optimal, 53.3, 12, 26.7, 100.0, 73.3, 0.5
67, optimal, 80.0, 12, 26.7, 73.3, 53.3, 0.4
68, optimal, 13.3, 2, 6.7, 40.0, 40.0, 0.4
69, optimal, 60.0, 12, 26.7, 73.3, 46.7, 0.5
70, optimal, 26.7, 2, 6.7, 33.3, 33.3, 0.5
71, optimal, 66.7, 1, 0.0, 80.0, 80.0, 0.6
