k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
0, optimal, 46.7, 4, 13.3, 66.7, 60.0, 0.5
1, optimal, 20.0, 4, 13.3, 66.7, 53.3, 0.5
2, optimal, 20.0, 2, 6.7, 40.0, 40.0, 0.5
3, optimal, 46.7, 8, 66.7, 86.7, 46.7, 0.5
4, optimal, 40.0, 2, 6.7, 60.0, 60.0, 0.6
5, optimal, 13.3, 2, 6.7, 66.7, 66.7, 0.6
6, optimal, 66.7, 6, 20.0, 100.0, 80.0, 0.6
7, optimal, 46.7, 48, 46.7, 73.3, 26.7, 0.4
8, optimal, 46.7, 40, 100.0, 80.0, 33.3, 0.6
9, optimal, 46.7, 3, 20.0, 86.7, 80.0, 0.5
10, optimal, 60.0, 1, 0.0, 86.7, 86.7, 0.5
11, optimal, 33.3, 12, 40.0, 86.7, 60.0, 0.5
12, optimal, 73.3, 8, 26.7, 80.0, 60.0, 0.4
13, optimal, 46.7, 2, 6.7, 46.7, 46.7, 0.7
14, optimal, 46.7, 4, 13.3, 86.7, 80.0, 0.4
15, optimal, 53.3, 2, 6.7, 46.7, 46.7, 0.5
16, optimal, 40.0, 4, 13.3, 86.7, 80.0, 0.4
17, optimal, 33.3, 28, 53.3, 93.3, 53.3, 0.5
18, optimal, 46.7, 14, 46.7, 86.7, 60.0, 0.4
19, optimal, 60.0, 12, 26.7, 86.7, 60.0, 0.4
20, optimal, 73.3, 2, 20.0, 60.0, 60.0, 0.5
21, optimal, 46.7, 48, 46.7, 100.0, 53.3, 0.4
22, optimal, 20.0, 24, 40.0, 73.3, 40.0, 0.4
23, optimal, 40.0, 2, 6.7, 93.3, 93.3, 0.6
24, optimal, 60.0, 14, 93.3, 86.7, 33.3, 0.5
25, optimal, 26.7, 10, 40.0, 80.0, 60.0, 0.7
26, optimal, 53.3, 18, 46.7, 86.7, 46.7, 0.5
27, optimal, 73.3, 120, 66.7, 100.0, 33.3, 0.5
28, optimal, 60.0, 12, 26.7, 100.0, 80.0, 0.7
29, optimal, 86.7, 12, 33.3, 86.7, 60.0, 0.6
30, optimal, 53.3, 120, 66.7, 100.0, 33.3, 0.5
31, optimal, 33.3, 12, 26.7, 80.0, 53.3, 0.4
32, optimal, 26.7, 12, 26.7, 60.0, 33.3, 0.4
33, optimal, 46.7, 6, 20.0, 66.7, 53.3, 0.4
34, optimal, 60.0, 12, 26.7, 40.0, 13.3, 0.5
35, optimal, 66.7, 4, 13.3, 93.3, 80.0, 0.4
36, optimal, 26.7, 2, 6.7, 60.0, 60.0, 0.6
37, optimal, 46.7, 4, 13.3, 86.7, 73.3, 0.5
38, optimal, 60.0, 12, 26.7, 100.0, 73.3, 0.6
39, optimal, 80.0, 2, 6.7, 80.0, 80.0, 0.5
40, optimal, 53.3, 7, 40.0, 86.7, 66.7, 0.5
41, optimal, 40.0, 20, 46.7, 60.0, 20.0, 0.5
42, optimal, 66.7, 4, 13.3, 66.7, 60.0, 0.6
43, optimal, 60.0, 10, 33.3, 86.7, 66.7, 0.4
44, optimal, 33.3, 24, 40.0, 60.0, 20.0, 0.4
45, optimal, 60.0, 12, 26.7, 73.3, 53.3, 0.4
46, optimal, 93.3, 1, 0.0, 86.7, 86.7, 0.6
47, optimal, 86.7, 720, 100.0, 100.0, 0.0, 6.4
48, optimal, 46.7, 12, 26.7, 93.3, 66.7, 0.4
49, optimal, 60.0, 2, 6.7, 40.0, 40.0, 0.5
50, optimal, 60.0, 24, 40.0, 100.0, 60.0, 0.4
51, optimal, 26.7, 12, 26.7, 60.0, 33.3, 0.4
52, optimal, 33.3, 4, 13.3, 80.0, 73.3, 0.4
53, optimal, 33.3, 2, 6.7, 26.7, 26.7, 0.6
54, optimal, 46.7, 12, 26.7, 73.3, 46.7, 0.5
55, optimal, 26.7, 2, 6.7, 40.0, 40.0, 0.5
56, optimal, 40.0, 24, 40.0, 86.7, 46.7, 0.7
57, optimal, 46.7, 6, 40.0, 80.0, 66.7, 0.5
58, optimal, 13.3, 8, 40.0, 53.3, 26.7, 0.5
59, optimal, 73.3, 6, 20.0, 86.7, 73.3, 0.6
60, optimal, 26.7, 2, 6.7, 40.0, 40.0, 0.6
61, optimal, 40.0, 4, 13.3, 100.0, 93.3, 0.7
62, optimal, 40.0, 18, 100.0, 80.0, 20.0, 0.7
63, optimal, 53.3, 2, 6.7, 66.7, 66.7, 0.5
64, optimal, 33.3, 2, 6.7, 93.3, 93.3, 0.6
65, optimal, 40.0, 4, 13.3, 73.3, 66.7, 0.4
66, optimal, 33.3, 24, 40.0, 100.0, 60.0, 0.4
67, optimal, 40.0, 12, 26.7, 93.3, 66.7, 0.4
68, optimal, 46.7, 8, 33.3, 80.0, 60.0, 0.5
69, optimal, 20.0, 6, 20.0, 26.7, 6.7, 0.4
70, optimal, 26.7, 2, 6.7, 26.7, 26.7, 0.6
71, optimal, 20.0, 7, 100.0, 86.7, 46.7, 0.5
72, optimal, 80.0, 4, 20.0, 86.7, 80.0, 0.5
73, optimal, 53.3, 14, 46.7, 80.0, 46.7, 0.4
74, optimal, 33.3, 48, 100.0, 86.7, 20.0, 0.7
75, optimal, 60.0, 60, 60.0, 100.0, 53.3, 0.5
76, optimal, 60.0, 2, 6.7, 73.3, 73.3, 0.6
77, optimal, 33.3, 12, 26.7, 66.7, 40.0, 0.4
78, optimal, 60.0, 24, 40.0, 73.3, 33.3, 0.4
79, optimal, 40.0, 2, 6.7, 53.3, 53.3, 0.4
80, optimal, 66.7, 720, 100.0, 100.0, 0.0, 5.7
81, optimal, 80.0, 12, 26.7, 93.3, 73.3, 0.4
82, optimal, 46.7, 2, 6.7, 60.0, 60.0, 0.4
83, optimal, 40.0, 12, 26.7, 80.0, 60.0, 0.4
84, optimal, 33.3, 2, 6.7, 66.7, 66.7, 0.6
85, optimal, 73.3, 3, 13.3, 80.0, 73.3, 0.5
86, optimal, 60.0, 24, 40.0, 93.3, 60.0, 0.4
87, optimal, 20.0, 12, 26.7, 60.0, 33.3, 0.4
88, optimal, 33.3, 36, 66.7, 53.3, 20.0, 0.5
89, optimal, 40.0, 120, 66.7, 100.0, 33.3, 0.5
90, optimal, 33.3, 720, 100.0, 100.0, 0.0, 5.1
91, optimal, 20.0, 36, 40.0, 73.3, 40.0, 0.4
92, optimal, 40.0, 2, 6.7, 40.0, 40.0, 0.5
93, optimal, 26.7, 120, 66.7, 100.0, 33.3, 0.5
94, optimal, 40.0, 36, 40.0, 66.7, 26.7, 0.4
95, optimal, 66.7, 4, 13.3, 73.3, 66.7, 0.6
96, optimal, 46.7, 12, 33.3, 100.0, 73.3, 0.5
97, optimal, 46.7, 3, 20.0, 86.7, 80.0, 0.5
98, optimal, 66.7, 8, 26.7, 93.3, 73.3, 0.5
99, optimal, 40.0, 2, 6.7, 93.3, 93.3, 0.5
100, optimal, 40.0, 12, 26.7, 86.7, 60.0, 0.4
101, optimal, 46.7, 14, 53.3, 86.7, 60.0, 0.5
102, optimal, 46.7, 6, 20.0, 80.0, 66.7, 0.5
103, optimal, 60.0, 4, 40.0, 66.7, 40.0, 0.7
104, optimal, 26.7, 14, 46.7, 86.7, 53.3, 0.5
105, optimal, 93.3, 5, 26.7, 93.3, 80.0, 0.5
106, optimal, 6.7, 2, 6.7, 73.3, 73.3, 0.5
107, optimal, 33.3, 12, 26.7, 60.0, 33.3, 0.6
108, optimal, 66.7, 4, 13.3, 93.3, 86.7, 0.5
109, optimal, 33.3, 12, 66.7, 93.3, 66.7, 0.5
110, optimal, 40.0, 8, 40.0, 93.3, 66.7, 0.6
111, optimal, 80.0, 8, 20.0, 86.7, 66.7, 0.5
112, optimal, 46.7, 4, 13.3, 80.0, 66.7, 0.4
113, optimal, 53.3, 2, 6.7, 100.0, 100.0, 0.5
114, optimal, 40.0, 1, 0.0, 46.7, 46.7, 0.5
115, optimal, 33.3, 6, 20.0, 33.3, 13.3, 0.4
116, optimal, 60.0, 1, 0.0, 93.3, 93.3, 0.6
117, optimal, 60.0, 9, 26.7, 100.0, 80.0, 0.7
118, optimal, 60.0, 120, 66.7, 93.3, 26.7, 0.5
119, optimal, 26.7, 4, 13.3, 46.7, 40.0, 0.4
120, optimal, 40.0, 4, 13.3, 80.0, 73.3, 0.5
121, optimal, 40.0, 12, 93.3, 80.0, 40.0, 0.5
122, optimal, 46.7, 120, 66.7, 100.0, 33.3, 0.5
123, optimal, 46.7, 2, 6.7, 86.7, 86.7, 0.5
124, optimal, 66.7, 4, 20.0, 93.3, 73.3, 0.6
125, optimal, 46.7, 24, 40.0, 93.3, 53.3, 0.4
126, optimal, 66.7, 24, 40.0, 100.0, 60.0, 0.4
127, optimal, 60.0, 4, 13.3, 80.0, 73.3, 0.6
128, optimal, 13.3, 5, 26.7, 86.7, 73.3, 0.6
129, optimal, 46.7, 3, 20.0, 80.0, 73.3, 0.6
130, optimal, 33.3, 4, 13.3, 73.3, 60.0, 0.5
131, optimal, 53.3, 8, 26.7, 100.0, 80.0, 0.6
132, optimal, 46.7, 32, 46.7, 86.7, 40.0, 0.4
133, optimal, 53.3, 12, 26.7, 80.0, 53.3, 0.6
134, optimal, 26.7, 120, 66.7, 93.3, 26.7, 0.6
135, optimal, 80.0, 2, 6.7, 86.7, 86.7, 0.6
136, optimal, 33.3, 720, 100.0, 100.0, 0.0, 4.1
137, optimal, 40.0, 6, 20.0, 33.3, 13.3, 0.5
138, optimal, 66.7, 2, 6.7, 100.0, 100.0, 0.5
139, optimal, 60.0, 6, 26.7, 73.3, 60.0, 0.5
140, optimal, 53.3, 12, 40.0, 73.3, 46.7, 0.5
141, optimal, 26.7, 4, 13.3, 66.7, 60.0, 0.4
142, optimal, 53.3, 2, 6.7, 86.7, 86.7, 0.5
143, optimal, 80.0, 12, 26.7, 73.3, 53.3, 0.4
144, optimal, 40.0, 120, 66.7, 93.3, 26.7, 0.6
145, optimal, 6.7, 8, 73.3, 53.3, 33.3, 0.4
146, optimal, 33.3, 8, 20.0, 86.7, 73.3, 0.4
147, optimal, 66.7, 12, 26.7, 80.0, 60.0, 0.4
148, optimal, 46.7, 120, 66.7, 93.3, 26.7, 0.5
149, optimal, 60.0, 2, 6.7, 86.7, 86.7, 0.5
150, optimal, 46.7, 4, 20.0, 86.7, 80.0, 0.5
151, optimal, 46.7, 6, 20.0, 66.7, 46.7, 0.5
152, optimal, 46.7, 2, 6.7, 93.3, 93.3, 0.7
153, optimal, 53.3, 4, 20.0, 100.0, 93.3, 0.7
154, optimal, 0.0, 18, 66.7, 66.7, 6.7, 0.5
155, optimal, 20.0, 8, 26.7, 53.3, 33.3, 0.7
156, optimal, 80.0, 12, 53.3, 73.3, 26.7, 0.6
157, optimal, 53.3, 4, 13.3, 73.3, 66.7, 0.4
158, optimal, 46.7, 2, 6.7, 53.3, 53.3, 0.4
159, optimal, 20.0, 2, 6.7, 53.3, 53.3, 0.5
160, optimal, 73.3, 2, 6.7, 86.7, 86.7, 0.6
161, optimal, 46.7, 120, 66.7, 73.3, 13.3, 0.5
162, optimal, 60.0, 8, 40.0, 86.7, 60.0, 0.6
163, optimal, 66.7, 12, 26.7, 80.0, 60.0, 0.5
164, optimal, 46.7, 48, 46.7, 100.0, 53.3, 0.4
165, optimal, 66.7, 10, 40.0, 100.0, 73.3, 0.5
166, optimal, 53.3, 2, 6.7, 86.7, 86.7, 0.6
167, optimal, 93.3, 4, 13.3, 100.0, 86.7, 0.4
168, optimal, 60.0, 2, 6.7, 86.7, 86.7, 0.5
169, optimal, 40.0, 16, 40.0, 80.0, 53.3, 0.5
170, optimal, 80.0, 120, 66.7, 86.7, 20.0, 0.5
171, optimal, 53.3, 8, 20.0, 53.3, 40.0, 0.6
172, optimal, 60.0, 8, 26.7, 100.0, 73.3, 0.4
173, optimal, 46.7, 2, 6.7, 53.3, 53.3, 0.6
174, optimal, 20.0, 4, 20.0, 60.0, 46.7, 0.5
175, optimal, 33.3, 120, 66.7, 100.0, 33.3, 0.5
176, optimal, 73.3, 4, 13.3, 53.3, 46.7, 0.5
177, optimal, 60.0, 4, 13.3, 80.0, 73.3, 0.4
178, optimal, 60.0, 48, 46.7, 73.3, 26.7, 0.4
179, optimal, 73.3, 18, 33.3, 73.3, 46.7, 0.4
180, optimal, 46.7, 16, 66.7, 73.3, 13.3, 0.5
181, optimal, 53.3, 12, 26.7, 100.0, 73.3, 0.5
182, optimal, 46.7, 6, 40.0, 73.3, 46.7, 0.5
183, optimal, 80.0, 12, 26.7, 93.3, 66.7, 0.4
184, optimal, 60.0, 18, 33.3, 73.3, 40.0, 0.4
185, optimal, 40.0, 2, 6.7, 100.0, 100.0, 0.6
186, optimal, 46.7, 1, 0.0, 60.0, 60.0, 0.5
187, optimal, 0.0, 48, 46.7, 73.3, 26.7, 0.4
188, optimal, 40.0, 24, 66.7, 66.7, 40.0, 0.4
189, optimal, 53.3, 2, 6.7, 40.0, 40.0, 0.5
190, optimal, 13.3, 8, 26.7, 60.0, 33.3, 0.6
191, optimal, 46.7, 12, 26.7, 80.0, 60.0, 0.4
192, optimal, 60.0, 8, 33.3, 80.0, 66.7, 0.6
193, optimal, 40.0, 12, 73.3, 100.0, 26.7, 0.5
194, optimal, 46.7, 4, 33.3, 80.0, 66.7, 0.5
195, optimal, 46.7, 4, 20.0, 73.3, 66.7, 0.5
196, optimal, 66.7, 4, 33.3, 93.3, 80.0, 0.5
197, optimal, 86.7, 10, 33.3, 100.0, 80.0, 0.4
198, optimal, 53.3, 2, 6.7, 86.7, 86.7, 0.4
199, optimal, 40.0, 120, 66.7, 73.3, 6.7, 0.5
200, optimal, 46.7, 10, 53.3, 93.3, 40.0, 0.5
201, optimal, 33.3, 4, 20.0, 66.7, 53.3, 0.5
202, optimal, 60.0, 4, 13.3, 86.7, 73.3, 0.4
203, optimal, 33.3, 8, 20.0, 53.3, 33.3, 0.4
204, optimal, 40.0, 8, 26.7, 80.0, 60.0, 0.4
205, optimal, 33.3, 2, 6.7, 40.0, 40.0, 0.6
206, optimal, 53.3, 2, 6.7, 93.3, 93.3, 0.6
207, optimal, 73.3, 2, 6.7, 100.0, 100.0, 0.6
208, optimal, 60.0, 4, 20.0, 60.0, 46.7, 0.6
209, optimal, 60.0, 24, 40.0, 80.0, 40.0, 0.5
210, optimal, 53.3, 1, 0.0, 80.0, 80.0, 0.6
211, optimal, 40.0, 12, 40.0, 46.7, 20.0, 0.6
212, optimal, 20.0, 2, 6.7, 26.7, 26.7, 0.5
213, optimal, 86.7, 4, 20.0, 100.0, 93.3, 0.5
214, optimal, 73.3, 12, 40.0, 86.7, 46.7, 0.5
215, optimal, 46.7, 12, 26.7, 80.0, 53.3, 0.4
216, optimal, 66.7, 14, 33.3, 80.0, 53.3, 0.5
217, optimal, 66.7, 6, 20.0, 60.0, 46.7, 0.4
218, optimal, 46.7, 4, 13.3, 80.0, 73.3, 0.5
219, optimal, 40.0, 4, 13.3, 66.7, 60.0, 0.4
220, optimal, 33.3, 8, 26.7, 66.7, 46.7, 0.5
221, optimal, 53.3, 2, 6.7, 66.7, 66.7, 0.5
222, optimal, 46.7, 12, 26.7, 80.0, 53.3, 0.4
223, optimal, 66.7, 2, 6.7, 86.7, 86.7, 0.5
224, optimal, 26.7, 4, 33.3, 80.0, 60.0, 0.5
225, optimal, 86.7, 2, 6.7, 93.3, 93.3, 0.6
226, optimal, 26.7, 6, 20.0, 60.0, 40.0, 0.5
227, optimal, 40.0, 2, 6.7, 20.0, 20.0, 0.5
228, optimal, 60.0, 2, 6.7, 93.3, 93.3, 0.7
229, optimal, 33.3, 5, 60.0, 100.0, 86.7, 0.5
230, optimal, 60.0, 2, 6.7, 53.3, 53.3, 0.5
231, optimal, 53.3, 14, 66.7, 100.0, 60.0, 0.5
232, optimal, 46.7, 4, 13.3, 66.7, 60.0, 0.5
233, optimal, 73.3, 4, 13.3, 80.0, 73.3, 0.5
234, optimal, 60.0, 16, 66.7, 80.0, 53.3, 0.5
235, optimal, 53.3, 6, 26.7, 100.0, 73.3, 0.6
236, optimal, 66.7, 48, 46.7, 93.3, 46.7, 0.4
237, optimal, 20.0, 1, 0.0, 26.7, 26.7, 0.5
238, optimal, 46.7, 6, 26.7, 86.7, 66.7, 0.6
239, optimal, 53.3, 4, 13.3, 60.0, 53.3, 0.7
240, optimal, 40.0, 2, 6.7, 46.7, 46.7, 0.7
241, optimal, 66.7, 2, 6.7, 40.0, 40.0, 0.6
242, optimal, 46.7, 10, 60.0, 86.7, 53.3, 0.6
243, optimal, 26.7, 48, 46.7, 86.7, 40.0, 0.4
244, optimal, 80.0, 18, 40.0, 100.0, 60.0, 0.5
245, optimal, 53.3, 12, 26.7, 93.3, 73.3, 0.4
246, optimal, 66.7, 1, 0.0, 86.7, 86.7, 0.5
247, optimal, 53.3, 12, 26.7, 66.7, 46.7, 0.4
248, optimal, 40.0, 31, 73.3, 100.0, 40.0, 0.5
249, optimal, 73.3, 24, 40.0, 93.3, 60.0, 0.4
250, optimal, 26.7, 18, 53.3, 93.3, 46.7, 0.5
251, optimal, 73.3, 18, 33.3, 100.0, 66.7, 0.4
252, optimal, 73.3, 4, 13.3, 93.3, 86.7, 0.4
253, optimal, 60.0, 4, 13.3, 60.0, 53.3, 0.4
254, optimal, 46.7, 4, 13.3, 73.3, 66.7, 0.5
255, optimal, 53.3, 6, 20.0, 86.7, 73.3, 0.4
256, optimal, 40.0, 2, 6.7, 73.3, 73.3, 0.5
257, optimal, 53.3, 4, 13.3, 80.0, 66.7, 0.6
258, optimal, 60.0, 2, 6.7, 100.0, 100.0, 0.5
