instance,n,prob,num_type,value
10_0.2_15-0,15,0.2,orig_minAB_obj,174
10_0.2_15-0,15,0.2,orig_simpl_obj,218
10_0.2_15-1,15,0.2,orig_minAB_obj,324
10_0.2_15-1,15,0.2,orig_simpl_obj,333
10_0.2_15-2,15,0.2,orig_minAB_obj,194
10_0.2_15-2,15,0.2,orig_simpl_obj,199
10_0.2_15-3,15,0.2,orig_minAB_obj,352
10_0.2_15-3,15,0.2,orig_simpl_obj,364
10_0.2_15-4,15,0.2,orig_minAB_obj,66
10_0.2_15-4,15,0.2,orig_simpl_obj,89
10_0.2_15-5,15,0.2,orig_minAB_obj,204
10_0.2_15-5,15,0.2,orig_simpl_obj,315
10_0.2_15-6,15,0.2,orig_minAB_obj,127
10_0.2_15-6,15,0.2,orig_simpl_obj,194
10_0.2_15-7,15,0.2,orig_minAB_obj,228
10_0.2_15-7,15,0.2,orig_simpl_obj,210
10_0.2_15-8,15,0.2,orig_minAB_obj,321
10_0.2_15-8,15,0.2,orig_simpl_obj,321
10_0.2_15-9,15,0.2,orig_minAB_obj,315
10_0.2_15-9,15,0.2,orig_simpl_obj,384
10_0.2_15-10,15,0.2,orig_minAB_obj,246
10_0.2_15-10,15,0.2,orig_simpl_obj,230
10_0.2_15-11,15,0.2,orig_minAB_obj,158
10_0.2_15-11,15,0.2,orig_simpl_obj,208
10_0.2_15-12,15,0.2,orig_minAB_obj,320
10_0.2_15-12,15,0.2,orig_simpl_obj,294
10_0.2_15-13,15,0.2,orig_minAB_obj,83
10_0.2_15-13,15,0.2,orig_simpl_obj,81
10_0.2_15-14,15,0.2,orig_minAB_obj,466
10_0.2_15-14,15,0.2,orig_simpl_obj,441
10_0.2_15-15,15,0.2,orig_minAB_obj,82
10_0.2_15-15,15,0.2,orig_simpl_obj,75
10_0.2_15-16,15,0.2,orig_minAB_obj,251
10_0.2_15-16,15,0.2,orig_simpl_obj,321
10_0.2_15-17,15,0.2,orig_minAB_obj,172
10_0.2_15-17,15,0.2,orig_simpl_obj,172
10_0.2_15-18,15,0.2,orig_minAB_obj,258
10_0.2_15-18,15,0.2,orig_simpl_obj,303
10_0.2_15-19,15,0.2,orig_minAB_obj,258
10_0.2_15-19,15,0.2,orig_simpl_obj,285
10_0.2_15-20,15,0.2,orig_minAB_obj,149
10_0.2_15-20,15,0.2,orig_simpl_obj,170
10_0.2_15-21,15,0.2,orig_minAB_obj,148
10_0.2_15-21,15,0.2,orig_simpl_obj,170
10_0.2_15-22,15,0.2,orig_minAB_obj,183
10_0.2_15-22,15,0.2,orig_simpl_obj,280
10_0.2_15-23,15,0.2,orig_minAB_obj,218
10_0.2_15-23,15,0.2,orig_simpl_obj,310
10_0.2_15-24,15,0.2,orig_minAB_obj,272
10_0.2_15-24,15,0.2,orig_simpl_obj,249
10_0.2_15-25,15,0.2,orig_minAB_obj,206
10_0.2_15-25,15,0.2,orig_simpl_obj,210
10_0.2_15-26,15,0.2,orig_minAB_obj,279
10_0.2_15-26,15,0.2,orig_simpl_obj,374
10_0.2_15-27,15,0.2,orig_minAB_obj,292
10_0.2_15-27,15,0.2,orig_simpl_obj,309
10_0.2_15-28,15,0.2,orig_minAB_obj,288
10_0.2_15-28,15,0.2,orig_simpl_obj,279
10_0.2_15-29,15,0.2,orig_minAB_obj,225
10_0.2_15-29,15,0.2,orig_simpl_obj,318
10_0.2_15-30,15,0.2,orig_minAB_obj,245
10_0.2_15-30,15,0.2,orig_simpl_obj,249
10_0.2_15-31,15,0.2,orig_minAB_obj,237
10_0.2_15-31,15,0.2,orig_simpl_obj,397
10_0.2_15-32,15,0.2,orig_minAB_obj,145
10_0.2_15-32,15,0.2,orig_simpl_obj,208
10_0.2_15-33,15,0.2,orig_minAB_obj,248
10_0.2_15-33,15,0.2,orig_simpl_obj,218
10_0.2_15-34,15,0.2,orig_minAB_obj,181
10_0.2_15-34,15,0.2,orig_simpl_obj,164
10_0.2_15-35,15,0.2,orig_minAB_obj,227
10_0.2_15-35,15,0.2,orig_simpl_obj,277
10_0.2_15-36,15,0.2,orig_minAB_obj,305
10_0.2_15-36,15,0.2,orig_simpl_obj,339
10_0.2_15-37,15,0.2,orig_minAB_obj,113
10_0.2_15-37,15,0.2,orig_simpl_obj,140
10_0.2_15-38,15,0.2,orig_minAB_obj,201
10_0.2_15-38,15,0.2,orig_simpl_obj,186
10_0.2_15-39,15,0.2,orig_minAB_obj,287
10_0.2_15-39,15,0.2,orig_simpl_obj,219
10_0.2_15-40,15,0.2,orig_minAB_obj,322
10_0.2_15-40,15,0.2,orig_simpl_obj,312
10_0.2_15-41,15,0.2,orig_minAB_obj,297
10_0.2_15-41,15,0.2,orig_simpl_obj,263
10_0.2_15-42,15,0.2,orig_minAB_obj,326
10_0.2_15-42,15,0.2,orig_simpl_obj,414
10_0.2_15-43,15,0.2,orig_minAB_obj,219
10_0.2_15-43,15,0.2,orig_simpl_obj,193
10_0.2_15-44,15,0.2,orig_minAB_obj,220
10_0.2_15-44,15,0.2,orig_simpl_obj,237
10_0.2_15-45,15,0.2,orig_minAB_obj,251
10_0.2_15-45,15,0.2,orig_simpl_obj,212
10_0.2_15-46,15,0.2,orig_minAB_obj,285
10_0.2_15-46,15,0.2,orig_simpl_obj,283
10_0.2_15-47,15,0.2,orig_minAB_obj,170
10_0.2_15-47,15,0.2,orig_simpl_obj,238
10_0.2_15-48,15,0.2,orig_minAB_obj,107
10_0.2_15-48,15,0.2,orig_simpl_obj,109
10_0.2_15-49,15,0.2,orig_minAB_obj,166
10_0.2_15-49,15,0.2,orig_simpl_obj,275
11_0.2_15-0,15,0.2,orig_minAB_obj,231
11_0.2_15-0,15,0.2,orig_simpl_obj,321
11_0.2_15-1,15,0.2,orig_minAB_obj,167
11_0.2_15-1,15,0.2,orig_simpl_obj,166
11_0.2_15-2,15,0.2,orig_minAB_obj,204
11_0.2_15-2,15,0.2,orig_simpl_obj,282
11_0.2_15-3,15,0.2,orig_minAB_obj,396
11_0.2_15-3,15,0.2,orig_simpl_obj,393
11_0.2_15-4,15,0.2,orig_minAB_obj,211
11_0.2_15-4,15,0.2,orig_simpl_obj,313
11_0.2_15-5,15,0.2,orig_minAB_obj,323
11_0.2_15-5,15,0.2,orig_simpl_obj,317
11_0.2_15-6,15,0.2,orig_minAB_obj,257
11_0.2_15-6,15,0.2,orig_simpl_obj,316
11_0.2_15-7,15,0.2,orig_minAB_obj,142
11_0.2_15-7,15,0.2,orig_simpl_obj,218
11_0.2_15-8,15,0.2,orig_minAB_obj,71
11_0.2_15-8,15,0.2,orig_simpl_obj,81
11_0.2_15-9,15,0.2,orig_minAB_obj,189
11_0.2_15-9,15,0.2,orig_simpl_obj,193
11_0.2_15-10,15,0.2,orig_minAB_obj,279
11_0.2_15-10,15,0.2,orig_simpl_obj,268
11_0.2_15-11,15,0.2,orig_minAB_obj,461
11_0.2_15-11,15,0.2,orig_simpl_obj,476
11_0.2_15-12,15,0.2,orig_minAB_obj,157
11_0.2_15-12,15,0.2,orig_simpl_obj,153
11_0.2_15-13,15,0.2,orig_minAB_obj,383
11_0.2_15-13,15,0.2,orig_simpl_obj,351
11_0.2_15-14,15,0.2,orig_minAB_obj,125
11_0.2_15-14,15,0.2,orig_simpl_obj,171
11_0.2_15-15,15,0.2,orig_minAB_obj,234
11_0.2_15-15,15,0.2,orig_simpl_obj,200
11_0.2_15-16,15,0.2,orig_minAB_obj,162
11_0.2_15-16,15,0.2,orig_simpl_obj,164
11_0.2_15-17,15,0.2,orig_minAB_obj,258
11_0.2_15-17,15,0.2,orig_simpl_obj,306
11_0.2_15-18,15,0.2,orig_minAB_obj,190
11_0.2_15-18,15,0.2,orig_simpl_obj,202
11_0.2_15-19,15,0.2,orig_minAB_obj,192
11_0.2_15-19,15,0.2,orig_simpl_obj,122
11_0.2_15-20,15,0.2,orig_minAB_obj,144
11_0.2_15-20,15,0.2,orig_simpl_obj,132
11_0.2_15-21,15,0.2,orig_minAB_obj,132
11_0.2_15-21,15,0.2,orig_simpl_obj,137
11_0.2_15-22,15,0.2,orig_minAB_obj,148
11_0.2_15-22,15,0.2,orig_simpl_obj,119
11_0.2_15-23,15,0.2,orig_minAB_obj,275
11_0.2_15-23,15,0.2,orig_simpl_obj,336
11_0.2_15-24,15,0.2,orig_minAB_obj,140
11_0.2_15-24,15,0.2,orig_simpl_obj,168
11_0.2_15-25,15,0.2,orig_minAB_obj,71
11_0.2_15-25,15,0.2,orig_simpl_obj,76
11_0.2_15-26,15,0.2,orig_minAB_obj,160
11_0.2_15-26,15,0.2,orig_simpl_obj,170
11_0.2_15-27,15,0.2,orig_minAB_obj,232
11_0.2_15-27,15,0.2,orig_simpl_obj,275
11_0.2_15-28,15,0.2,orig_minAB_obj,253
11_0.2_15-28,15,0.2,orig_simpl_obj,243
11_0.2_15-29,15,0.2,orig_minAB_obj,172
11_0.2_15-29,15,0.2,orig_simpl_obj,212
11_0.2_15-30,15,0.2,orig_minAB_obj,188
11_0.2_15-30,15,0.2,orig_simpl_obj,172
11_0.2_15-31,15,0.2,orig_minAB_obj,167
11_0.2_15-31,15,0.2,orig_simpl_obj,193
11_0.2_15-32,15,0.2,orig_minAB_obj,236
11_0.2_15-32,15,0.2,orig_simpl_obj,261
11_0.2_15-33,15,0.2,orig_minAB_obj,80
11_0.2_15-33,15,0.2,orig_simpl_obj,141
11_0.2_15-34,15,0.2,orig_minAB_obj,163
11_0.2_15-34,15,0.2,orig_simpl_obj,185
11_0.2_15-35,15,0.2,orig_minAB_obj,198
11_0.2_15-35,15,0.2,orig_simpl_obj,174
11_0.2_15-36,15,0.2,orig_minAB_obj,231
11_0.2_15-36,15,0.2,orig_simpl_obj,275
11_0.2_15-37,15,0.2,orig_minAB_obj,130
11_0.2_15-37,15,0.2,orig_simpl_obj,264
11_0.2_15-38,15,0.2,orig_minAB_obj,137
11_0.2_15-38,15,0.2,orig_simpl_obj,162
11_0.2_15-39,15,0.2,orig_minAB_obj,200
11_0.2_15-39,15,0.2,orig_simpl_obj,141
11_0.2_15-40,15,0.2,orig_minAB_obj,248
11_0.2_15-40,15,0.2,orig_simpl_obj,261
11_0.2_15-41,15,0.2,orig_minAB_obj,224
11_0.2_15-41,15,0.2,orig_simpl_obj,238
11_0.2_15-42,15,0.2,orig_minAB_obj,311
11_0.2_15-42,15,0.2,orig_simpl_obj,313
11_0.2_15-43,15,0.2,orig_minAB_obj,158
11_0.2_15-43,15,0.2,orig_simpl_obj,199
11_0.2_15-44,15,0.2,orig_minAB_obj,177
11_0.2_15-44,15,0.2,orig_simpl_obj,136
11_0.2_15-45,15,0.2,orig_minAB_obj,227
11_0.2_15-45,15,0.2,orig_simpl_obj,232
11_0.2_15-46,15,0.2,orig_minAB_obj,336
11_0.2_15-46,15,0.2,orig_simpl_obj,393
11_0.2_15-47,15,0.2,orig_minAB_obj,353
11_0.2_15-47,15,0.2,orig_simpl_obj,285
11_0.2_15-48,15,0.2,orig_minAB_obj,177
11_0.2_15-48,15,0.2,orig_simpl_obj,213
11_0.2_15-49,15,0.2,orig_minAB_obj,175
11_0.2_15-49,15,0.2,orig_simpl_obj,145
12_0.2_15-0,15,0.2,orig_minAB_obj,394
12_0.2_15-0,15,0.2,orig_simpl_obj,394
12_0.2_15-1,15,0.2,orig_minAB_obj,133
12_0.2_15-1,15,0.2,orig_simpl_obj,106
