experiment, n, M, L, tMIP, tDD_toA, tDD_toB, tDD_VS, int_toA, int_toB, int_VS
1, 5, 5, 0.25, 0.27, 0.25, 0.25, 0.26, 139, 225, 217
2, 6, 5, 0.25, 0.21, 0.32, 0.31, 0.31, 286, 291, 351
3, 7, 5, 0.25, 0.41, 0.37, 0.39, 0.37, 323, 331, 843
4, 8, 5, 0.25, 0.45, 0.49, 0.70, 0.47, 1126, 3711, 1005
5, 9, 5, 0.25, 0.28, 0.58, 0.85, 0.60, 2410, 5057, 2718
6, 10, 5, 0.25, 0.35, 1.06, 1.22, 0.74, 6279, 6171, 6755
7, 11, 5, 0.25, 0.53, 3.25, 1.64, 0.92, 30747, 15219, 8023
8, 12, 5, 0.25, 0.57, 8.36, 11.11, 1.63, 72026, 50943, 56319
9, 13, 5, 0.25, 2.54, 2.66, 3.63, 1.41, 5359, 13613, 41263
10, 14, 5, 0.25, 5.67, 5.51, 14.68, 1.79, 77815, 263007, 25975
11, 5, 5, 0.25, 0.05, 0.25, 0.25, 0.26, 131, 103, 110
12, 6, 5, 0.25, 0.17, 0.26, 0.26, 0.26, 249, 227, 195
13, 7, 5, 0.25, 0.36, 0.40, 0.45, 0.38, 695, 799, 559
14, 8, 5, 0.25, 0.57, 0.47, 0.55, 0.50, 685, 2215, 957
15, 9, 5, 0.25, 0.70, 0.51, 0.49, 0.52, 1739, 1655, 735
16, 10, 5, 0.25, 0.89, 2.80, 1.44, 0.97, 37807, 7657, 7960
17, 11, 5, 0.25, 0.68, 1.93, 2.00, 1.04, 8925, 12087, 22679
18, 12, 5, 0.25, 3.94, 2.46, 6.69, 1.08, 33519, 63232, 13340
19, 13, 5, 0.25, 0.17, 10.57, 3.13, 2.15, 64887, 43138, 29330
20, 14, 5, 0.25, 18.78, 9.83, 40.23, 2.00, 60755, 346771, 54655
21, 5, 5, 0.25, 0.16, 0.28, 0.29, 0.28, 189, 155, 189
22, 6, 5, 0.25, 0.11, 0.29, 0.29, 0.28, 139, 163, 131
23, 7, 5, 0.25, 0.14, 0.38, 0.39, 0.38, 329, 425, 231
24, 8, 5, 0.25, 0.45, 0.55, 0.69, 0.50, 1423, 3467, 1572
25, 9, 5, 0.25, 1.57, 1.22, 0.70, 0.61, 4855, 3903, 2827
26, 10, 5, 0.25, 1.63, 1.01, 0.68, 0.61, 5353, 3487, 2759
27, 11, 5, 0.25, 0.86, 0.64, 0.66, 0.80, 2223, 2699, 1371
28, 12, 5, 0.25, 4.86, 20.25, 6.92, 2.00, 197239, 48615, 22087
29, 13, 5, 0.25, 3.30, 6.90, 34.78, 2.87, 62631, 71254, 132431
30, 14, 5, 0.25, 4.57, 22.83, 28.33, 1.75, 385059, 456235, 27499
31, 5, 5, 0.25, 0.21, 0.22, 0.22, 0.22, 87, 95, 71
32, 6, 5, 0.25, 0.21, 0.31, 0.31, 0.31, 323, 353, 251
33, 7, 5, 0.25, 0.22, 0.40, 0.39, 0.39, 735, 823, 919
34, 8, 5, 0.25, 0.70, 0.54, 0.42, 0.42, 2863, 1034, 562
35, 9, 5, 0.25, 0.32, 0.73, 0.62, 0.52, 3431, 2711, 1851
36, 10, 5, 0.25, 0.72, 0.70, 0.60, 0.61, 5193, 1777, 815
37, 11, 5, 0.25, 1.67, 0.69, 1.13, 0.80, 4407, 10511, 2335
38, 12, 5, 0.25, 2.88, 3.71, 6.03, 1.14, 43887, 34131, 18911
39, 13, 5, 0.25, 1.20, 4.52, 4.81, 1.94, 46959, 21751, 84287
40, 14, 5, 0.25, 6.16, 25.06, 31.26, 3.34, 178079, 110798, 59431
41, 5, 5, 0.25, 0.11, 0.26, 0.26, 0.26, 97, 83, 97
42, 6, 5, 0.25, 0.27, 0.31, 0.33, 0.32, 228, 579, 214
43, 7, 5, 0.25, 0.23, 0.37, 0.35, 0.36, 463, 362, 255
44, 8, 5, 0.25, 1.47, 0.58, 0.53, 0.47, 1815, 1519, 1943
45, 9, 5, 0.25, 0.32, 0.77, 0.55, 0.51, 6223, 1551, 831
46, 10, 5, 0.25, 2.68, 0.90, 0.69, 0.69, 2019, 2602, 4751
47, 11, 5, 0.25, 0.34, 0.86, 0.80, 0.65, 4201, 6571, 1521
48, 12, 5, 0.25, 0.75, 4.63, 7.44, 1.07, 64533, 91893, 10571
49, 13, 5, 0.25, 2.41, 2.70, 4.88, 1.41, 22459, 36959, 42897
