experiment, n, M, L, tMIP, tDD_toA, tDD_toB, tDD_VS, int_toA, int_toB, int_VS
Set parameter TokenServer to value "license8.clemson.edu"
1, 15, 5, 0.25, 25.42, 196.29, 121.24, 11.56, 534895, 110649, 169591
2, 16, 5, 0.25, 25.67, 1061.97, 340.49, 75.00, 2986875, 482898, 3047327
3, 17, 5, 0.25, 78.32, 252.35, 1189.16, 15.99, 233087, 2116891, 458971
4, 15, 5, 0.25, 22.16, 69.00, 27.43, 6.80, 249919, 125167, 109075
5, 16, 5, 0.25, 34.05, 319.83, 186.98, 23.86, 609923, 308895, 784304
6, 17, 5, 0.25, 34.67, 859.49, 258.49, 40.68, 2167399, 118961, 1277255
7, 15, 5, 0.25, 37.00, 86.03, 72.43, 8.84, 375211, 297807, 61903
8, 16, 5, 0.25, 9.70, 128.52, 320.51, 10.96, 454080, 1283087, 139919
9, 17, 5, 0.25, 33.55, 344.50, 3189.45, 11.36, 849119, 4832831, 145991
10, 15, 5, 0.25, 29.34, 9.97, 35.57, 4.70, 21385, 156447, 52885
11, 16, 5, 0.25, 8.52, 231.99, 93.01, 13.11, 835319, 232183, 346319
12, 17, 5, 0.25, 58.24, 220.60, 263.89, 14.94, 211227, 997342, 231311
13, 15, 5, 0.25, 41.43, 145.41, 147.85, 10.31, 680831, 144922, 114227
14, 16, 5, 0.25, 21.58, 118.43, 113.58, 20.66, 427623, 177829, 640575
15, 17, 5, 0.25, 32.26, 85.22, 397.00, 10.55, 238407, 2201813, 80409
16, 15, 5, 0.25, 23.00, 120.85, 155.65, 6.81, 485585, 213692, 132817
17, 16, 5, 0.25, 31.42, 167.35, 273.85, 9.57, 881511, 681167, 91719
18, 17, 5, 0.25, 36.89, 125.16, 88.72, 10.27, 260135, 373727, 115255
19, 15, 5, 0.25, 20.31, 28.11, 400.00, 8.12, 107807, 321247, 94688
20, 16, 5, 0.25, 21.60, 95.38, 92.61, 9.50, 455887, 326373, 43141
21, 17, 5, 0.25, 27.49, 212.65, 181.94, 7.38, 270327, 256583, 112209
22, 15, 5, 0.25, 91.20, 21.16, 38.04, 4.15, 77629, 131984, 53415
23, 16, 5, 0.25, 31.49, 133.59, 24.38, 7.74, 236455, 37871, 139791
24, 17, 5, 0.25, 18.97, 1227.55, 1252.07, 137.97, 3197423, 1792255, 5759567
25, 15, 5, 0.25, 35.11, 111.88, 774.70, 14.38, 344287, 3031545, 387263
26, 16, 5, 0.25, 10.51, 77.63, 422.71, 12.98, 236135, 760020, 279295
27, 17, 5, 0.25, 30.53, 1113.55, 140.54, 25.52, 802911, 335903, 688799
28, 15, 5, 0.25, 13.68, 541.43, 180.55, 16.91, 1218271, 397377, 397743
