experiment, n, M, L, tMIP, tMIP_CPP, tDD_toA, tDD_toB, tDD_VS, int_toA, int_toB, int_VS
Set parameter Username
1, 5, 5, 0.25, 0.23, 0.28, 0.29, 0.30, 0.30, 121, 155, 153
2, 6, 5, 0.25, 0.35, 0.37, 0.38, 0.37, 0.37, 460, 298, 322
3, 7, 5, 0.25, 0.25, 0.37, 0.38, 0.39, 0.39, 519, 653, 413
4, 8, 5, 0.25, 0.34, 0.48, 0.96, 0.81, 0.65, 3046, 419, 4804
5, 9, 5, 0.25, 0.63, 0.49, 1.07, 0.84, 0.66, 5545, 3651, 1863
6, 10, 5, 0.25, 1.15, 0.60, 1.39, 0.84, 0.91, 17771, 3891, 2155
7, 11, 5, 0.25, 0.50, 0.58, 1.19, 0.80, 0.91, 8735, 3295, 1069
8, 12, 5, 0.25, 3.59, 0.66, 1.11, 1.39, 1.01, 4279, 5455, 3839
9, 13, 5, 0.25, 8.43, 0.81, 8.52, 19.42, 2.38, 85241, 98127, 58475
10, 14, 5, 0.25, 3.37, 0.79, 3.60, 7.93, 2.55, 22095, 18883, 47735
11, 15, 5, 0.25, 3.35, 0.84, 31.67, 8.29, 3.54, 146783, 39891, 93183
12, 5, 5, 0.25, 0.17, 0.29, 0.36, 0.30, 0.27, 171, 131, 171
13, 6, 5, 0.25, 0.34, 0.35, 0.33, 0.33, 0.37, 255, 115, 255
14, 7, 5, 0.25, 0.52, 0.45, 0.40, 0.41, 0.43, 447, 575, 511
15, 8, 5, 0.25, 0.27, 0.39, 0.48, 0.47, 0.48, 1837, 1615, 1323
16, 9, 5, 0.25, 3.39, 0.47, 0.72, 0.69, 0.61, 5207, 4607, 2018
17, 10, 5, 0.25, 0.78, 0.51, 1.37, 1.01, 0.69, 8703, 3637, 3649
18, 11, 5, 0.25, 0.56, 0.59, 1.03, 4.00, 1.15, 8501, 47527, 3087
19, 12, 5, 0.25, 3.90, 0.68, 1.44, 2.04, 2.86, 8833, 21735, 3315
20, 13, 5, 0.25, 1.54, 0.69, 5.92, 28.95, 1.62, 30031, 165035, 33354
21, 14, 5, 0.25, 4.85, 0.77, 10.93, 31.60, 2.67, 75707, 281859, 93454
22, 15, 5, 0.25, 7.97, 0.83, 85.82, 39.90, 8.78, 187607, 315071, 555263
23, 5, 5, 0.25, 0.20, 0.25, 0.26, 0.25, 0.26, 60, 61, 127
