instance,num_type,value,comment
-1,legend,simpl_minAB,Best of A and B
-1,legend,simpl_gswaps,Greedy swaps
-1,legend,simpl_5random,Best/five random orders
-1,legend,simpl_gsifts_1p,Greedy sifts (one pass)
-1,legend,simpl_gsifts_2p,Greedy sifts (two passes)
-1,legend,simpl_gsifts_inf,Greedy sifts (all)
-1,legend,orig_simpl,Simplified problem
-1,legend,orig_gsifts1p,Greedy BDD sifts (one pass)
-1,legend,orig_bestAB,Best of A and B
-1,legend,orig_5random,Best of five random orders
-1,legend,simpl_BB,Branch-and-bound
0,simpl_opt_status,0,optimal
0,simpl_BB_time,0.00783228874206543,--none--
0,simpl_BB_obj,151,--none--
0,simpl_minAB_time,0.00010657310485839844,--none--
0,simpl_minAB_obj,159,--none--
0,simpl_gswaps_time,0.006942272186279297,--none--
0,simpl_gswaps_obj,151,--none--
0,simpl_5random_time,0.0007052421569824219,--none--
0,simpl_5random_obj,492,--none--
0,simpl_gsifts_1p_time,0.017390966415405273,--none--
0,simpl_gsifts_1p_obj,154,--none--
0,simpl_gsifts_2p_time,0.03629040718078613,--none--
0,simpl_gsifts_2p_obj,151,--none--
0,simpl_gsifts_inf_time,0.05148601531982422,--none--
0,simpl_gsifts_inf_obj,151,--none--
0,orig_simpl_time,0.011085748672485352,--none--
0,orig_simpl_obj,90,--none--
0,orig_gsifts1p_time,0.03366374969482422,--none--
0,orig_gsifts1p_obj,87,--none--
0,orig_bestAB_time,0.003319978713989258,--none--
0,orig_bestAB_obj,87,--none--
0,orig_5random_time,0.017572641372680664,--none--
0,orig_5random_obj,117,--none--
100,simpl_opt_status,0,optimal
100,simpl_BB_time,0.01960611343383789,--none--
100,simpl_BB_obj,176,--none--
100,simpl_minAB_time,0.00010538101196289062,--none--
100,simpl_minAB_obj,198,--none--
100,simpl_gswaps_time,0.004980564117431641,--none--
100,simpl_gswaps_obj,181,--none--
100,simpl_5random_time,0.0007073879241943359,--none--
100,simpl_5random_obj,400,--none--
100,simpl_gsifts_1p_time,0.017124652862548828,--none--
100,simpl_gsifts_1p_obj,183,--none--
100,simpl_gsifts_2p_time,0.0342707633972168,--none--
100,simpl_gsifts_2p_obj,179,--none--
100,simpl_gsifts_inf_time,0.06766676902770996,--none--
100,simpl_gsifts_inf_obj,176,--none--
100,orig_simpl_time,0.02219676971435547,--none--
100,orig_simpl_obj,129,--none--
100,orig_gsifts1p_time,0.04002094268798828,--none--
100,orig_gsifts1p_obj,129,--none--
100,orig_bestAB_time,0.0035219192504882812,--none--
100,orig_bestAB_obj,140,--none--
100,orig_5random_time,0.02295827865600586,--none--
100,orig_5random_obj,187,--none--
101,simpl_opt_status,0,optimal
101,simpl_BB_time,0.01264190673828125,--none--
101,simpl_BB_obj,255,--none--
101,simpl_minAB_time,0.00010347366333007812,--none--
101,simpl_minAB_obj,387,--none--
101,simpl_gswaps_time,0.0017158985137939453,--none--
101,simpl_gswaps_obj,387,--none--
101,simpl_5random_time,0.0007786750793457031,--none--
101,simpl_5random_obj,1058,--none--
101,simpl_gsifts_1p_time,0.0210723876953125,--none--
101,simpl_gsifts_1p_obj,303,--none--
101,simpl_gsifts_2p_time,0.03406476974487305,--none--
101,simpl_gsifts_2p_obj,265,--none--
101,simpl_gsifts_inf_time,0.08650898933410645,--none--
101,simpl_gsifts_inf_obj,255,--none--
101,orig_simpl_time,0.015978574752807617,--none--
101,orig_simpl_obj,178,--none--
101,orig_gsifts1p_time,0.05710792541503906,--none--
101,orig_gsifts1p_obj,147,--none--
101,orig_bestAB_time,0.005725860595703125,--none--
101,orig_bestAB_obj,154,--none--
101,orig_5random_time,0.031022071838378906,--none--
101,orig_5random_obj,252,--none--
10,simpl_opt_status,0,optimal
10,simpl_BB_time,0.01465296745300293,--none--
10,simpl_BB_obj,191,--none--
10,simpl_minAB_time,0.00010395050048828125,--none--
10,simpl_minAB_obj,458,--none--
10,simpl_gswaps_time,0.01824951171875,--none--
10,simpl_gswaps_obj,193,--none--
10,simpl_5random_time,0.0007467269897460938,--none--
10,simpl_5random_obj,702,--none--
10,simpl_gsifts_1p_time,0.0171816349029541,--none--
10,simpl_gsifts_1p_obj,306,--none--
10,simpl_gsifts_2p_time,0.03405570983886719,--none--
10,simpl_gsifts_2p_obj,236,--none--
10,simpl_gsifts_inf_time,0.10221552848815918,--none--
10,simpl_gsifts_inf_obj,191,--none--
10,orig_simpl_time,0.017235755920410156,--none--
10,orig_simpl_obj,119,--none--
10,orig_gsifts1p_time,0.037647247314453125,--none--
10,orig_gsifts1p_obj,96,--none--
10,orig_bestAB_time,0.004004955291748047,--none--
10,orig_bestAB_obj,103,--none--
10,orig_5random_time,0.021264076232910156,--none--
10,orig_5random_obj,166,--none--
11,simpl_opt_status,0,optimal
11,simpl_BB_time,0.011798381805419922,--none--
11,simpl_BB_obj,173,--none--
11,simpl_minAB_time,0.00010228157043457031,--none--
11,simpl_minAB_obj,340,--none--
11,simpl_gswaps_time,0.007330656051635742,--none--
11,simpl_gswaps_obj,194,--none--
11,simpl_5random_time,0.0007486343383789062,--none--
11,simpl_5random_obj,368,--none--
11,simpl_gsifts_1p_time,0.017031431198120117,--none--
11,simpl_gsifts_1p_obj,208,--none--
11,simpl_gsifts_2p_time,0.03371787071228027,--none--
11,simpl_gsifts_2p_obj,189,--none--
11,simpl_gsifts_inf_time,0.1202096939086914,--none--
11,simpl_gsifts_inf_obj,173,--none--
11,orig_simpl_time,0.01413106918334961,--none--
11,orig_simpl_obj,117,--none--
11,orig_gsifts1p_time,0.030421972274780273,--none--
11,orig_gsifts1p_obj,76,--none--
11,orig_bestAB_time,0.0032813549041748047,--none--
11,orig_bestAB_obj,82,--none--
11,orig_5random_time,0.017276287078857422,--none--
11,orig_5random_obj,139,--none--
12,simpl_opt_status,0,optimal
12,simpl_BB_time,0.010720968246459961,--none--
12,simpl_BB_obj,232,--none--
12,simpl_minAB_time,0.00010371208190917969,--none--
12,simpl_minAB_obj,390,--none--
12,simpl_gswaps_time,0.0033223628997802734,--none--
12,simpl_gswaps_obj,318,--none--
12,simpl_5random_time,0.0007097721099853516,--none--
12,simpl_5random_obj,946,--none--
12,simpl_gsifts_1p_time,0.017092466354370117,--none--
12,simpl_gsifts_1p_obj,306,--none--
12,simpl_gsifts_2p_time,0.03399777412414551,--none--
12,simpl_gsifts_2p_obj,266,--none--
12,simpl_gsifts_inf_time,0.10232067108154297,--none--
12,simpl_gsifts_inf_obj,232,--none--
12,orig_simpl_time,0.014033794403076172,--none--
12,orig_simpl_obj,169,--none--
12,orig_gsifts1p_time,0.053807973861694336,--none--
12,orig_gsifts1p_obj,158,--none--
12,orig_bestAB_time,0.005418539047241211,--none--
12,orig_bestAB_obj,171,--none--
12,orig_5random_time,0.029321670532226562,--none--
12,orig_5random_obj,222,--none--
13,simpl_opt_status,0,optimal
13,simpl_BB_time,0.021696090698242188,--none--
13,simpl_BB_obj,190,--none--
13,simpl_minAB_time,0.00010371208190917969,--none--
13,simpl_minAB_obj,325,--none--
13,simpl_gswaps_time,0.0050678253173828125,--none--
13,simpl_gswaps_obj,317,--none--
13,simpl_5random_time,0.0007023811340332031,--none--
13,simpl_5random_obj,266,--none--
13,simpl_gsifts_1p_time,0.01793360710144043,--none--
13,simpl_gsifts_1p_obj,199,--none--
13,simpl_gsifts_2p_time,0.03507113456726074,--none--
13,simpl_gsifts_2p_obj,191,--none--
13,simpl_gsifts_inf_time,0.07081723213195801,--none--
13,simpl_gsifts_inf_obj,190,--none--
13,orig_simpl_time,0.024090290069580078,--none--
13,orig_simpl_obj,109,--none--
13,orig_gsifts1p_time,0.036507368087768555,--none--
13,orig_gsifts1p_obj,94,--none--
13,orig_bestAB_time,0.004462718963623047,--none--
13,orig_bestAB_obj,96,--none--
13,orig_5random_time,0.017943382263183594,--none--
13,orig_5random_obj,125,--none--
14,simpl_opt_status,0,optimal
14,simpl_BB_time,0.008000373840332031,--none--
14,simpl_BB_obj,246,--none--
14,simpl_minAB_time,0.00010561943054199219,--none--
14,simpl_minAB_obj,268,--none--
14,simpl_gswaps_time,0.009966611862182617,--none--
14,simpl_gswaps_obj,246,--none--
14,simpl_5random_time,0.0007147789001464844,--none--
14,simpl_5random_obj,535,--none--
14,simpl_gsifts_1p_time,0.017263412475585938,--none--
14,simpl_gsifts_1p_obj,247,--none--
14,simpl_gsifts_2p_time,0.03403735160827637,--none--
14,simpl_gsifts_2p_obj,246,--none--
14,simpl_gsifts_inf_time,0.053008317947387695,--none--
14,simpl_gsifts_inf_obj,246,--none--
14,orig_simpl_time,0.010720968246459961,--none--
14,orig_simpl_obj,116,--none--
14,orig_gsifts1p_time,0.041056156158447266,--none--
14,orig_gsifts1p_obj,101,--none--
14,orig_bestAB_time,0.004422426223754883,--none--
14,orig_bestAB_obj,104,--none--
14,orig_5random_time,0.024672508239746094,--none--
14,orig_5random_obj,214,--none--
15,simpl_opt_status,0,optimal
15,simpl_BB_time,0.021402835845947266,--none--
15,simpl_BB_obj,114,--none--
15,simpl_minAB_time,0.0001556873321533203,--none--
15,simpl_minAB_obj,314,--none--
15,simpl_gswaps_time,0.013133049011230469,--none--
15,simpl_gswaps_obj,123,--none--
15,simpl_5random_time,0.0006890296936035156,--none--
15,simpl_5random_obj,574,--none--
15,simpl_gsifts_1p_time,0.01738429069519043,--none--
15,simpl_gsifts_1p_obj,131,--none--
15,simpl_gsifts_2p_time,0.03496813774108887,--none--
15,simpl_gsifts_2p_obj,123,--none--
15,simpl_gsifts_inf_time,0.08737349510192871,--none--
15,simpl_gsifts_inf_obj,114,--none--
15,orig_simpl_time,0.0232696533203125,--none--
15,orig_simpl_obj,94,--none--
15,orig_gsifts1p_time,0.032489776611328125,--none--
15,orig_gsifts1p_obj,74,--none--
15,orig_bestAB_time,0.002725362777709961,--none--
15,orig_bestAB_obj,77,--none--
15,orig_5random_time,0.01703166961669922,--none--
15,orig_5random_obj,105,--none--
16,simpl_opt_status,0,optimal
16,simpl_BB_time,0.010339975357055664,--none--
16,simpl_BB_obj,192,--none--
16,simpl_minAB_time,0.00010752677917480469,--none--
16,simpl_minAB_obj,217,--none--
16,simpl_gswaps_time,0.008251428604125977,--none--
16,simpl_gswaps_obj,197,--none--
16,simpl_5random_time,0.0007023811340332031,--none--
16,simpl_5random_obj,658,--none--
