N,instance,num_type,value,comment
-1,-1,legend,orig_simpl,Simplified problem-based
-1,-1,legend,orig_gsifts1p,Greedy sifts
7,0,simpl_opt_status,0,optimal
7,0,orig_simpl_time,0.010371208190917969,--none--
7,0,orig_simpl_obj,68,--none--
7,0,gsifts_status,aligned,--none--
7,0,orig_gsifts1p_time,0.016013383865356445,--none--
7,0,orig_gsifts1p_obj,65,--none--
6,1,simpl_opt_status,0,optimal
6,1,orig_simpl_time,0.006849765777587891,--none--
6,1,orig_simpl_obj,33,--none--
6,1,gsifts_status,aligned,--none--
6,1,orig_gsifts1p_time,0.007525205612182617,--none--
6,1,orig_gsifts1p_obj,31,--none--
5,2,simpl_opt_status,0,optimal
5,2,orig_simpl_time,0.004559755325317383,--none--
5,2,orig_simpl_obj,20,--none--
5,2,gsifts_status,aligned,--none--
5,2,orig_gsifts1p_time,0.004220724105834961,--none--
5,2,orig_gsifts1p_obj,19,--none--
