instance,num_type,step,LB,UB,comment
88,steplog,10,56,95,--none--
88,steplog,20,65,88,--none--
88,steplog,30,79,79,--none--
88,steplog,31,79,79,status:optimal
88,timelog,31,0.10288882255554199,0,--none--
89,steplog,10,178,284,--none--
89,steplog,20,204,260,--none--
89,steplog,30,242,244,--none--
89,steplog,33,244,244,status:optimal
89,timelog,33,0.09941577911376953,0,--none--
8,steplog,10,255,301,--none--
8,steplog,20,255,301,--none--
8,steplog,30,301,301,--none--
8,steplog,31,301,301,status:optimal
8,timelog,31,0.10825467109680176,0,--none--
90,steplog,10,203,252,--none--
90,steplog,20,250,250,--none--
90,steplog,21,250,250,status:optimal
90,timelog,21,0.1168212890625,0,--none--
91,steplog,10,208,301,--none--
91,steplog,20,208,287,--none--
91,steplog,30,237,281,--none--
91,steplog,38,267,267,status:optimal
91,timelog,38,0.15169692039489746,0,--none--
92,steplog,10,251,465,--none--
92,steplog,20,391,412,--none--
92,steplog,29,412,412,status:optimal
92,timelog,29,0.13169407844543457,0,--none--
93,steplog,10,147,271,--none--
93,steplog,20,185,233,--none--
93,steplog,30,202,230,--none--
93,steplog,40,223,230,--none--
93,steplog,46,230,230,status:optimal
93,timelog,46,0.15168094635009766,0,--none--
