instance,num_type,step,LB,UB,comment
2650,steplog,10,155,633,--none--
2650,steplog,20,155,375,--none--
2650,steplog,30,155,373,--none--
2650,steplog,40,155,364,--none--
2650,steplog,50,155,345,--none--
2650,steplog,60,155,334,--none--
2650,steplog,70,155,334,--none--
2650,steplog,80,155,328,--none--
2650,steplog,90,155,326,--none--
2650,steplog,100,155,318,--none--
2650,steplog,110,204,318,--none--
2650,steplog,120,204,318,--none--
2650,steplog,130,204,318,--none--
2650,steplog,140,223,312,--none--
2650,steplog,150,281,306,--none--
2650,steplog,160,292,305,--none--
2650,steplog,170,296,296,--none--
2650,steplog,172,296,296,status:optimal
2650,timelog,172,0.5198378562927246,0,--none--
2651,steplog,10,849,2654,--none--
2651,steplog,20,849,2614,--none--
2651,steplog,30,849,2560,--none--
2651,steplog,40,849,2552,--none--
2651,steplog,50,849,2552,--none--
2651,steplog,60,849,2360,--none--
2651,steplog,70,849,2336,--none--
2651,steplog,80,849,2336,--none--
2651,steplog,90,849,2326,--none--
2651,steplog,100,849,2306,--none--
2651,steplog,110,849,2306,--none--
2651,steplog,120,849,2298,--none--
2651,steplog,130,1234,2068,--none--
2651,steplog,140,1234,2068,--none--
2651,steplog,150,1234,1956,--none--
2651,steplog,160,1234,1904,--none--
2651,steplog,170,1234,1902,--none--
2651,steplog,180,1234,1894,--none--
2651,steplog,190,1234,1894,--none--
2651,steplog,200,1234,1894,--none--
2651,steplog,210,1234,1894,--none--
2651,steplog,220,1422,1880,--none--
2651,steplog,230,1422,1872,--none--
2651,steplog,240,1422,1842,--none--
2651,steplog,250,1422,1834,--none--
2651,steplog,260,1422,1834,--none--
2651,steplog,270,1422,1834,--none--
2651,steplog,280,1630,1834,--none--
2651,steplog,290,1630,1834,--none--
2651,steplog,300,1700,1826,--none--
2651,steplog,310,1743,1826,--none--
2651,steplog,320,1816,1818,--none--
2651,steplog,324,1818,1818,status:optimal
2651,timelog,324,0.8106832504272461,0,--none--
2652,steplog,10,582,3707,--none--
2652,steplog,20,582,3707,--none--
2652,steplog,30,582,3666,--none--
2652,steplog,40,582,3666,--none--
2652,steplog,50,582,3662,--none--
2652,steplog,60,582,3658,--none--
2652,steplog,70,1188,2277,--none--
2652,steplog,80,1188,2277,--none--
2652,steplog,90,1188,2236,--none--
2652,steplog,100,1188,2236,--none--
2652,steplog,110,1188,2233,--none--
2652,steplog,120,1188,2229,--none--
2652,steplog,130,1796,2228,--none--
2652,steplog,140,1796,2228,--none--
2652,steplog,150,1796,2197,--none--
2652,steplog,160,1796,2197,--none--
2652,steplog,170,1796,2193,--none--
2652,steplog,180,1796,2190,--none--
2652,steplog,190,1796,2078,--none--
2652,steplog,200,1997,2037,--none--
2652,steplog,210,1997,2037,--none--
2652,steplog,220,2015,2037,--none--
2652,steplog,230,2025,2029,--none--
2652,steplog,237,2029,2029,status:optimal
2652,timelog,237,0.5478785037994385,0,--none--
2653,steplog,10,628,1585,--none--
2653,steplog,20,628,1452,--none--
2653,steplog,30,628,1452,--none--
2653,steplog,40,628,1191,--none--
2653,steplog,50,628,1172,--none--
2653,steplog,60,628,1072,--none--
2653,steplog,70,628,1060,--none--
2653,steplog,80,628,1028,--none--
2653,steplog,90,628,1028,--none--
2653,steplog,100,807,1028,--none--
2653,steplog,110,807,1028,--none--
2653,steplog,120,1007,1028,--none--
