instance,num_type,value,comment
1551,simpl_opt_status,0,optimal
1551,simpl_BB_time,0.3844597339630127,--none--
1551,simpl_BB_obj,732,--none--
1551,simpl_minAB_time,0.00018405914306640625,--none--
1551,simpl_minAB_obj,4307,--none--
1551,simpl_gswaps_time,0.058095455169677734,--none--
1551,simpl_gswaps_obj,1375,--none--
1551,simpl_5random_time,0.0018546581268310547,--none--
1551,simpl_5random_obj,19474,--none--
1551,simpl_gsifts_1p_time,0.17625164985656738,--none--
1551,simpl_gsifts_1p_obj,1421,--none--
1551,simpl_gsifts_2p_time,0.2970595359802246,--none--
1551,simpl_gsifts_2p_obj,1051,--none--
1551,simpl_gsifts_3p_time,0.4805490970611572,--none--
1551,simpl_gsifts_3p_obj,886,--none--
1551,orig_simpl_time,0.4309837818145752,--none--
1551,orig_simpl_obj,264,--none--
1551,orig_gsifts1p_time,1.0823054313659668,--none--
1551,orig_gsifts1p_obj,780,--none--
1551,orig_bestAB_time,0.08753561973571777,--none--
1551,orig_bestAB_obj,1142,--none--
1551,orig_5random_time,0.37131714820861816,--none--
1551,orig_5random_obj,1568,--none--
1552,simpl_opt_status,0,optimal
1552,simpl_BB_time,0.45784449577331543,--none--
1552,simpl_BB_obj,937,--none--
1552,simpl_minAB_time,0.0001804828643798828,--none--
1552,simpl_minAB_obj,1392,--none--
1552,simpl_gswaps_time,0.1464083194732666,--none--
1552,simpl_gswaps_obj,990,--none--
1552,simpl_5random_time,0.0015683174133300781,--none--
1552,simpl_5random_obj,8120,--none--
1552,simpl_gsifts_1p_time,0.1639251708984375,--none--
1552,simpl_gsifts_1p_obj,1161,--none--
1552,simpl_gsifts_2p_time,0.3045170307159424,--none--
1552,simpl_gsifts_2p_obj,1069,--none--
1552,simpl_gsifts_3p_time,0.4589996337890625,--none--
1552,simpl_gsifts_3p_obj,1011,--none--
1552,orig_simpl_time,0.5065712928771973,--none--
1552,orig_simpl_obj,415,--none--
1552,orig_gsifts1p_time,1.0283465385437012,--none--
1552,orig_gsifts1p_obj,537,--none--
1552,orig_bestAB_time,0.05839943885803223,--none--
1552,orig_bestAB_obj,738,--none--
1552,orig_5random_time,0.7264819145202637,--none--
1552,orig_5random_obj,3222,--none--
1553,simpl_opt_status,0,optimal
1553,simpl_BB_time,0.6251785755157471,--none--
1553,simpl_BB_obj,1339,--none--
1553,simpl_minAB_time,0.000164031982421875,--none--
1553,simpl_minAB_obj,5740,--none--
1553,simpl_gswaps_time,0.1588573455810547,--none--
1553,simpl_gswaps_obj,3404,--none--
1553,simpl_5random_time,0.013776779174804688,--none--
1553,simpl_5random_obj,2796,--none--
1553,simpl_gsifts_1p_time,0.16292405128479004,--none--
