n, instance, PREORDER, color_size, cover_size, int_size, int_cov2col_size, int_col2cov_size, int_cov2col_gsifts, int_col2cov_gsifts, plain_MIP_vars, plain_MIP_constrs, exp_time
17, 0-0, True, 121, 234, 244, 402, 236, 235, 237, 17, 19, 6.8
17, 0-0, False, 118, 236, 406, 6743, 236, 235, 235, 17, 19, 27.9
17, 0-1, True, 61, 163, 310, 536, 298, 282, 288, 17, 26, 5.9
17, 0-1, False, 61, 164, 463, 6783, 298, 282, 283, 17, 26, 21.7
17, 0-2, True, 56, 297, 564, 2239, 513, 401, 380, 17, 22, 12.0
17, 0-2, False, 57, 294, 659, 3208, 513, 401, 377, 17, 22, 27.3
17, 0-3, True, 30, 110, 198, 253, 174, 169, 169, 17, 26, 4.2
17, 0-3, False, 30, 110, 255, 2851, 174, 169, 169, 17, 26, 13.7
17, 0-4, True, 67, 270, 633, 1439, 803, 600, 627, 17, 23, 8.9
17, 0-4, False, 59, 291, 993, 3115, 803, 600, 620, 17, 23, 22.3
17, 0-5, True, 45, 236, 188, 260, 184, 182, 186, 17, 24, 5.9
17, 0-5, False, 44, 247, 233, 1394, 184, 182, 184, 17, 24, 15.9
17, 0-6, True, 69, 239, 600, 862, 596, 584, 584, 17, 22, 6.8
17, 0-6, False, 68, 240, 649, 1720, 596, 584, 587, 17, 22, 15.0
17, 0-7, True, 116, 389, 862, 1377, 855, 913, 879, 17, 22, 9.5
17, 0-7, False, 108, 408, 981, 3280, 855, 913, 896, 17, 22, 24.1
17, 0-8, True, 80, 243, 214, 323, 210, 202, 202, 17, 20, 7.3
17, 0-8, False, 83, 250, 587, 4489, 210, 202, 206, 17, 20, 27.4
17, 0-9, True, 74, 385, 673, 1934, 613, 585, 568, 17, 22, 13.2
17, 0-9, False, 81, 400, 925, 6329, 613, 585, 576, 17, 22, 36.4

