INST_NO,MIN_I_OPT,PROCESSING_TIME
1,0,46.424301862716675
2,1,27.77250051498413
3,3,50.830689668655396
4,0,34.228002309799194
5,1,47.62377667427063
6,6,39.491663217544556
7,6,41.61412310600281
8,4,53.031217098236084
9,3,46.68506145477295
10,0,51.88722085952759
11,1,47.38705515861511
12,3,48.7866849899292
13,7,60.22812604904175
14,4,52.96726059913635
15,7,32.60322976112366
16,2,33.46528601646423
17,10,60.89612531661987
18,0,40.95886826515198
19,7,34.60066628456116
20,0,53.24725151062012
21,3,46.512372732162476
22,0,48.930198431015015
23,3,44.01133370399475
24,2,52.41127896308899
25,3,60.56174969673157
26,7,61.13786482810974
27,3,38.25510787963867
28,8,40.83682990074158
29,7,48.0824089050293
30,2,27.021749258041382
31,6,44.21387720108032
32,7,31.776649236679077
33,8,52.05362319946289
34,1,39.39291286468506
35,3,34.497453689575195
36,5,35.31581139564514
37,6,33.17594289779663
38,0,44.477070808410645
39,3,33.59001326560974
40,2,60.031933069229126
41,0,31.62883710861206
42,4,47.816864252090454
43,2,34.06833004951477
44,2,52.337700605392456
45,0,31.240789890289307
46,0,55.332075357437134
47,2,43.70025181770325
48,4,40.543521881103516
49,0,31.5025475025177
50,3,55.72139120101929
