instance,num_type,value,comment
-1,legend,orig_simpl_nat,Simplified problem (natural var order)
-1,legend,orig_simpl_rnd,Simplified problem (random var order)
-1,legend,orig_minAB_nat,Best of A and B (natural var order)
-1,legend,orig_minAB_rnd,Best of A and B (random var order)
-1,legend,orig_5random_nat,Best of 5 random (natural var order)
-1,legend,orig_5random_rnd,Best of 5 random (random var order)
-1,legend,orig_5random_ctl,Best of 5 random (control experiment)
-1,legend,orig_minAB_ctl,Best of A and B (control experiment)
-1,legend,orig_simpl_ctl,Simplified problem (control experiment)
5-0,color_size_nat,5,--none--
5-0,cover_size_nat,11,--none--
5-0,orig_simpl_nat_obj,11,--none--
5-0,orig_minAB_nat_obj,11,--none--
5-0,color_size_rnd,5,--none--
5-0,cover_size_rnd,11,--none--
5-0,orig_simpl_rnd_obj,12,--none--
5-0,orig_minAB_rnd_obj,11,--none--
5-0,color_size_ctl,20,--none--
5-0,cover_size_ctl,16,--none--
5-0,orig_simpl_ctl_obj,28,--none--
5-0,orig_minAB_ctl_obj,28,--none--
5-1,color_size_nat,5,--none--
5-1,cover_size_nat,11,--none--
5-1,orig_simpl_nat_obj,11,--none--
5-1,orig_minAB_nat_obj,11,--none--
5-1,color_size_rnd,5,--none--
5-1,cover_size_rnd,12,--none--
5-1,orig_simpl_rnd_obj,11,--none--
5-1,orig_minAB_rnd_obj,11,--none--
5-1,color_size_ctl,8,--none--
5-1,cover_size_ctl,9,--none--
5-1,orig_simpl_ctl_obj,19,--none--
5-1,orig_minAB_ctl_obj,15,--none--
5-2,color_size_nat,5,--none--
5-2,cover_size_nat,11,--none--
5-2,orig_simpl_nat_obj,11,--none--
5-2,orig_minAB_nat_obj,11,--none--
5-2,color_size_rnd,5,--none--
5-2,cover_size_rnd,12,--none--
5-2,orig_simpl_rnd_obj,12,--none--
5-2,orig_minAB_rnd_obj,12,--none--
5-2,color_size_ctl,7,--none--
5-2,cover_size_ctl,6,--none--
5-2,orig_simpl_ctl_obj,17,--none--
5-2,orig_minAB_ctl_obj,8,--none--
5-3,color_size_nat,5,--none--
5-3,cover_size_nat,11,--none--
5-3,orig_simpl_nat_obj,11,--none--
5-3,orig_minAB_nat_obj,11,--none--
5-3,color_size_rnd,5,--none--
5-3,cover_size_rnd,12,--none--
5-3,orig_simpl_rnd_obj,12,--none--
