run,k,n,method,step,time
test,0,30,gen_instance,all, 56.607
test,0,30,plain_MIP,build+solve,12.995
test,0,30,CPP,BDD-build,648.6
test,0,30,CPP,MIP-build,1509.7
test,0,30,CPP,MIP-solve,928.1
test,0,30,CPP,VS-build,0.0
test,0,30,CPP,VS-solve,77.8
test,0,30,CPP,BDD-align,1214.7
test,0,30,CPP,intersection-build,393.3
test,0,30,CPP,intersection-SP-solve,40.4
test,1,30,gen_instance,all, 24.082
test,1,30,plain_MIP,build+solve,2.827
test,1,30,CPP,BDD-build,589.2
test,1,30,CPP,MIP-build,1100.9
test,1,30,CPP,MIP-solve,625.1
test,1,30,CPP,VS-build,0.1
test,1,30,CPP,VS-solve,303.7
test,1,30,CPP,BDD-align,1709.1
test,1,30,CPP,intersection-build,409.7
test,1,30,CPP,intersection-SP-solve,78.1
test,2,30,gen_instance,all, 44.534
test,2,30,plain_MIP,build+solve,22.905
test,2,30,CPP,BDD-build,819.7
test,2,30,CPP,MIP-build,1791.6
test,2,30,CPP,MIP-solve,1474.6
test,2,30,CPP,VS-build,0.0
test,2,30,CPP,VS-solve,162.0
test,2,30,CPP,BDD-align,3614.6
test,2,30,CPP,intersection-build,673.0
test,2,30,CPP,intersection-SP-solve,112.7
test,3,30,gen_instance,all, 27.586
test,3,30,plain_MIP,build+solve,6.016
test,3,30,CPP,BDD-build,465.3
test,3,30,CPP,MIP-build,754.8
test,3,30,CPP,MIP-solve,419.2
test,3,30,CPP,VS-build,0.0
test,3,30,CPP,VS-solve,181.9
test,3,30,CPP,BDD-align,2838.7
test,3,30,CPP,intersection-build,796.4
test,3,30,CPP,intersection-SP-solve,190.5
test,4,30,gen_instance,all, 27.291
test,4,30,plain_MIP,build+solve,5.200
test,4,30,CPP,BDD-build,350.7
test,4,30,CPP,MIP-build,998.1
test,4,30,CPP,MIP-solve,475.8
test,4,30,CPP,VS-build,0.0
test,4,30,CPP,VS-solve,123.3
test,4,30,CPP,BDD-align,2556.3
test,4,30,CPP,intersection-build,669.1
test,4,30,CPP,intersection-SP-solve,133.6
