N,instance,num_type,value,comment
-1,-1,legend,orig_simpl,simplified problem
-1,-1,legend,orig_gsifts1p,greedy BDD sifts (1 pass)
5,0,orig_simpl_time,0.007563114166259766,--none--
5,0,orig_simpl_obj,18,--none--
5,0,orig_gsifts1p_time,0.004931211471557617,--none--
5,0,orig_gsifts1p_obj,18,--none--
9,1000,simpl_opt_status,0,optimal
9,1000,orig_simpl_time,0.02126455307006836,--none--
9,1000,orig_simpl_obj,87,--none--
9,1000,orig_gsifts1p_time,0.026212692260742188,--none--
9,1000,orig_gsifts1p_obj,78,--none--
9,1001,simpl_opt_status,0,optimal
9,1001,orig_simpl_time,0.01856517791748047,--none--
9,1001,orig_simpl_obj,52,--none--
9,1001,orig_gsifts1p_time,0.014766454696655273,--none--
9,1001,orig_gsifts1p_obj,43,--none--
9,1002,simpl_opt_status,0,optimal
9,1002,orig_simpl_time,0.022211551666259766,--none--
9,1002,orig_simpl_obj,94,--none--
9,1002,orig_gsifts1p_time,0.03073883056640625,--none--
9,1002,orig_gsifts1p_obj,83,--none--
9,1003,simpl_opt_status,0,optimal
9,1003,orig_simpl_time,0.011047840118408203,--none--
9,1003,orig_simpl_obj,84,--none--
9,1003,orig_gsifts1p_time,0.025951147079467773,--none--
9,1003,orig_gsifts1p_obj,79,--none--
9,1004,simpl_opt_status,0,optimal
9,1004,orig_simpl_time,0.017949342727661133,--none--
9,1004,orig_simpl_obj,151,--none--
9,1004,orig_gsifts1p_time,0.0437469482421875,--none--
9,1004,orig_gsifts1p_obj,135,--none--
9,1005,simpl_opt_status,0,optimal
9,1005,orig_simpl_time,0.0208742618560791,--none--
9,1005,orig_simpl_obj,71,--none--
9,1005,orig_gsifts1p_time,0.02197861671447754,--none--
9,1005,orig_gsifts1p_obj,62,--none--
9,1006,simpl_opt_status,0,optimal
9,1006,orig_simpl_time,0.014818191528320312,--none--
9,1006,orig_simpl_obj,105,--none--
9,1006,orig_gsifts1p_time,0.03266739845275879,--none--
9,1006,orig_gsifts1p_obj,104,--none--
9,1007,simpl_opt_status,0,optimal
9,1007,orig_simpl_time,0.023221731185913086,--none--
9,1007,orig_simpl_obj,82,--none--
9,1007,orig_gsifts1p_time,0.0259857177734375,--none--
9,1007,orig_gsifts1p_obj,81,--none--
