N,instance,num_type,value,comment
-1,-1,legend,orig_simpl,Simplified problem-based
-1,-1,legend,orig_gsifts1p,Greedy sifts
20,1560,orig_simpl_time,0.5154585838317871,--none--
20,1560,orig_simpl_obj,1769,--none--
20,1560,gsifts_status,aligned,--none--
20,1560,orig_gsifts1p_time,7.991158723831177,--none--
20,1560,orig_gsifts1p_obj,1682,--none--
19,1474,simpl_opt_status,0,optimal
19,1474,orig_simpl_time,0.1761186122894287,--none--
19,1474,orig_simpl_obj,4992,--none--
19,1474,gsifts_status,aligned,--none--
19,1474,orig_gsifts1p_time,12.508949041366577,--none--
19,1474,orig_gsifts1p_obj,6538,--none--
10,539,simpl_opt_status,0,optimal
10,539,orig_simpl_time,0.027043581008911133,--none--
10,539,orig_simpl_obj,35,--none--
10,539,gsifts_status,aligned,--none--
10,539,orig_gsifts1p_time,0.015692949295043945,--none--
10,539,orig_gsifts1p_obj,26,--none--
23,1837,simpl_opt_status,0,optimal
23,1837,orig_simpl_time,0.5231533050537109,--none--
23,1837,orig_simpl_obj,15088,--none--
23,1837,gsifts_status,aligned,--none--
23,1837,orig_gsifts1p_time,123.14251255989075,--none--
23,1837,orig_gsifts1p_obj,10752,--none--
22,1704,simpl_opt_status,0,optimal
22,1704,orig_simpl_time,0.4794321060180664,--none--
22,1704,orig_simpl_obj,5752,--none--
22,1704,gsifts_status,aligned,--none--
22,1704,orig_gsifts1p_time,61.20473837852478,--none--
22,1704,orig_gsifts1p_obj,14098,--none--
6,133,simpl_opt_status,0,optimal
6,133,orig_simpl_time,0.0062825679779052734,--none--
6,133,orig_simpl_obj,35,--none--
6,133,gsifts_status,aligned,--none--
6,133,orig_gsifts1p_time,0.010094642639160156,--none--
6,133,orig_gsifts1p_obj,32,--none--
9,477,simpl_opt_status,0,optimal
9,477,orig_simpl_time,0.021875381469726562,--none--
9,477,orig_simpl_obj,44,--none--
9,477,gsifts_status,aligned,--none--
9,477,orig_gsifts1p_time,0.016617536544799805,--none--
9,477,orig_gsifts1p_obj,34,--none--
12,754,simpl_opt_status,0,optimal
12,754,orig_simpl_time,0.03318214416503906,--none--
12,754,orig_simpl_obj,88,--none--
12,754,gsifts_status,aligned,--none--
12,754,orig_gsifts1p_time,0.04380154609680176,--none--
12,754,orig_gsifts1p_obj,49,--none--
14,956,simpl_opt_status,0,optimal
14,956,orig_simpl_time,0.05345892906188965,--none--
14,956,orig_simpl_obj,296,--none--
14,956,gsifts_status,aligned,--none--
14,956,orig_gsifts1p_time,0.15650558471679688,--none--
14,956,orig_gsifts1p_obj,171,--none--
20,1546,simpl_opt_status,0,optimal
20,1546,orig_simpl_time,0.19005537033081055,--none--
20,1546,orig_simpl_obj,4903,--none--
20,1546,gsifts_status,aligned,--none--
20,1546,orig_gsifts1p_time,12.48927354812622,--none--
20,1546,orig_gsifts1p_obj,5137,--none--
7,235,simpl_opt_status,0,optimal
7,235,orig_simpl_time,0.007866382598876953,--none--
7,235,orig_simpl_obj,64,--none--
7,235,gsifts_status,aligned,--none--
7,235,orig_gsifts1p_time,0.019539833068847656,--none--
7,235,orig_gsifts1p_obj,64,--none--
8,399,simpl_opt_status,0,optimal
8,399,orig_simpl_time,0.013008356094360352,--none--
8,399,orig_simpl_obj,34,--none--
8,399,gsifts_status,aligned,--none--
8,399,orig_gsifts1p_time,0.012339115142822266,--none--
8,399,orig_gsifts1p_obj,29,--none--
13,896,simpl_opt_status,0,optimal
13,896,orig_simpl_time,0.05920577049255371,--none--
13,896,orig_simpl_obj,425,--none--
13,896,gsifts_status,aligned,--none--
13,896,orig_gsifts1p_time,0.22363615036010742,--none--
13,896,orig_gsifts1p_obj,336,--none--
6,186,simpl_opt_status,0,optimal
6,186,orig_simpl_time,0.0050008296966552734,--none--
6,186,orig_simpl_obj,28,--none--
6,186,gsifts_status,aligned,--none--
6,186,orig_gsifts1p_time,0.008686065673828125,--none--
6,186,orig_gsifts1p_obj,25,--none--
24,1940,simpl_opt_status,0,optimal
24,1940,orig_simpl_time,1.06982421875,--none--
24,1940,orig_simpl_obj,9763,--none--
24,1940,gsifts_status,aligned,--none--
24,1940,orig_gsifts1p_time,503.0073547363281,--none--
24,1940,orig_gsifts1p_obj,42081,--none--
10,545,simpl_opt_status,0,optimal
10,545,orig_simpl_time,0.03883242607116699,--none--
10,545,orig_simpl_obj,120,--none--
10,545,gsifts_status,aligned,--none--
10,545,orig_gsifts1p_time,0.05544281005859375,--none--
10,545,orig_gsifts1p_obj,91,--none--
10,544,simpl_opt_status,0,optimal
10,544,orig_simpl_time,0.02613210678100586,--none--
10,544,orig_simpl_obj,169,--none--
10,544,gsifts_status,aligned,--none--
10,544,orig_gsifts1p_time,0.0838782787322998,--none--
10,544,orig_gsifts1p_obj,169,--none--
11,653,simpl_opt_status,0,optimal
11,653,orig_simpl_time,0.02643609046936035,--none--
11,653,orig_simpl_obj,197,--none--
11,653,gsifts_status,aligned,--none--
11,653,orig_gsifts1p_time,0.10928487777709961,--none--
11,653,orig_gsifts1p_obj,187,--none--
20,1589,simpl_opt_status,0,optimal
20,1589,orig_simpl_time,0.2927401065826416,--none--
20,1589,orig_simpl_obj,2769,--none--
20,1589,gsifts_status,aligned,--none--
20,1589,orig_gsifts1p_time,11.53118348121643,--none--
20,1589,orig_gsifts1p_obj,3264,--none--
24,1922,simpl_opt_status,0,optimal
24,1922,orig_simpl_time,0.5570557117462158,--none--
24,1922,orig_simpl_obj,19250,--none--
24,1922,gsifts_status,aligned,--none--
24,1922,orig_gsifts1p_time,266.993857383728,--none--
24,1922,orig_gsifts1p_obj,52076,--none--
17,1233,simpl_opt_status,0,optimal
17,1233,orig_simpl_time,0.1760087013244629,--none--
17,1233,orig_simpl_obj,2231,--none--
17,1233,gsifts_status,aligned,--none--
17,1233,orig_gsifts1p_time,3.0351130962371826,--none--
17,1233,orig_gsifts1p_obj,2776,--none--
14,992,simpl_opt_status,0,optimal
14,992,orig_simpl_time,0.08675122261047363,--none--
14,992,orig_simpl_obj,744,--none--
14,992,gsifts_status,aligned,--none--
14,992,orig_gsifts1p_time,0.626279354095459,--none--
14,992,orig_gsifts1p_obj,622,--none--
25,2027,simpl_opt_status,0,optimal
25,2027,orig_simpl_time,0.6540634632110596,--none--
25,2027,orig_simpl_obj,12666,--none--
25,2027,gsifts_status,aligned,--none--
25,2027,orig_gsifts1p_time,116.04316854476929,--none--
25,2027,orig_gsifts1p_obj,12378,--none--
5,85,simpl_opt_status,0,optimal
5,85,orig_simpl_time,0.005468130111694336,--none--
5,85,orig_simpl_obj,16,--none--
5,85,gsifts_status,aligned,--none--
5,85,orig_gsifts1p_time,0.005570650100708008,--none--
5,85,orig_gsifts1p_obj,16,--none--
19,1495,simpl_opt_status,0,optimal
19,1495,orig_simpl_time,0.17410039901733398,--none--
19,1495,orig_simpl_obj,2658,--none--
19,1495,gsifts_status,aligned,--none--
19,1495,orig_gsifts1p_time,15.65552306175232,--none--
19,1495,orig_gsifts1p_obj,2648,--none--
14,906,simpl_opt_status,0,optimal
14,906,orig_simpl_time,0.09018230438232422,--none--
14,906,orig_simpl_obj,328,--none--
14,906,gsifts_status,aligned,--none--
14,906,orig_gsifts1p_time,0.15195584297180176,--none--
14,906,orig_gsifts1p_obj,171,--none--
23,1816,simpl_opt_status,0,optimal
23,1816,orig_simpl_time,0.4708259105682373,--none--
23,1816,orig_simpl_obj,7044,--none--
23,1816,gsifts_status,aligned,--none--
23,1816,orig_gsifts1p_time,87.11847186088562,--none--
23,1816,orig_gsifts1p_obj,12495,--none--
13,887,simpl_opt_status,0,optimal
13,887,orig_simpl_time,0.03779339790344238,--none--
13,887,orig_simpl_obj,372,--none--
13,887,gsifts_status,aligned,--none--
13,887,orig_gsifts1p_time,0.19924354553222656,--none--
13,887,orig_gsifts1p_obj,313,--none--
25,2079,simpl_opt_status,0,optimal
25,2079,orig_simpl_time,0.7977299690246582,--none--
25,2079,orig_simpl_obj,10044,--none--
25,2079,gsifts_status,aligned,--none--
25,2079,orig_gsifts1p_time,145.66510152816772,--none--
25,2079,orig_gsifts1p_obj,17279,--none--
20,1575,simpl_opt_status,0,optimal
20,1575,orig_simpl_time,0.29350972175598145,--none--
20,1575,orig_simpl_obj,4360,--none--
20,1575,gsifts_status,aligned,--none--
20,1575,orig_gsifts1p_time,19.609363794326782,--none--
20,1575,orig_gsifts1p_obj,3667,--none--
15,1038,simpl_opt_status,0,optimal
15,1038,orig_simpl_time,0.1082763671875,--none--
15,1038,orig_simpl_obj,660,--none--
15,1038,gsifts_status,aligned,--none--
15,1038,orig_gsifts1p_time,0.7132070064544678,--none--
15,1038,orig_gsifts1p_obj,607,--none--
24,1929,simpl_opt_status,0,optimal
24,1929,orig_simpl_time,0.6555697917938232,--none--
24,1929,orig_simpl_obj,5925,--none--
24,1929,gsifts_status,aligned,--none--
24,1929,orig_gsifts1p_time,292.97825837135315,--none--
24,1929,orig_gsifts1p_obj,3910,--none--
22,1700,simpl_opt_status,0,optimal
22,1700,orig_simpl_time,1.1562070846557617,--none--
22,1700,orig_simpl_obj,2549,--none--
22,1700,gsifts_status,aligned,--none--
22,1700,orig_gsifts1p_time,7.132083892822266,--none--
22,1700,orig_gsifts1p_obj,1872,--none--
25,2087,simpl_opt_status,0,optimal
25,2087,orig_simpl_time,1.0262656211853027,--none--
25,2087,orig_simpl_obj,22818,--none--
25,2087,gsifts_status,aligned,--none--
25,2087,orig_gsifts1p_time,542.5795457363129,--none--
25,2087,orig_gsifts1p_obj,119846,--none--
21,1673,simpl_opt_status,0,optimal
21,1673,orig_simpl_time,0.27318763732910156,--none--
