instance,N,num_type,value,comment
0,14,trials,1,--none--
0,14,orig_gen_time,0.015512704849243164,--none--
0,14,vs_gen_time,4.76837158203125e-05,--none--
0,14,BBsearch_time,0.33312010765075684,--none--
0,14,alig_to_order_time,0.029715538024902344,--none--
0,14,orig_aux_obj,1175,--none--
0,14,orig_sifts_red_time,0.4334588050842285,--none--
0,14,orig_sifts_red_obj,1163,--none--
1,14,trials,1,--none--
1,14,orig_gen_time,0.00918436050415039,--none--
1,14,vs_gen_time,3.314018249511719e-05,--none--
1,14,BBsearch_time,0.6445891857147217,--none--
1,14,alig_to_order_time,0.025319337844848633,--none--
1,14,orig_aux_obj,1088,--none--
1,14,orig_sifts_red_time,0.33010005950927734,--none--
1,14,orig_sifts_red_obj,862,--none--
2,14,trials,1,--none--
2,14,orig_gen_time,0.07143664360046387,--none--
2,14,vs_gen_time,3.3855438232421875e-05,--none--
2,14,BBsearch_time,0.48944878578186035,--none--
2,14,alig_to_order_time,0.060501813888549805,--none--
2,14,orig_aux_obj,1577,--none--
2,14,orig_sifts_red_time,0.7573015689849854,--none--
2,14,orig_sifts_red_obj,2355,--none--
3,14,trials,1,--none--
3,14,orig_gen_time,0.020546436309814453,--none--
3,14,vs_gen_time,4.4345855712890625e-05,--none--
3,14,BBsearch_time,0.4130098819732666,--none--
3,14,alig_to_order_time,0.03191733360290527,--none--
3,14,orig_aux_obj,1331,--none--
3,14,orig_sifts_red_time,0.34333038330078125,--none--
3,14,orig_sifts_red_obj,987,--none--
4,14,trials,1,--none--
4,14,orig_gen_time,0.01985025405883789,--none--
4,14,vs_gen_time,4.00543212890625e-05,--none--
4,14,BBsearch_time,0.1430373191833496,--none--
4,14,alig_to_order_time,0.034104347229003906,--none--
4,14,orig_aux_obj,1724,--none--
4,14,orig_sifts_red_time,0.5812802314758301,--none--
4,14,orig_sifts_red_obj,1916,--none--
0,13,trials,1,--none--
0,13,orig_gen_time,0.01410055160522461,--none--
0,13,vs_gen_time,4.696846008300781e-05,--none--
0,13,BBsearch_time,0.1269679069519043,--none--
0,13,alig_to_order_time,0.04121804237365723,--none--
0,13,orig_aux_obj,1159,--none--
0,13,orig_sifts_red_time,0.2978847026824951,--none--
0,13,orig_sifts_red_obj,871,--none--
1,13,trials,1,--none--
1,13,orig_gen_time,0.008369684219360352,--none--
1,13,vs_gen_time,3.266334533691406e-05,--none--
1,13,BBsearch_time,0.3590056896209717,--none--
1,13,alig_to_order_time,0.026986360549926758,--none--
1,13,orig_aux_obj,601,--none--
1,13,orig_sifts_red_time,0.17934632301330566,--none--
1,13,orig_sifts_red_obj,455,--none--
2,13,trials,1,--none--
2,13,orig_gen_time,0.011766433715820312,--none--
2,13,vs_gen_time,3.528594970703125e-05,--none--
2,13,BBsearch_time,0.2645833492279053,--none--
2,13,alig_to_order_time,0.02825474739074707,--none--
2,13,orig_aux_obj,756,--none--
2,13,orig_sifts_red_time,0.2669956684112549,--none--
2,13,orig_sifts_red_obj,808,--none--
3,13,trials,1,--none--
3,13,orig_gen_time,0.01189565658569336,--none--
3,13,vs_gen_time,3.337860107421875e-05,--none--
3,13,BBsearch_time,0.2601661682128906,--none--
3,13,alig_to_order_time,0.0206296443939209,--none--
3,13,orig_aux_obj,737,--none--
3,13,orig_sifts_red_time,0.2803795337677002,--none--
3,13,orig_sifts_red_obj,774,--none--
4,13,trials,1,--none--
4,13,orig_gen_time,0.02407217025756836,--none--
4,13,vs_gen_time,4.172325134277344e-05,--none--
4,13,BBsearch_time,0.3085331916809082,--none--
4,13,alig_to_order_time,0.041108131408691406,--none--
4,13,orig_aux_obj,951,--none--
4,13,orig_sifts_red_time,0.28487133979797363,--none--
4,13,orig_sifts_red_obj,868,--none--
0,21,trials,1,--none--
0,21,orig_gen_time,0.4970581531524658,--none--
0,21,vs_gen_time,5.1021575927734375e-05,--none--
0,21,BBsearch_time,2.422539472579956,--none--
0,21,alig_to_order_time,0.6845064163208008,--none--
0,21,orig_aux_obj,27969,--none--
0,21,orig_sifts_red_time,34.622809648513794,--none--
0,21,orig_sifts_red_obj,55346,--none--
1,21,trials,1,--none--
1,21,orig_gen_time,0.9874153137207031,--none--
1,21,vs_gen_time,4.8160552978515625e-05,--none--
1,21,BBsearch_time,3.2147886753082275,--none--
1,21,alig_to_order_time,0.7716832160949707,--none--
1,21,orig_aux_obj,20242,--none--
1,21,orig_sifts_red_time,50.18817448616028,--none--
1,21,orig_sifts_red_obj,34447,--none--
2,21,trials,1,--none--
2,21,orig_gen_time,1.2830324172973633,--none--
2,21,vs_gen_time,4.4345855712890625e-05,--none--
2,21,BBsearch_time,1.4537498950958252,--none--
2,21,alig_to_order_time,0.7463212013244629,--none--
2,21,orig_aux_obj,18411,--none--
2,21,orig_sifts_red_time,62.44411301612854,--none--
2,21,orig_sifts_red_obj,95617,--none--
3,21,trials,1,--none--
3,21,orig_gen_time,1.2713580131530762,--none--
3,21,vs_gen_time,4.6253204345703125e-05,--none--
3,21,BBsearch_time,4.528125524520874,--none--
3,21,alig_to_order_time,0.6604888439178467,--none--
3,21,orig_aux_obj,16399,--none--
3,21,orig_sifts_red_time,47.89248275756836,--none--
3,21,orig_sifts_red_obj,60048,--none--
4,21,trials,1,--none--
4,21,orig_gen_time,0.6388077735900879,--none--
4,21,vs_gen_time,4.649162292480469e-05,--none--
4,21,BBsearch_time,7.180097579956055,--none--
4,21,alig_to_order_time,0.6605195999145508,--none--
4,21,orig_aux_obj,22136,--none--
4,21,orig_sifts_red_time,43.78811240196228,--none--
4,21,orig_sifts_red_obj,61102,--none--
0,22,trials,1,--none--
0,22,orig_gen_time,0.4728813171386719,--none--
0,22,vs_gen_time,5.316734313964844e-05,--none--
0,22,BBsearch_time,11.188161849975586,--none--
0,22,alig_to_order_time,0.8630695343017578,--none--
0,22,orig_aux_obj,15843,--none--
0,22,orig_sifts_red_time,67.2602653503418,--none--
0,22,orig_sifts_red_obj,100962,--none--
1,22,trials,1,--none--
1,22,orig_gen_time,1.4076952934265137,--none--
1,22,vs_gen_time,6.389617919921875e-05,--none--
1,22,BBsearch_time,4.544672966003418,--none--
1,22,alig_to_order_time,1.1371209621429443,--none--
1,22,orig_aux_obj,32802,--none--
1,22,orig_sifts_red_time,129.02973246574402,--none--
1,22,orig_sifts_red_obj,174953,--none--
2,22,trials,1,--none--
2,22,orig_gen_time,0.44351720809936523,--none--
2,22,vs_gen_time,6.198883056640625e-05,--none--
2,22,BBsearch_time,2.9538540840148926,--none--
2,22,alig_to_order_time,0.6534907817840576,--none--
2,22,orig_aux_obj,23585,--none--
2,22,orig_sifts_red_time,66.44268488883972,--none--
2,22,orig_sifts_red_obj,93521,--none--
3,22,trials,1,--none--
3,22,orig_gen_time,0.7558448314666748,--none--
3,22,vs_gen_time,4.76837158203125e-05,--none--
3,22,BBsearch_time,3.907613515853882,--none--
3,22,alig_to_order_time,0.7096822261810303,--none--
3,22,orig_aux_obj,19803,--none--
3,22,orig_sifts_red_time,61.14773440361023,--none--
3,22,orig_sifts_red_obj,36817,--none--
4,22,trials,1,--none--
4,22,orig_gen_time,0.30930233001708984,--none--
4,22,vs_gen_time,4.863739013671875e-05,--none--
4,22,BBsearch_time,3.0368564128875732,--none--
4,22,alig_to_order_time,0.48370885848999023,--none--
4,22,orig_aux_obj,37198,--none--
4,22,orig_sifts_red_time,30.66287088394165,--none--
4,22,orig_sifts_red_obj,30283,--none--
0,17,trials,1,--none--
0,17,orig_gen_time,0.02567148208618164,--none--
