LB,gap,legend
simpl_BB,0.05927467346191406,timelog
LB_first,0.006644518272425249,min size first element aligned
LB_first,0.00015473365783691406,timelog
LB_last,0.08970099667774087,min size last element aligned
LB_last,0.0015871524810791016,timelog
LB_levels,0.15614617940199335,inversions-driven LB
LB_levels,0.00011348724365234375,timelog
simpl_BB,0.05408596992492676,timelog
LB_first,0.0018281535648994515,min size first element aligned
LB_first,0.00014090538024902344,timelog
LB_last,0.506398537477148,min size last element aligned
LB_last,0.001613616943359375,timelog
LB_levels,0.2742230347349177,inversions-driven LB
LB_levels,8.225440979003906e-05,timelog
simpl_BB,0.024629831314086914,timelog
LB_first,0.011441647597254004,min size first element aligned
LB_first,0.0001430511474609375,timelog
LB_last,0.09458428680396644,min size last element aligned
LB_last,0.0016236305236816406,timelog
LB_levels,0.08466819221967964,inversions-driven LB
LB_levels,0.00010275840759277344,timelog
simpl_BB,0.05048418045043945,timelog
LB_first,0.006097560975609756,min size first element aligned
LB_first,0.0001418590545654297,timelog
LB_last,0.46777003484320556,min size last element aligned
LB_last,0.0016117095947265625,timelog
LB_levels,0.08013937282229965,inversions-driven LB
LB_levels,9.870529174804688e-05,timelog
simpl_BB,0.07039904594421387,timelog
LB_first,0.0011695906432748538,min size first element aligned
LB_first,0.00014019012451171875,timelog
LB_last,0.4093567251461988,min size last element aligned
LB_last,0.0016205310821533203,timelog
LB_levels,0.1064327485380117,inversions-driven LB
LB_levels,9.751319885253906e-05,timelog
simpl_BB,0.032502174377441406,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0001289844512939453,timelog
LB_last,0.18229166666666666,min size last element aligned
LB_last,0.0016088485717773438,timelog
LB_levels,0.09722222222222222,inversions-driven LB
LB_levels,9.5367431640625e-05,timelog
simpl_BB,0.030174732208251953,timelog
LB_first,0.006633499170812604,min size first element aligned
LB_first,0.00014734268188476562,timelog
LB_last,0.03648424543946932,min size last element aligned
LB_last,0.0016148090362548828,timelog
LB_levels,0.1011608623548922,inversions-driven LB
LB_levels,9.250640869140625e-05,timelog
simpl_BB,0.06294965744018555,timelog
LB_first,0.010899182561307902,min size first element aligned
LB_first,0.00013971328735351562,timelog
LB_last,0.24250681198910082,min size last element aligned
LB_last,0.0016214847564697266,timelog
LB_levels,0.2125340599455041,inversions-driven LB
LB_levels,8.463859558105469e-05,timelog
simpl_BB,0.059128761291503906,timelog
LB_first,0.0050578034682080926,min size first element aligned
LB_first,0.00014472007751464844,timelog
LB_last,0.44147398843930635,min size last element aligned
LB_last,0.0016126632690429688,timelog
LB_levels,0.06286127167630058,inversions-driven LB
LB_levels,9.989738464355469e-05,timelog
simpl_BB,0.03281068801879883,timelog
LB_first,0.019444444444444445,min size first element aligned
LB_first,0.00014281272888183594,timelog
LB_last,0.31574074074074077,min size last element aligned
LB_last,0.0016088485717773438,timelog
LB_levels,0.09351851851851851,inversions-driven LB
LB_levels,0.00010466575622558594,timelog
simpl_BB,0.03342938423156738,timelog
LB_first,0.000741839762611276,min size first element aligned
LB_first,0.00014162063598632812,timelog
LB_last,0.2410979228486647,min size last element aligned
LB_last,0.0016162395477294922,timelog
LB_levels,0.07566765578635015,inversions-driven LB
LB_levels,0.00010442733764648438,timelog
simpl_BB,0.060651540756225586,timelog
LB_first,0.004434589800443459,min size first element aligned
LB_first,0.0001437664031982422,timelog
LB_last,0.25277161862527714,min size last element aligned
LB_last,0.014693021774291992,timelog
LB_levels,0.06134515890613452,inversions-driven LB
LB_levels,0.00011491775512695312,timelog
simpl_BB,0.08123493194580078,timelog
LB_first,0.0,min size first element aligned
LB_first,0.0001220703125,timelog
LB_last,0.3942980096826251,min size last element aligned
LB_last,0.0015354156494140625,timelog
LB_levels,0.055944055944055944,inversions-driven LB
LB_levels,0.00010800361633300781,timelog
simpl_BB,0.05475592613220215,timelog
LB_first,0.0014858841010401188,min size first element aligned
LB_first,0.00014734268188476562,timelog
LB_last,0.0,min size last element aligned
LB_last,0.0016171932220458984,timelog
LB_levels,0.10104011887072809,inversions-driven LB
LB_levels,9.822845458984375e-05,timelog
simpl_BB,0.058171749114990234,timelog
LB_first,0.10816542948038176,min size first element aligned
LB_first,0.00014591217041015625,timelog
LB_last,0.02545068928950159,min size last element aligned
LB_last,0.0016238689422607422,timelog
LB_levels,0.07211028632025451,inversions-driven LB
LB_levels,0.00010991096496582031,timelog
simpl_BB,0.05394268035888672,timelog
LB_first,0.015596330275229359,min size first element aligned
LB_first,0.00014972686767578125,timelog
LB_last,0.5059633027522936,min size last element aligned
LB_last,0.0015990734100341797,timelog
LB_levels,0.03990825688073395,inversions-driven LB
LB_levels,0.00011348724365234375,timelog
simpl_BB,0.08100008964538574,timelog
LB_first,0.003367003367003367,min size first element aligned
LB_first,0.0001430511474609375,timelog
LB_last,0.28535353535353536,min size last element aligned
LB_last,0.014680862426757812,timelog
LB_levels,0.04335016835016835,inversions-driven LB
LB_levels,0.00011849403381347656,timelog
simpl_BB,0.07096719741821289,timelog
LB_first,0.006072874493927126,min size first element aligned
LB_first,0.00013256072998046875,timelog
LB_last,0.1788124156545209,min size last element aligned
LB_last,0.0016193389892578125,timelog
LB_levels,0.033738191632928474,inversions-driven LB
LB_levels,0.00010538101196289062,timelog
simpl_BB,0.07790493965148926,timelog
LB_first,0.0032679738562091504,min size first element aligned
LB_first,0.0001323223114013672,timelog
LB_last,0.1650326797385621,min size last element aligned
LB_last,0.0016093254089355469,timelog
LB_levels,0.14869281045751634,inversions-driven LB
LB_levels,8.58306884765625e-05,timelog
simpl_BB,0.053238630294799805,timelog
LB_first,0.0056925996204933585,min size first element aligned
LB_first,0.0001423358917236328,timelog
LB_last,0.0,min size last element aligned
LB_last,0.001583099365234375,timelog
LB_levels,0.16698292220113853,inversions-driven LB
LB_levels,8.96453857421875e-05,timelog
simpl_BB,0.07550716400146484,timelog
LB_first,0.001937984496124031,min size first element aligned
LB_first,0.0001404285430908203,timelog
