k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
0, optimal, 28.6, 4, 9.5, 61.9, 52.4, 2.8
1, optimal, 47.6, 720, 71.4, 90.5, 19.0, 6.5
2, optimal, 42.9, 20, 57.1, 85.7, 33.3, 3.5
3, optimal, 28.6, 8, 14.3, 71.4, 57.1, 3.6
4, optimal, 33.3, 6, 100.0, 61.9, 42.9, 4.0
5, optimal, 76.2, 4, 9.5, 90.5, 85.7, 3.2
6, optimal, 47.6, 8, 14.3, 57.1, 47.6, 2.4
7, optimal, 33.3, 4, 9.5, 42.9, 33.3, 4.3
8, optimal, 33.3, 12, 23.8, 52.4, 28.6, 2.7
9, optimal, 33.3, 10, 23.8, 66.7, 47.6, 3.4
10, optimal, 76.2, 2, 4.8, 90.5, 90.5, 4.3
11, optimal, 66.7, 16, 33.3, 90.5, 66.7, 3.2
12, optimal, 61.9, 3, 9.5, 90.5, 85.7, 3.2
13, optimal, 52.4, 48, 33.3, 81.0, 47.6, 2.2
14, optimal, 38.1, 14, 57.1, 76.2, 42.9, 3.5
15, optimal, 19.0, 24, 52.4, 85.7, 61.9, 3.2
16, optimal, 61.9, 4, 14.3, 81.0, 76.2, 2.7
17, optimal, 33.3, 8, 19.0, 57.1, 38.1, 3.1
18, optimal, 71.4, 2, 4.8, 81.0, 81.0, 4.5
19, optimal, 71.4, 4, 9.5, 100.0, 95.2, 11.6
20, optimal, 33.3, 48, 33.3, 66.7, 33.3, 7.8
21, optimal, 42.9, 4, 9.5, 66.7, 57.1, 18.8
22, optimal, 42.9, 52, 76.2, 85.7, 23.8, 13.6
23, optimal, 76.2, 720, 71.4, 100.0, 28.6, 15.4
24, optimal, 61.9, 2, 4.8, 95.2, 95.2, 9.8
25, optimal, 52.4, 4, 9.5, 100.0, 95.2, 9.4
26, optimal, 52.4, 144, 42.9, 81.0, 38.1, 4.9
27, optimal, 19.0, 10, 95.2, 66.7, 33.3, 11.9
28, optimal, 42.9, 1, 0.0, 71.4, 71.4, 9.5
29, optimal, 23.8, 9, 38.1, 57.1, 42.9, 10.6
30, optimal, 28.6, 2, 4.8, 52.4, 52.4, 11.7
