experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
1, 5, 31, 9, 14, 0.03, 0.01
2, 5, 31, 15, 16, 0.00, 0.00
3, 5, 25, 7, 14, 0.00, 0.00
4, 5, 31, 6, 12, 0.00, 0.00
5, 5, 31, 9, 14, 0.00, 0.00
6, 6, 49, 11, 18, 0.00, 0.00
7, 6, 63, 20, 20, 0.00, 0.01
8, 6, 63, 18, 20, 0.00, 0.01
9, 6, 63, 14, 20, 0.00, 0.01
10, 6, 51, 8, 16, 0.00, 0.00
11, 7, 96, 22, 24, 0.00, 0.01
12, 7, 127, 17, 22, 0.00, 0.01
13, 7, 78, 26, 32, 0.00, 0.01
14, 7, 87, 19, 28, 0.00, 0.01
15, 7, 127, 22, 24, 0.00, 0.01
16, 8, 255, 65, 34, 0.00, 0.02
17, 8, 255, 63, 30, 0.00, 0.02
18, 8, 255, 85, 32, 0.00, 0.03
19, 8, 255, 36, 32, 0.00, 0.02
20, 8, 223, 11, 22, 0.00, 0.02
21, 9, 511, 68, 36, 0.00, 0.04
22, 9, 384, 28, 32, 0.00, 0.03
23, 9, 511, 61, 34, 0.01, 0.04
24, 9, 511, 26, 30, 0.00, 0.04
25, 9, 481, 40, 36, 0.00, 0.04
26, 10, 1023, 37, 34, 0.00, 0.08
27, 10, 1023, 281, 50, 0.02, 0.13
28, 10, 1023, 102, 42, 0.00, 0.08
29, 10, 1023, 82, 36, 0.00, 0.08
30, 10, 1023, 58, 42, 0.01, 0.08
31, 11, 2047, 122, 46, 0.01, 0.15
32, 11, 2047, 755, 52, 0.00, 0.19
33, 11, 2047, 105, 44, 0.00, 0.15
34, 11, 1536, 66, 42, 0.00, 0.11
35, 11, 1248, 144, 50, 0.01, 0.10
36, 12, 4095, 465, 60, 0.04, 0.32
37, 12, 4095, 128, 54, 0.00, 0.30
38, 12, 4095, 671, 66, 0.02, 0.38
39, 12, 4095, 48, 44, 0.01, 0.29
40, 12, 3583, 305, 60, 0.01, 0.31
41, 13, 8191, 783, 64, 0.02, 0.65
42, 13, 8191, 488, 70, 0.04, 0.67
43, 13, 8191, 106, 54, 0.00, 0.59
44, 13, 8191, 488, 62, 0.01, 0.67
45, 13, 8191, 500, 62, 0.02, 0.63
46, 14, 16383, 492, 70, 0.05, 1.31
47, 14, 16383, 2775, 78, 0.04, 1.46
48, 14, 16383, 290, 70, 0.02, 1.28
49, 14, 16383, 2070, 76, 0.01, 1.42
50, 14, 16383, 227, 58, 0.01, 1.32
51, 15, 32767, 9478, 90, 0.06, 3.46
52, 15, 32767, 687, 72, 0.02, 2.58
53, 15, 32767, 1904, 76, 0.06, 2.71
54, 15, 32767, 2391, 88, 0.05, 2.75
55, 15, 32767, 2948, 86, 0.05, 2.84
56, 16, 65535, 13488, 106, 0.05, 6.66
57, 16, 65535, 6989, 94, 0.11, 5.92
58, 16, 65535, 27069, 126, 0.14, 8.30
59, 16, 65535, 25367, 104, 0.15, 7.82
60, 16, 65535, 869, 78, 0.05, 5.26
61, 17, 131071, 13653, 98, 0.10, 12.26
62, 17, 131071, 4198, 96, 0.10, 11.10
63, 17, 131071, 673, 92, 0.08, 10.75
64, 17, 131071, 22216, 98, 0.01, 13.52
65, 17, 131071, 8133, 92, 0.08, 11.56
66, 18, 262143, 6603, 108, 0.09, 22.93
67, 18, 262143, 8750, 100, 0.11, 23.20
68, 18, 262143, 15921, 110, 0.08, 24.22
69, 18, 262143, 12952, 110, 0.09, 23.63
70, 18, 262143, 22442, 112, 0.12, 25.56
71, 19, 524287, 15609, 110, 0.11, 46.91
72, 19, 524287, 45642, 116, 0.13, 51.25
73, 19, 524287, 163559, 136, 0.28, 74.92
74, 19, 524287, 211045, 142, 0.36, 89.81
75, 19, 524287, 9721, 106, 0.32, 47.33
76, 20, 1048575, 415721, 160, 0.19, 209.45
77, 20, 1048575, 167755, 150, 0.79, 144.63
78, 20, 1048575, 249841, 144, 0.37, 128.97
79, 20, 1048575, 482853, 154, 0.56, 1330.21
80, 20, 1048575, 88326, 132, 0.87, 108.60
