experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
Set parameter Username
1, 5, 7, 7, 10, 0.04, 0.00
2, 6, 7, 7, 10, 0.00, 0.00
3, 7, 7, 7, 10, 0.00, 0.00
4, 8, 63, 26, 22, 0.00, 0.01
5, 9, 7, 7, 10, 0.00, 0.00
6, 10, 255, 42, 30, 0.00, 0.02
7, 11, 15, 11, 14, 0.00, 0.00
8, 12, 15, 13, 14, 0.00, 0.00
9, 13, 1023, 55, 38, 0.01, 0.08
10, 14, 1023, 64, 38, 0.00, 0.08
11, 15, 127, 32, 26, 0.00, 0.01
12, 16, 16383, 93, 54, 0.01, 1.28
13, 17, 63, 33, 22, 0.00, 0.01
14, 18, 16383, 87, 54, 0.00, 1.26
15, 19, 8191, 62, 50, 0.01, 0.65
16, 20, 262143, 120, 70, 0.00, 21.90
17, 21, 16383, 85, 54, 0.00, 1.28
18, 22, 4095, 73, 46, 0.00, 0.31
19, 23, 524287, 122, 74, 0.01, 44.43
20, 24, 2097151, 127, 82, 0.01, 187.60
21, 25, 16383, 93, 54, 0.00, 1.64
