experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
Set parameter Username
1, 5, 7, 7, 10, 0.02, 0.00
2, 6, 13, 13, 14, 0.00, 0.00
3, 7, 7, 7, 10, 0.00, 0.00
4, 8, 21, 21, 18, 0.00, 0.00
5, 9, 7, 7, 10, 0.00, 0.00
6, 10, 21, 22, 18, 0.00, 0.00
7, 11, 25, 27, 22, 0.00, 0.01
8, 12, 35, 37, 26, 0.00, 0.01
9, 13, 49, 50, 38, 0.00, 0.01
10, 14, 43, 44, 26, 0.00, 0.01
11, 15, 35, 35, 30, 0.00, 0.01
12, 16, 79, 81, 54, 0.01, 0.02
13, 17, 77, 77, 54, 0.00, 0.02
14, 18, 31, 34, 22, 0.00, 0.01
15, 19, 75, 77, 46, 0.00, 0.02
16, 20, 79, 82, 50, 0.00, 0.02
17, 21, 113, 116, 70, 0.00, 0.02
18, 22, 109, 110, 66, 0.00, 0.02
19, 23, 79, 80, 54, 0.00, 0.02
20, 24, 121, 121, 82, 0.01, 0.03
21, 25, 111, 114, 62, 0.01, 0.02
