experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
Set parameter Username
1, 15, 227, 228, 90, 0.06, 0.04
2, 15, 139, 139, 84, 0.04, 0.02
3, 15, 117, 119, 82, 0.03, 0.02
4, 15, 215, 216, 86, 0.01, 0.04
5, 15, 119, 119, 86, 0.01, 0.02
6, 15, 119, 120, 88, 0.05, 0.02
7, 15, 118, 119, 82, 0.01, 0.02
8, 15, 103, 104, 86, 0.01, 0.02
9, 15, 129, 131, 84, 0.04, 0.02
10, 15, 90, 92, 86, 0.02, 0.02
11, 16, 157, 157, 92, 0.01, 0.03
12, 16, 239, 242, 94, 0.02, 0.05
13, 16, 167, 169, 88, 0.01, 0.03
14, 16, 399, 402, 84, 0.01, 0.07
15, 16, 241, 244, 94, 0.02, 0.05
16, 16, 153, 155, 90, 0.02, 0.03
17, 16, 407, 408, 90, 0.01, 0.08
18, 16, 133, 135, 92, 0.02, 0.03
19, 16, 239, 244, 94, 0.01, 0.05
20, 16, 117, 118, 92, 0.02, 0.02
21, 17, 251, 252, 96, 0.01, 0.05
22, 17, 543, 543, 98, 0.02, 0.10
23, 17, 113, 115, 96, 0.01, 0.02
24, 17, 137, 139, 96, 0.01, 0.03
25, 17, 147, 148, 98, 0.03, 0.03
26, 17, 179, 182, 94, 0.02, 0.03
27, 17, 131, 134, 98, 0.02, 0.03
28, 17, 129, 131, 86, 0.01, 0.03
29, 17, 171, 171, 90, 0.01, 0.03
30, 17, 519, 520, 96, 0.03, 0.10
31, 18, 335, 337, 102, 0.04, 0.06
32, 18, 128, 129, 98, 0.05, 0.03
33, 18, 247, 251, 102, 0.02, 0.05
34, 18, 143, 146, 94, 0.01, 0.03
35, 18, 531, 532, 96, 0.04, 0.10
36, 18, 671, 676, 94, 0.01, 0.12
37, 18, 131, 134, 98, 0.03, 0.03
38, 18, 263, 267, 100, 0.03, 0.05
39, 18, 145, 148, 98, 0.04, 0.03
40, 18, 147, 148, 100, 0.04, 0.03
41, 19, 175, 176, 100, 0.03, 0.03
42, 19, 153, 153, 106, 0.03, 0.03
43, 19, 139, 140, 106, 0.03, 0.03
44, 19, 201, 201, 100, 0.03, 0.03
45, 19, 395, 402, 96, 0.03, 0.07
46, 19, 171, 173, 98, 0.01, 0.03
47, 19, 139, 143, 110, 0.02, 0.03
48, 19, 183, 184, 96, 0.02, 0.03
49, 19, 135, 137, 100, 0.02, 0.03
50, 19, 137, 138, 104, 0.01, 0.03
51, 20, 154, 157, 116, 0.01, 0.03
52, 20, 157, 161, 112, 0.04, 0.03
53, 20, 145, 147, 110, 0.02, 0.03
54, 20, 161, 162, 120, 0.02, 0.03
55, 20, 253, 255, 122, 0.02, 0.05
56, 20, 145, 146, 110, 0.06, 0.03
57, 20, 141, 143, 122, 0.04, 0.03
58, 20, 143, 144, 118, 0.01, 0.03
59, 20, 129, 130, 126, 0.07, 0.03
60, 20, 161, 161, 114, 0.01, 0.03
61, 21, 173, 176, 122, 0.03, 0.03
62, 21, 379, 382, 122, 0.03, 0.07
63, 21, 189, 191, 128, 0.03, 0.04
64, 21, 205, 207, 124, 0.01, 0.04
65, 21, 191, 194, 120, 0.02, 0.04
66, 21, 175, 177, 130, 0.02, 0.04
67, 21, 553, 554, 120, 0.03, 0.10
68, 21, 221, 223, 120, 0.04, 0.04
69, 21, 201, 201, 116, 0.01, 0.04
70, 21, 587, 587, 122, 0.08, 0.11
71, 22, 177, 178, 120, 0.01, 0.04
72, 22, 203, 204, 124, 0.01, 0.04
73, 22, 611, 616, 122, 0.04, 0.11
74, 22, 499, 499, 132, 0.02, 0.10
75, 22, 173, 174, 124, 0.03, 0.04
76, 22, 427, 430, 128, 0.05, 0.08
77, 22, 611, 616, 124, 0.02, 0.12
78, 22, 397, 404, 114, 0.08, 0.07
79, 22, 803, 806, 120, 0.04, 0.15
80, 22, 515, 521, 120, 0.01, 0.14
81, 23, 479, 481, 136, 0.01, 0.09
82, 23, 183, 186, 126, 0.01, 0.04
83, 23, 511, 512, 128, 0.04, 0.10
84, 23, 189, 191, 130, 0.01, 0.04
85, 23, 683, 689, 128, 0.03, 0.13
86, 23, 631, 633, 132, 0.04, 0.12
87, 23, 447, 451, 130, 0.03, 0.08
88, 23, 479, 483, 134, 0.02, 0.09
89, 23, 683, 683, 130, 0.02, 0.13
90, 23, 186, 187, 132, 0.04, 0.04
91, 24, 631, 633, 134, 0.03, 0.12
92, 24, 1303, 1304, 136, 0.05, 0.25
93, 24, 1191, 1192, 138, 0.01, 0.23
94, 24, 389, 391, 128, 0.06, 0.07
95, 24, 195, 198, 134, 0.02, 0.04
96, 24, 201, 203, 134, 0.02, 0.04
97, 24, 579, 582, 136, 0.02, 0.11
98, 24, 643, 645, 132, 0.03, 0.12
99, 24, 205, 207, 130, 0.02, 0.04
100, 24, 445, 448, 126, 0.02, 0.12
101, 25, 597, 598, 148, 0.04, 0.11
102, 25, 414, 416, 146, 0.02, 0.08
103, 25, 575, 576, 142, 0.02, 0.12
104, 25, 583, 584, 146, 0.04, 0.11
105, 25, 177, 178, 156, 0.02, 0.04
106, 25, 595, 597, 152, 0.03, 0.11
107, 25, 315, 316, 146, 0.02, 0.06
108, 25, 515, 517, 142, 0.02, 0.10
109, 25, 172, 173, 150, 0.04, 0.03
110, 25, 329, 334, 140, 0.04, 0.06
111, 26, 516, 520, 144, 0.02, 0.10
112, 26, 635, 635, 156, 0.09, 0.12
113, 26, 227, 228, 158, 0.02, 0.05
114, 26, 547, 552, 152, 0.03, 0.11
115, 26, 523, 524, 154, 0.03, 0.10
116, 26, 919, 920, 146, 0.05, 0.17
117, 26, 767, 770, 142, 0.03, 0.15
118, 26, 231, 234, 148, 0.05, 0.05
119, 26, 767, 769, 150, 0.02, 0.15
120, 26, 687, 688, 156, 0.03, 0.13
121, 27, 667, 670, 158, 0.02, 0.17
122, 27, 579, 582, 158, 0.09, 0.11
123, 27, 763, 768, 154, 0.04, 0.14
124, 27, 1441, 1446, 154, 0.03, 0.28
125, 27, 1315, 1320, 148, 0.01, 0.31
126, 27, 235, 237, 156, 0.11, 0.05
127, 27, 1211, 1214, 162, 0.02, 0.24
128, 27, 247, 248, 150, 0.03, 0.05
129, 27, 1575, 1577, 154, 0.02, 0.35
130, 27, 1923, 1927, 156, 0.02, 0.38
131, 28, 1075, 1077, 162, 0.04, 0.21
132, 28, 264, 266, 154, 0.08, 0.05
133, 28, 791, 792, 160, 0.03, 0.15
134, 28, 263, 264, 152, 0.04, 0.05
135, 28, 751, 754, 154, 0.06, 0.14
136, 28, 1599, 1603, 154, 0.09, 0.31
137, 28, 823, 824, 158, 0.02, 0.20
138, 28, 533, 536, 158, 0.04, 0.10
139, 28, 767, 770, 152, 0.03, 0.15
140, 28, 827, 835, 150, 0.03, 0.17
141, 29, 243, 245, 166, 0.03, 0.05
142, 29, 483, 485, 158, 0.06, 0.09
143, 29, 1663, 1668, 160, 0.04, 0.32
144, 29, 253, 255, 162, 0.04, 0.05
145, 29, 779, 783, 158, 0.08, 0.15
146, 29, 253, 255, 166, 0.04, 0.05
147, 29, 755, 760, 160, 0.02, 0.15
148, 29, 801, 805, 158, 0.04, 0.16
149, 29, 1319, 1319, 170, 0.03, 0.30
150, 29, 1283, 1286, 166, 0.05, 0.25
151, 30, 240, 242, 170, 0.03, 0.05
152, 30, 236, 236, 174, 0.08, 0.05
153, 30, 629, 629, 178, 0.06, 0.12
154, 30, 529, 530, 184, 0.04, 0.11
155, 30, 699, 702, 176, 0.03, 0.14
156, 30, 239, 242, 178, 0.05, 0.05
157, 30, 609, 610, 182, 0.03, 0.12
158, 30, 811, 814, 176, 0.04, 0.16
159, 30, 337, 338, 186, 0.06, 0.07
160, 30, 337, 340, 186, 0.06, 0.07
161, 31, 1069, 1071, 184, 0.04, 0.21
162, 31, 274, 275, 180, 0.04, 0.06
163, 31, 847, 852, 184, 0.09, 0.17
164, 31, 1951, 1952, 178, 0.05, 0.43
165, 31, 741, 744, 188, 0.03, 0.15
166, 31, 773, 774, 178, 0.09, 0.15
167, 31, 1451, 1458, 168, 0.03, 0.29
168, 31, 2827, 2827, 178, 0.03, 0.58
169, 31, 2907, 2909, 180, 0.08, 0.67
170, 31, 274, 275, 178, 0.02, 0.06
171, 32, 1381, 1384, 182, 0.05, 0.27
172, 32, 1153, 1155, 172, 0.07, 0.23
173, 32, 787, 788, 186, 0.06, 0.16
174, 32, 1011, 1015, 178, 0.04, 0.24
175, 32, 1659, 1663, 184, 0.04, 0.33
176, 32, 695, 696, 196, 0.04, 0.14
177, 32, 2891, 2895, 184, 0.03, 0.60
178, 32, 971, 975, 184, 0.07, 0.23
179, 32, 785, 788, 190, 0.05, 0.15
180, 32, 995, 1000, 184, 0.06, 0.19
181, 33, 2483, 2484, 192, 0.08, 0.50
182, 33, 1887, 1889, 184, 0.06, 0.39
183, 33, 1405, 1406, 190, 0.11, 0.31
184, 33, 761, 765, 186, 0.11, 0.15
185, 33, 783, 785, 196, 0.06, 0.16
186, 33, 567, 567, 188, 0.04, 0.11
187, 33, 669, 674, 190, 0.07, 0.13
188, 33, 2099, 2103, 192, 0.04, 0.43
189, 33, 1447, 1451, 186, 0.04, 0.33
190, 33, 697, 698, 184, 0.05, 0.14
191, 34, 891, 894, 198, 0.08, 0.18
192, 34, 1163, 1167, 202, 0.03, 0.23
193, 34, 695, 697, 186, 0.05, 0.14
194, 34, 686, 687, 194, 0.05, 0.13
195, 34, 1391, 1393, 198, 0.03, 0.28
196, 34, 2469, 2472, 184, 0.02, 0.53
197, 34, 849, 853, 188, 0.06, 0.17
198, 34, 2055, 2057, 194, 0.04, 0.42
199, 34, 835, 839, 194, 0.08, 0.17
200, 34, 1043, 1048, 192, 0.03, 0.21
201, 35, 293, 297, 206, 0.07, 0.06
