experiment, N, Bsize_nonred, Bsize_reduced, naive_MIP_vars, t_MIP, t_BDD
1, 100, 1701, 1705, 576, 0.30, 0.44
2, 100, 9067, 9069, 608, 0.40, 2.60
3, 100, 4481, 4483, 600, 0.31, 1.17
4, 100, 8557, 8562, 590, 0.28, 2.46
5, 100, 8756, 8759, 582, 0.33, 2.39
6, 100, 32291, 32294, 588, 0.20, 10.05
7, 100, 16019, 16020, 578, 0.42, 4.78
8, 100, 4415, 4416, 600, 0.29, 1.17
9, 100, 9657, 9660, 586, 0.20, 2.71
10, 100, 35607, 35608, 594, 0.41, 11.83
11, 101, 7559, 7562, 606, 0.27, 2.12
12, 101, 28431, 28433, 592, 0.39, 8.98
13, 101, 3211, 3213, 606, 0.23, 0.87
14, 101, 6051, 6054, 578, 0.27, 1.69
15, 101, 98023, 98023, 604, 0.27, 38.82
16, 101, 6439, 6440, 606, 0.40, 1.84
17, 101, 2795, 2798, 578, 0.30, 0.75
18, 101, 44663, 44669, 588, 0.28, 17.43
19, 101, 37735, 37735, 586, 0.25, 12.41
20, 101, 31511, 31516, 592, 0.35, 10.29
21, 102, 2717, 2720, 600, 0.42, 0.75
22, 102, 27503, 27506, 594, 0.29, 9.06
23, 102, 26643, 26647, 592, 0.19, 8.66
24, 102, 6543, 6547, 610, 0.38, 1.78
25, 102, 5627, 5630, 578, 0.26, 1.55
26, 102, 12287, 12290, 594, 0.24, 3.52
27, 102, 115139, 114886, 612, 0.25, 43.12
28, 102, 44543, 44545, 588, 0.56, 14.61
29, 102, 9195, 9197, 608, 0.34, 2.66
30, 102, 9347, 9350, 596, 0.33, 2.65
31, 103, 29231, 29232, 612, 0.17, 9.44
32, 103, 3799, 3803, 616, 0.26, 0.99
33, 103, 14007, 14009, 608, 0.16, 4.03
34, 103, 36451, 36452, 610, 0.47, 12.00
35, 103, 23815, 23818, 608, 0.35, 7.31
36, 103, 5479, 5482, 610, 0.17, 1.48
37, 103, 33019, 33022, 620, 0.31, 10.52
38, 103, 1782, 1784, 604, 0.38, 0.44
39, 103, 39735, 39738, 592, 0.31, 12.60
40, 103, 134283, 134286, 598, 0.26, 62.23
41, 104, 10021, 10023, 592, 0.39, 2.84
42, 104, 9267, 9271, 598, 0.16, 2.59
43, 104, 29395, 29381, 606, 0.21, 9.08
44, 104, 15159, 15164, 608, 0.20, 4.36
45, 104, 39491, 39495, 606, 0.16, 12.95
46, 104, 24463, 24463, 598, 0.38, 7.50
47, 104, 37771, 37774, 612, 0.28, 12.16
48, 104, 4427, 4431, 592, 0.31, 1.18
49, 104, 3927, 3929, 602, 1.31, 1.02
50, 104, 37363, 37366, 614, 0.40, 11.80
51, 105, 3487, 3490, 622, 0.42, 0.96
52, 105, 6559, 6559, 630, 0.24, 1.78
53, 105, 3367, 3371, 606, 0.38, 0.91
54, 105, 41191, 41197, 622, 0.22, 13.14
55, 105, 5135, 5138, 616, 0.33, 1.45
56, 105, 931, 932, 616, 0.26, 0.23
57, 105, 30819, 30824, 616, 0.33, 9.48
58, 105, 5046, 5047, 608, 0.36, 1.31
59, 105, 13987, 13989, 628, 0.23, 4.15
60, 105, 54165, 54167, 620, 0.24, 18.04
61, 106, 10279, 10280, 632, 0.33, 2.96
62, 106, 5999, 6003, 640, 0.17, 1.67
63, 106, 3357, 3360, 632, 0.31, 0.89
64, 106, 16635, 16636, 624, 0.21, 4.89
65, 106, 112411, 112414, 614, 0.48, 37.71
66, 106, 36103, 36107, 618, 0.39, 11.89
67, 106, 23519, 23523, 620, 0.22, 7.23
68, 106, 611821, 611826, 624, 0.17, 255.68
69, 106, 83305, 83310, 622, 1.20, 27.57
70, 106, 31671, 31674, 636, 0.32, 10.14
71, 107, 64701, 64702, 620, 0.36, 23.25
72, 107, 44851, 44854, 638, 0.38, 14.43
73, 107, 119715, 119716, 618, 0.34, 45.35
74, 107, 5183, 5185, 626, 0.36, 1.49
75, 107, 9655, 9660, 628, 0.60, 2.73
76, 107, 451807, 451809, 624, 0.29, 875.28
77, 107, 54379, 54380, 624, 0.98, 19.16
78, 107, 48971, 48975, 646, 0.40, 16.32
79, 107, 8231, 8237, 614, 0.24, 2.45
80, 107, 16307, 16309, 622, 0.37, 4.87
81, 108, 21631, 21635, 638, 0.38, 6.60
82, 108, 484543, 484546, 636, 0.31, 192.91
83, 108, 79471, 79471, 634, 1.00, 30.00
84, 108, 28747, 28749, 624, 0.34, 9.23
85, 108, 3471, 3471, 638, 0.56, 0.90
86, 108, 4703, 4706, 646, 0.31, 1.29
87, 108, 520943, 520945, 646, 0.25, 216.21
88, 108, 4039, 4036, 632, 1.08, 1.52
89, 108, 42367, 42372, 644, 1.20, 13.70
90, 108, 57891, 57894, 640, 0.34, 20.50
91, 109, 18407, 18411, 632, 0.48, 5.51
92, 109, 109387, 109392, 640, 0.67, 38.96
93, 109, 4691, 4692, 642, 0.54, 1.33
94, 109, 130947, 130950, 638, 0.34, 48.72
95, 109, 23491, 23494, 624, 0.40, 7.72
96, 109, 100431, 100435, 612, 0.50, 36.95
97, 109, 28843, 28846, 618, 0.40, 9.27
98, 109, 578323, 578326, 626, 0.40, 234.14
99, 109, 31771, 31772, 636, 1.11, 10.89
100, 109, 3611, 3614, 646, 0.32, 0.95
101, 110, 2501, 2505, 652, 0.39, 0.66
102, 110, 79155, 79155, 650, 0.29, 27.58
103, 110, 4172, 4172, 644, 0.44, 1.15
104, 110, 6017, 6021, 662, 0.49, 1.67
105, 110, 62031, 62032, 648, 0.23, 21.61
106, 110, 6427, 6430, 646, 0.36, 1.78
107, 110, 3871, 3874, 642, 0.56, 1.06
108, 110, 5297, 5300, 642, 0.33, 1.43
109, 110, 999, 999, 642, 2.07, 0.29
110, 110, 3455, 3459, 666, 0.26, 0.89
111, 111, 17991, 17994, 650, 0.42, 5.69
112, 111, 93159, 93161, 646, 0.42, 33.88
